PaymentTransaction,Account
TXN0000000,ACC000000
TXN0000001,ACC000000
TXN0000002,ACC000000
TXN0000003,ACC000013
TXN0000004,ACC000219
TXN0000005,ACC000004
TXN0000006,ACC000000
TXN0000007,ACC000073
TXN0000008,ACC000006
TXN0000009,ACC000000
TXN0000010,ACC000374
TXN0000011,ACC000002
TXN0000012,ACC000022
TXN0000013,ACC000047
TXN0000014,ACC000001
TXN0000015,ACC000001
TXN0000016,ACC000160
TXN0000017,ACC000001
TXN0000018,ACC000006
TXN0000019,ACC000004
TXN0000020,ACC000012
TXN0000021,ACC000004
TXN0000022,ACC000000
TXN0000023,ACC000000
TXN0000024,ACC000003
TXN0000025,ACC000000
TXN0000026,ACC000001
TXN0000027,ACC000007
TXN0000028,ACC000001
TXN0000029,ACC000000
TXN0000030,ACC000000
TXN0000031,ACC000000
TXN0000032,ACC000001
TXN0000033,ACC000000
TXN0000034,ACC000000
TXN0000035,ACC000000
TXN0000036,ACC000001
TXN0000037,ACC000000
TXN0000038,ACC000015
TXN0000039,ACC000011
TXN0000040,ACC000002
TXN0000041,ACC000410
TXN0000042,ACC000000
TXN0000043,ACC000002
TXN0000044,ACC000006
TXN0000045,ACC000014
TXN0000046,ACC000002
TXN0000047,ACC000002
TXN0000048,ACC000000
TXN0000049,ACC000000
TXN0000050,ACC000001
TXN0000051,ACC000000
TXN0000052,ACC000001
TXN0000053,ACC000000
TXN0000054,ACC000000
TXN0000055,ACC000000
TXN0000056,ACC000002
TXN0000057,ACC000007
TXN0000058,ACC000003
TXN0000059,ACC000003
TXN0000060,ACC000000
TXN0000061,ACC000011
TXN0000062,ACC000004
TXN0000063,ACC000008
TXN0000064,ACC000006
TXN0000065,ACC000010
TXN0000066,ACC000000
TXN0000067,ACC000000
TXN0000068,ACC000112
TXN0000069,ACC000000
TXN0000070,ACC000000
TXN0000071,ACC000020
TXN0000072,ACC000001
TXN0000073,ACC000013
TXN0000074,ACC000068
TXN0000075,ACC000000
TXN0000076,ACC000053
TXN0000077,ACC000000
TXN0000078,ACC000001
TXN0000079,ACC000000
TXN0000080,ACC000099
TXN0000081,ACC000000
TXN0000082,ACC000000
TXN0000083,ACC000003
TXN0000084,ACC000002
TXN0000085,ACC000000
TXN0000086,ACC000007
TXN0000087,ACC000008
TXN0000088,ACC000001
TXN0000089,ACC000001
TXN0000090,ACC000001
TXN0000091,ACC000599
TXN0000092,ACC000000
TXN0000093,ACC000013
TXN0000094,ACC000004
TXN0000095,ACC000000
TXN0000096,ACC000012
TXN0000097,ACC000000
TXN0000098,ACC000001
TXN0000099,ACC000000
TXN0000100,ACC000000
TXN0000101,ACC000000
TXN0000102,ACC000035
TXN0000103,ACC000001
TXN0000104,ACC000000
TXN0000105,ACC000002
TXN0000106,ACC000000
TXN0000107,ACC000000
TXN0000108,ACC000000
TXN0000109,ACC000095
TXN0000110,ACC000001
TXN0000111,ACC000121
TXN0000112,ACC000002
TXN0000113,ACC000001
TXN0000114,ACC000000
