PaymentTransaction,AuditLog
TXN0000000,LOG0000000
TXN0000000,LOG0000001
TXN0000000,LOG0000002
TXN0000008,LOG0000003
TXN0000019,LOG0000004
TXN0000002,LOG0000005
TXN0000002,LOG0000006
TXN0000001,LOG0000007
TXN0000001,LOG0000008
TXN0000002,LOG0000009
TXN0000002,LOG0000010
TXN0000000,LOG0000011
TXN0000094,LOG0000012
TXN0000099,LOG0000013
TXN0000000,LOG0000014
TXN0000004,LOG0000015
TXN0000000,LOG0000016
TXN0000000,LOG0000017
TXN0000053,LOG0000018
TXN0000001,LOG0000019
TXN0000006,LOG0000020
TXN0000018,LOG0000021
TXN0000019,LOG0000022
TXN0000000,LOG0000023
TXN0000000,LOG0000024
TXN0000000,LOG0000025
TXN0000002,LOG0000026
TXN0000020,LOG0000027
TXN0000000,LOG0000028
TXN0000000,LOG0000029
TXN0000000,LOG0000030
TXN0000000,LOG0000031
TXN0000008,LOG0000032
TXN0000000,LOG0000033
TXN0000004,LOG0000034
TXN0000001,LOG0000035
TXN0000000,LOG0000036
TXN0000000,LOG0000037
TXN0000000,LOG0000038
TXN0000382,LOG0000039
TXN0000013,LOG0000040
TXN0000001,LOG0000041
TXN0000030,LOG0000042
TXN0000000,LOG0000043
TXN0000001,LOG0000044
TXN0001999,LOG0000045
TXN0000001,LOG0000046
TXN0000002,LOG0000047
TXN0000000,LOG0000048
TXN0000001,LOG0000049
TXN0000007,LOG0000050
TXN0000005,LOG0000051
TXN0000000,LOG0000052
TXN0000000,LOG0000053
TXN0000000,LOG0000054
TXN0001999,LOG0000055
TXN0000000,LOG0000056
TXN0001999,LOG0000057
TXN0000030,LOG0000058
TXN0000000,LOG0000059
TXN0000000,LOG0000060
TXN0000000,LOG0000061
TXN0000002,LOG0000062
TXN0000000,LOG0000063
TXN0000000,LOG0000064
TXN0000000,LOG0000065
TXN0000000,LOG0000066
TXN0000003,LOG0000067
TXN0000008,LOG0000068
TXN0000033,LOG0000069
TXN0000000,LOG0000070
TXN0000001,LOG0000071
TXN0000000,LOG0000072
TXN0000006,LOG0000073
TXN0000016,LOG0000074
TXN0000000,LOG0000075
TXN0000003,LOG0000076
TXN0000001,LOG0000077
TXN0000000,LOG0000078
TXN0000000,LOG0000079
TXN0000000,LOG0000080
TXN0000000,LOG0000081
TXN0000000,LOG0000082
