PaymentTransaction,RiskAssessment
TXN0000000,RA000000
TXN0000001,RA000001
TXN0000000,RA000002
TXN0000002,RA000003
TXN0000021,RA000004
TXN0000003,RA000005
TXN0000000,RA000006
TXN0001999,RA000007
TXN0000595,RA000008
TXN0000003,RA000009
TXN0000003,RA000010
TXN0000002,RA000011
TXN0000000,RA000012
TXN0000002,RA000013
TXN0000002,RA000014
TXN0000007,RA000015
TXN0000001,RA000016
TXN0000000,RA000017
TXN0001999,RA000018
TXN0000000,RA000019
TXN0000003,RA000020
TXN0000000,RA000021
TXN0000063,RA000022
TXN0000001,RA000023
TXN0000005,RA000024
TXN0000000,RA000025
TXN0000024,RA000026
TXN0000000,RA000027
TXN0000001,RA000028
TXN0000025,RA000029
TXN0000003,RA000030
TXN0000001,RA000031
TXN0000000,RA000032
TXN0000000,RA000033
TXN0000008,RA000034
TXN0000064,RA000035
TXN0000103,RA000036
TXN0000000,RA000037
TXN0000005,RA000038
TXN0000004,RA000039
TXN0000077,RA000040
TXN0000016,RA000041
TXN0000002,RA000042
TXN0000000,RA000043
TXN0000001,RA000044
TXN0000000,RA000045
TXN0000000,RA000046
TXN0000002,RA000047
TXN0000003,RA000048
TXN0000001,RA000049
TXN0000005,RA000050
TXN0000073,RA000051
TXN0000000,RA000052
TXN0000001,RA000053
TXN0000000,RA000054
TXN0000002,RA000055
TXN0000002,RA000056
TXN0000003,RA000057
TXN0001999,RA000058
TXN0000000,RA000059
TXN0000000,RA000060
TXN0000009,RA000061
TXN0000000,RA000062
TXN0000008,RA000063
TXN0000087,RA000064
TXN0000001,RA000065
TXN0000004,RA000066
TXN0000003,RA000067
TXN0000000,RA000068
TXN0000000,RA000069
TXN0000000,RA000070
TXN0000002,RA000071
TXN0000025,RA000072
TXN0000003,RA000073
TXN0000005,RA000074
TXN0000000,RA000075
TXN0000000,RA000076
TXN0000000,RA000077
TXN0000000,RA000078
TXN0000077,RA000079
TXN0000017,RA000080
TXN0000005,RA000081
TXN0000121,RA000082
TXN0000004,RA000083
TXN0000018,RA000084
TXN0000010,RA000085
TXN0000000,RA000086
TXN0000000,RA000087
TXN0000003,RA000088
TXN0000000,RA000089
TXN0000005,RA000090
TXN0000001,RA000091
TXN0000000,RA000092
TXN0000002,RA000093
TXN0000001,RA000094
TXN0000006,RA000095
TXN0000339,RA000096
TXN0000000,RA000097
TXN0000009,RA000098
TXN0000017,RA000099
TXN0000001,RA000100
TXN0000013,RA000101
TXN0000002,RA000102
TXN0000026,RA000103
TXN0000003,RA000104
TXN0000000,RA000105
TXN0000000,RA000106
TXN0000009,RA000107
TXN0000000,RA000108
TXN0000000,RA000109
TXN0000015,RA000110
TXN0000349,RA000111
TXN0000001,RA000112
TXN0000001,RA000113
TXN0000095,RA000114
TXN0000020,RA000115
TXN0000001,RA000116
TXN0000001,RA000117
TXN0000191,RA000118
TXN0000001,RA000119
TXN0000008,RA000120
TXN0000006,RA000121
TXN0000000,RA000122
TXN0000001,RA000123
TXN0000000,RA000124
TXN0000005,RA000125
TXN0000000,RA000126
TXN0000000,RA000127
TXN0000003,RA000128
TXN0000003,RA000129
TXN0001885,RA000130
TXN0000000,RA000131
TXN0000002,RA000132
TXN0000003,RA000133
TXN0000000,RA000134
TXN0000219,RA000135
TXN0000010,RA000136
TXN0000002,RA000137
TXN0000002,RA000138
TXN0000005,RA000139
TXN0000000,RA000140
TXN0000000,RA000141
TXN0000019,RA000142
TXN0000000,RA000143
TXN0000004,RA000144
TXN0000005,RA000145
TXN0000000,RA000146
TXN0000014,RA000147
TXN0000000,RA000148
TXN0000000,RA000149
TXN0000026,RA000150
TXN0000000,RA000151
TXN0000000,RA000152
TXN0000002,RA000153
TXN0000003,RA000154
TXN0000001,RA000155
TXN0000003,RA000156
TXN0000000,RA000157
TXN0000000,RA000158
TXN0000002,RA000159
TXN0000001,RA000160
TXN0000002,RA000161
TXN0000000,RA000162
TXN0000002,RA000163
TXN0000000,RA000164
TXN0000052,RA000165
TXN0000000,RA000166
TXN0000000,RA000167
TXN0000033,RA000168
TXN0000000,RA000169
TXN0000000,RA000170
TXN0000003,RA000171
TXN0000000,RA000172
TXN0000001,RA000173
TXN0000484,RA000174
TXN0000003,RA000175
TXN0000000,RA000176
TXN0000008,RA000177
TXN0000003,RA000178
TXN0000000,RA000179
TXN0000001,RA000180
TXN0000000,RA000181
TXN0000004,RA000182
TXN0000001,RA000183
TXN0001999,RA000184
TXN0000000,RA000185
TXN0000001,RA000186
TXN0000000,RA000187
TXN0000000,RA000188
TXN0000000,RA000189
TXN0000000,RA000190
TXN0000000,RA000191
TXN0000089,RA000192
TXN0000002,RA000193
TXN0000000,RA000194
TXN0000000,RA000195
TXN0000001,RA000196
TXN0000000,RA000197
TXN0000000,RA000198
TXN0000000,RA000199
TXN0000003,RA000200
TXN0000000,RA000201
TXN0000021,RA000202
TXN0001541,RA000203
TXN0000030,RA000204
TXN0000003,RA000205
TXN0000001,RA000206
TXN0000006,RA000207
TXN0000001,RA000208
TXN0000000,RA000209
TXN0000000,RA000210
TXN0000000,RA000211
TXN0001999,RA000212
TXN0000000,RA000213
TXN0000000,RA000214
TXN0000001,RA000215
TXN0001999,RA000216
TXN0000079,RA000217
TXN0000001,RA000218
TXN0000007,RA000219
TXN0000001,RA000220
TXN0000173,RA000221
TXN0000024,RA000222
TXN0000001,RA000223
TXN0000001,RA000224
TXN0000005,RA000225
TXN0000001,RA000226
TXN0000000,RA000227
TXN0000004,RA000228
TXN0000015,RA000229
TXN0000157,RA000230
TXN0000000,RA000231
TXN0000004,RA000232
TXN0000001,RA000233
TXN0000001,RA000234
TXN0000022,RA000235
TXN0000069,RA000236
TXN0000000,RA000237
TXN0000001,RA000238
TXN0000000,RA000239
TXN0000000,RA000240
TXN0000002,RA000241
TXN0000000,RA000242
TXN0000002,RA000243
TXN0000016,RA000244
TXN0000001,RA000245
TXN0000002,RA000246
TXN0000001,RA000247
TXN0001999,RA000248
TXN0000000,RA000249
TXN0000001,RA000250
TXN0000003,RA000251
TXN0000004,RA000252
TXN0000029,RA000253
TXN0000000,RA000254
TXN0000017,RA000255
TXN0000000,RA000256
TXN0000003,RA000257
TXN0000000,RA000258
TXN0000014,RA000259
TXN0000000,RA000260
TXN0000000,RA000261
TXN0000000,RA000262
TXN0000000,RA000263
TXN0000079,RA000264
TXN0000089,RA000265
TXN0000142,RA000266
TXN0000000,RA000267
TXN0000023,RA000268
TXN0000001,RA000269
TXN0000001,RA000270
TXN0000007,RA000271
TXN0000000,RA000272
TXN0000000,RA000273
TXN0000133,RA000274
TXN0000000,RA000275
TXN0000000,RA000276
TXN0000000,RA000277
TXN0000002,RA000278
TXN0000002,RA000279
TXN0000000,RA000280
TXN0000038,RA000281
TXN0000067,RA000282
TXN0000000,RA000283
TXN0000003,RA000284
TXN0000001,RA000285
TXN0000004,RA000286
TXN0000195,RA000287
TXN0000000,RA000288
TXN0000088,RA000289
TXN0000020,RA000290
TXN0000000,RA000291
TXN0000010,RA000292
TXN0000000,RA000293
TXN0000069,RA000294
TXN0000002,RA000295
TXN0000008,RA000296
TXN0001999,RA000297
TXN0000000,RA000298
TXN0000001,RA000299
TXN0000001,RA000300
TXN0000069,RA000301
TXN0000003,RA000302
TXN0000008,RA000303
TXN0000185,RA000304
TXN0000002,RA000305
TXN0000126,RA000306
TXN0000027,RA000307
TXN0000000,RA000308
TXN0000000,RA000309
TXN0000001,RA000310
TXN0000000,RA000311
TXN0000001,RA000312
TXN0000000,RA000313
TXN0001150,RA000314
TXN0001999,RA000315
TXN0000000,RA000316
TXN0000000,RA000317
TXN0000000,RA000318
TXN0000007,RA000319
TXN0000001,RA000320
TXN0000017,RA000321
TXN0000003,RA000322
TXN0000012,RA000323
TXN0001199,RA000324
TXN0000002,RA000325
TXN0001999,RA000326
TXN0000009,RA000327
TXN0000000,RA000328
TXN0000000,RA000329
TXN0000032,RA000330
TXN0000041,RA000331
TXN0000000,RA000332
TXN0000034,RA000333
TXN0000000,RA000334
TXN0000047,RA000335
TXN0000000,RA000336
TXN0000352,RA000337
TXN0000001,RA000338
TXN0000001,RA000339
TXN0001999,RA000340
TXN0000003,RA000341
TXN0000004,RA000342
TXN0000000,RA000343
TXN0000000,RA000344
TXN0000000,RA000345
TXN0000006,RA000346
TXN0000000,RA000347
TXN0000004,RA000348
TXN0000002,RA000349
TXN0000000,RA000350
TXN0000083,RA000351
TXN0000003,RA000352
TXN0000001,RA000353
TXN0000001,RA000354
TXN0000411,RA000355
TXN0000000,RA000356
TXN0000000,RA000357
TXN0000002,RA000358
TXN0000001,RA000359
TXN0000000,RA000360
TXN0000001,RA000361
TXN0000005,RA000362
TXN0000000,RA000363
TXN0000000,RA000364
TXN0000000,RA000365
TXN0001999,RA000366
TXN0000003,RA000367
TXN0000088,RA000368
TXN0000001,RA000369
TXN0000000,RA000370
TXN0000000,RA000371
TXN0000001,RA000372
TXN0000003,RA000373
TXN0000003,RA000374
TXN0000000,RA000375
TXN0000011,RA000376
TXN0000004,RA000377
TXN0000023,RA000378
TXN0000003,RA000379
TXN0000000,RA000380
TXN0000000,RA000381
TXN0000000,RA000382
TXN0000003,RA000383
TXN0000000,RA000384
TXN0000000,RA000385
TXN0000000,RA000386
TXN0000000,RA000387
TXN0000001,RA000388
TXN0000002,RA000389
TXN0000018,RA000390
TXN0000010,RA000391
TXN0000005,RA000392
TXN0000081,RA000393
TXN0000003,RA000394
TXN0001999,RA000395
TXN0000378,RA000396
TXN0000001,RA000397
TXN0000000,RA000398
TXN0000000,RA000399
TXN0000016,RA000400
TXN0000000,RA000401
TXN0000003,RA000402
TXN0000005,RA000403
TXN0000000,RA000404
TXN0000000,RA000405
TXN0000000,RA000406
TXN0000000,RA000407
TXN0000018,RA000408
TXN0000000,RA000409
TXN0001999,RA000410
TXN0000000,RA000411
TXN0000001,RA000412
TXN0000008,RA000413
TXN0000001,RA000414
TXN0000001,RA000415
TXN0000000,RA000416
TXN0000000,RA000417
TXN0000000,RA000418
TXN0000000,RA000419
TXN0000044,RA000420
TXN0000456,RA000421
TXN0000000,RA000422
TXN0000002,RA000423
TXN0000001,RA000424
TXN0000009,RA000425
TXN0000000,RA000426
TXN0000004,RA000427
TXN0000001,RA000428
TXN0000043,RA000429
TXN0000007,RA000430
TXN0000000,RA000431
TXN0000001,RA000432
TXN0000008,RA000433
TXN0000002,RA000434
TXN0000008,RA000435
TXN0001999,RA000436
TXN0000004,RA000437
TXN0000004,RA000438
TXN0000021,RA000439
TXN0001999,RA000440
TXN0000058,RA000441
TXN0000038,RA000442
TXN0000001,RA000443
TXN0000000,RA000444
TXN0000000,RA000445
TXN0000001,RA000446
TXN0000000,RA000447
TXN0000000,RA000448
TXN0000001,RA000449
TXN0000000,RA000450
TXN0000001,RA000451
TXN0000000,RA000452
TXN0000001,RA000453
TXN0000002,RA000454
TXN0000001,RA000455
TXN0000001,RA000456
TXN0001999,RA000457
TXN0000000,RA000458
TXN0000002,RA000459
TXN0000000,RA000460
TXN0000016,RA000461
TXN0000000,RA000462
TXN0000000,RA000463
TXN0000000,RA000464
TXN0000013,RA000465
TXN0000000,RA000466
TXN0000000,RA000467
TXN0000000,RA000468
TXN0000001,RA000469
TXN0000001,RA000470
TXN0000000,RA000471
TXN0000005,RA000472
TXN0000000,RA000473
TXN0000000,RA000474
TXN0000088,RA000475
TXN0000000,RA000476
TXN0000003,RA000477
TXN0000000,RA000478
TXN0000000,RA000479
TXN0000000,RA000480
TXN0000025,RA000481
TXN0000000,RA000482
TXN0000000,RA000483
TXN0000004,RA000484
TXN0000000,RA000485
TXN0000001,RA000486
TXN0000010,RA000487
TXN0000035,RA000488
TXN0000001,RA000489
TXN0000002,RA000490
TXN0000000,RA000491
TXN0000004,RA000492
TXN0000041,RA000493
TXN0000073,RA000494
TXN0000009,RA000495
TXN0000000,RA000496
TXN0000000,RA000497
TXN0000000,RA000498
TXN0000003,RA000499
TXN0000000,RA000500
TXN0000000,RA000501
TXN0000066,RA000502
TXN0000000,RA000503
TXN0000041,RA000504
TXN0000006,RA000505
TXN0000000,RA000506
TXN0000002,RA000507
TXN0000007,RA000508
TXN0000000,RA000509
TXN0000003,RA000510
TXN0000008,RA000511
TXN0000000,RA000512
TXN0000003,RA000513
TXN0000004,RA000514
TXN0000001,RA000515
TXN0000000,RA000516
TXN0000000,RA000517
TXN0000000,RA000518
TXN0000001,RA000519
TXN0000025,RA000520
TXN0000000,RA000521
TXN0000020,RA000522
TXN0000000,RA000523
TXN0000004,RA000524
TXN0000082,RA000525
TXN0000001,RA000526
TXN0000007,RA000527
TXN0000000,RA000528
TXN0000002,RA000529
TXN0000000,RA000530
TXN0000001,RA000531
TXN0000000,RA000532
TXN0000001,RA000533
TXN0000007,RA000534
TXN0000000,RA000535
TXN0000001,RA000536
TXN0000001,RA000537
TXN0000005,RA000538
TXN0000002,RA000539
TXN0000000,RA000540
TXN0000045,RA000541
TXN0000121,RA000542
TXN0000000,RA000543
TXN0000027,RA000544
TXN0000003,RA000545
TXN0000000,RA000546
TXN0000003,RA000547
TXN0000001,RA000548
TXN0000004,RA000549
TXN0001999,RA000550
TXN0000001,RA000551
TXN0000001,RA000552
TXN0000000,RA000553
TXN0000003,RA000554
TXN0000006,RA000555
TXN0000000,RA000556
TXN0000002,RA000557
TXN0000000,RA000558
TXN0000010,RA000559
TXN0000001,RA000560
TXN0000004,RA000561
TXN0000000,RA000562
