account_id,account_type,balance,currency,status,opened_date,last_activity
ACC000000,Checking,363.61,USD,Active,2020-12-30,2022-03-29 05:24:32
ACC000001,Savings,41124.74,EUR,Active,2022-06-04,2023-08-26 18:22:50
ACC000002,Checking,461.37,EUR,Active,2021-05-02,2023-07-14 03:10:25
ACC000003,Investment,1054.31,GBP,Active,2016-08-15,2017-12-21 12:24:07
ACC000004,Checking,1014.74,GBP,Inactive,2016-04-07,2022-09-12 19:31:10
ACC000005,Checking,11411.61,USD,Active,2020-02-27,2024-06-26 23:14:40
ACC000006,Checking,1915.2,USD,Active,2018-01-16,2021-07-31 17:53:48
ACC000007,Investment,19372.56,USD,Active,2016-09-15,2020-07-28 22:27:40
ACC000008,Investment,1085.47,JPY,Active,2019-03-23,
ACC000009,Checking,4530.06,USD,Active,2020-03-30,2024-04-08 09:08:32
ACC000010,Savings,851.48,USD,Active,2022-01-21,2024-10-21 11:50:16
ACC000011,Savings,74438.14,USD,Active,2021-12-21,2022-07-19 04:14:49
ACC000012,Savings,502.0,EUR,Closed,2022-04-27,2023-06-28 19:00:29
ACC000013,Checking,4744.45,USD,Active,2016-07-03,2025-08-28 11:50:33
ACC000014,Investment,7713.02,EUR,Active,2017-01-16,2022-05-26 03:57:20
ACC000015,Savings,5545.26,USD,Closed,2022-02-21,2024-07-21 15:59:35
ACC000016,Savings,2257.62,USD,Inactive,2021-12-05,2024-12-12 05:01:42
ACC000017,Savings,2453.5,GBP,Active,2024-12-31,2025-03-21 16:35:41
ACC000018,Credit,3183.44,GBP,Active,2018-11-04,2022-04-20 11:09:31
ACC000019,Checking,2391.07,EUR,Inactive,2025-07-04,2025-07-18 17:12:29
ACC000020,Checking,12655.14,JPY,Inactive,2022-02-15,
ACC000021,Investment,82107.49,USD,Active,2021-02-09,
ACC000022,Checking,1291.76,USD,Active,2021-04-24,2025-04-12 06:51:33
ACC000023,Savings,381.95,EUR,Inactive,2020-10-29,2025-04-01 07:45:45
ACC000024,Savings,2611.23,EUR,Suspended,2025-08-16,2025-11-07 06:16:55
ACC000025,Checking,142851.94,USD,Active,2025-10-23,2025-11-22 13:14:14
ACC000026,Checking,892.91,USD,Active,2016-05-07,
ACC000027,Credit,34845.36,JPY,Active,2024-07-05,
ACC000028,Checking,36921.57,USD,Active,2020-02-09,2022-06-18 22:51:55
ACC000029,Savings,1299.35,USD,Active,2021-06-24,2023-09-27 02:54:09
ACC000030,Checking,6998.66,GBP,Active,2023-03-10,2024-07-17 00:27:45
ACC000031,Credit,34289.52,USD,Active,2021-10-25,2023-06-04 14:49:02
ACC000032,Credit,1688.01,CAD,Active,2016-09-13,2018-08-12 18:45:25
ACC000033,Credit,2196.52,JPY,Closed,2018-10-17,2020-10-29 07:21:44
ACC000034,Checking,1245.73,USD,Active,2016-06-20,2017-07-11 19:53:27
ACC000035,Savings,650.58,JPY,Active,2017-12-07,2025-02-27 04:13:47
ACC000036,Savings,1125.61,USD,Active,2023-07-12,2025-06-30 07:29:31
ACC000037,Savings,475.37,USD,Active,2023-05-09,2023-08-08 21:57:20
ACC000038,Credit,3137.32,EUR,Active,2023-01-13,2025-08-10 16:14:36
ACC000039,Checking,939.21,USD,Closed,2025-09-24,2025-10-15 19:17:39
ACC000040,Savings,4233.05,CAD,Active,2023-12-05,2025-09-03 18:34:03
ACC000041,Checking,288.92,USD,Active,2019-12-28,
ACC000042,Credit,4896.72,JPY,Active,2021-05-10,2023-12-14 23:47:42
ACC000043,Investment,10407.62,USD,Active,2024-07-15,2025-01-04 01:26:13
ACC000044,Credit,149.81,USD,Inactive,2025-05-04,2025-09-03 05:06:08
ACC000045,Checking,5224.35,USD,Active,2020-11-07,2023-02-08 10:45:40
ACC000046,Credit,18797.96,GBP,Active,2020-12-18,2025-07-13 01:09:39
ACC000047,Credit,485.67,EUR,Active,2021-05-09,
ACC000048,Credit,36638.64,CAD,Inactive,2020-12-17,2022-04-18 14:46:51
ACC000049,Savings,5588.85,JPY,Active,2024-11-26,2025-04-24 01:35:44
ACC000050,Checking,1035.34,USD,Active,2018-09-18,2020-05-01 03:03:56
ACC000051,Credit,2741.74,GBP,Active,2019-09-23,2022-07-05 15:09:29
ACC000052,Checking,6887.69,GBP,Active,2020-09-18,2023-11-30 05:21:35
ACC000053,Credit,3340.94,USD,Inactive,2023-09-12,2023-11-17 12:05:40
ACC000054,Checking,6688.43,USD,Inactive,2016-05-14,2023-03-07 01:34:56
ACC000055,Checking,749.19,GBP,Active,2024-02-02,2025-01-30 23:18:22
ACC000056,Savings,3843.13,JPY,Closed,2016-07-10,2020-08-04 18:52:45
ACC000057,Savings,357.6,JPY,Active,2017-10-02,2023-10-26 23:35:35
