PaymentTransaction,PaymentMethod
TXN0000000,PM000121
TXN0000001,PM000340
TXN0000002,PM000005
TXN0000003,PM000000
TXN0000004,PM000022
TXN0000005,PM000144
TXN0000006,PM000033
TXN0000007,PM000115
TXN0000008,PM000045
TXN0000009,PM000000
TXN0000010,PM000000
TXN0000011,PM000001
TXN0000012,PM000173
TXN0000013,PM000004
TXN0000014,PM000167
TXN0000015,PM000045
TXN0000016,PM000000
TXN0000017,PM000002
TXN0000018,PM000000
TXN0000019,PM000036
TXN0000020,PM000037
TXN0000021,PM000000
TXN0000022,PM000000
TXN0000023,PM000002
TXN0000024,PM000002
TXN0000025,PM000027
TXN0000026,PM000004
TXN0000027,PM000031
TXN0000028,PM000002
TXN0000029,PM000001
TXN0000030,PM000000
TXN0000031,PM000000
TXN0000032,PM000273
TXN0000033,PM000001
TXN0000034,PM000000
TXN0000035,PM000240
TXN0000036,PM000699
TXN0000037,PM000000
TXN0000038,PM000001
TXN0000039,PM000000
TXN0000040,PM000000
TXN0000041,PM000003
TXN0000042,PM000108
TXN0000043,PM000010
TXN0000044,PM000002
TXN0000045,PM000082
TXN0000046,PM000699
TXN0000047,PM000000
TXN0000048,PM000166
TXN0000049,PM000001
TXN0000050,PM000080
TXN0000051,PM000001
TXN0000052,PM000000
TXN0000053,PM000001
TXN0000054,PM000000
TXN0000055,PM000000
TXN0000056,PM000174
TXN0000057,PM000000
TXN0000058,PM000699
TXN0000059,PM000012
TXN0000060,PM000007
TXN0000061,PM000092
TXN0000062,PM000000
TXN0000063,PM000699
TXN0000064,PM000001
TXN0000065,PM000010
TXN0000066,PM000002
TXN0000067,PM000000
TXN0000068,PM000012
TXN0000069,PM000699
TXN0000070,PM000040
TXN0000071,PM000009
TXN0000072,PM000116
TXN0000073,PM000699
TXN0000074,PM000016
TXN0000075,PM000003
TXN0000076,PM000406
TXN0000077,PM000078
TXN0000078,PM000001
TXN0000079,PM000006
TXN0000080,PM000039
TXN0000081,PM000103
TXN0000082,PM000004
TXN0000083,PM000070
TXN0000084,PM000000
TXN0000085,PM000699
TXN0000086,PM000012
TXN0000087,PM000133
TXN0000088,PM000000
TXN0000089,PM000000
TXN0000090,PM000000
TXN0000091,PM000445
TXN0000092,PM000000
TXN0000093,PM000699
TXN0000094,PM000000
TXN0000095,PM000001
TXN0000096,PM000699
TXN0000097,PM000001
TXN0000098,PM000699
TXN0000099,PM000157
TXN0000100,PM000011
TXN0000101,PM000009
TXN0000102,PM000003
TXN0000103,PM000699
TXN0000104,PM000000
TXN0000105,PM000137
TXN0000106,PM000375
TXN0000107,PM000044
TXN0000108,PM000087
TXN0000109,PM000019
TXN0000110,PM000000
TXN0000111,PM000000
TXN0000112,PM000540
TXN0000113,PM000000
TXN0000114,PM000085
TXN0000115,PM000001
TXN0000116,PM000004
TXN0000117,PM000022
TXN0000118,PM000028
TXN0000119,PM000699
TXN0000120,PM000000
TXN0000121,PM000017
TXN0000122,PM000009
TXN0000123,PM000029
TXN0000124,PM000000
TXN0000125,PM000005
TXN0000126,PM000000
TXN0000127,PM000005
TXN0000128,PM000000
TXN0000129,PM000018
TXN0000130,PM000008
TXN0000131,PM000227
TXN0000132,PM000036
TXN0000133,PM000000
TXN0000134,PM000699
TXN0000135,PM000699
TXN0000136,PM000699
TXN0000137,PM000000
TXN0000138,PM000001
TXN0000139,PM000000
TXN0000140,PM000699
TXN0000141,PM000006
TXN0000142,PM000094
TXN0000143,PM000001
TXN0000144,PM000009
TXN0000145,PM000000
TXN0000146,PM000001
TXN0000147,PM000018
TXN0000148,PM000001
TXN0000149,PM000699
TXN0000150,PM000699
TXN0000151,PM000000
TXN0000152,PM000699
TXN0000153,PM000699
TXN0000154,PM000699
TXN0000155,PM000029
TXN0000156,PM000001
TXN0000157,PM000000
TXN0000158,PM000038
TXN0000159,PM000699
TXN0000160,PM000007
TXN0000161,PM000000
TXN0000162,PM000000
TXN0000163,PM000000
TXN0000164,PM000013
TXN0000165,PM000024
TXN0000166,PM000000
TXN0000167,PM000000
TXN0000168,PM000026
TXN0000169,PM000004
TXN0000170,PM000088
TXN0000171,PM000012
TXN0000172,PM000000
TXN0000173,PM000170
TXN0000174,PM000003
TXN0000175,PM000002
TXN0000176,PM000003
TXN0000177,PM000005
TXN0000178,PM000000
TXN0000179,PM000000
TXN0000180,PM000074
TXN0000181,PM000246
TXN0000182,PM000001
TXN0000183,PM000000
TXN0000184,PM000000
TXN0000185,PM000000
TXN0000186,PM000000
TXN0000187,PM000000
TXN0000188,PM000017
TXN0000189,PM000539
TXN0000190,PM000699
TXN0000191,PM000000
TXN0000192,PM000008
TXN0000193,PM000132
TXN0000194,PM000165
TXN0000195,PM000004
TXN0000196,PM000008
TXN0000197,PM000006
TXN0000198,PM000010
TXN0000199,PM000002
TXN0000200,PM000000
TXN0000201,PM000008
TXN0000202,PM000004
TXN0000203,PM000000
TXN0000204,PM000000
TXN0000205,PM000699
TXN0000206,PM000113
TXN0000207,PM000005
TXN0000208,PM000000
TXN0000209,PM000000
TXN0000210,PM000626
TXN0000211,PM000010
TXN0000212,PM000292
TXN0000213,PM000000
TXN0000214,PM000000
TXN0000215,PM000076
