PaymentTransaction,ComplianceRule
TXN0000000,RULE0011
TXN0000001,RULE0015
TXN0000001,RULE0004
TXN0000002,RULE0004
TXN0000003,RULE0008
TXN0000004,RULE0006
TXN0000005,RULE0010
TXN0000006,RULE0012
TXN0000006,RULE0001
TXN0000007,RULE0010
TXN0000008,RULE0016
TXN0000008,RULE0009
TXN0000009,RULE0002
TXN0000010,RULE0003
TXN0000011,RULE0001
TXN0000012,RULE0004
TXN0000013,RULE0011
TXN0000014,RULE0007
TXN0000014,RULE0010
TXN0000015,RULE0002
TXN0000016,RULE0003
TXN0000017,RULE0011
TXN0000018,RULE0000
TXN0000018,RULE0010
TXN0000019,RULE0019
TXN0000020,RULE0004
TXN0000021,RULE0004
TXN0000022,RULE0003
TXN0000022,RULE0000
TXN0000023,RULE0004
TXN0000024,RULE0018
TXN0000024,RULE0008
TXN0000025,RULE0007
TXN0000025,RULE0003
TXN0000026,RULE0008
TXN0000026,RULE0002
TXN0000027,RULE0000
TXN0000028,RULE0017
TXN0000028,RULE0015
TXN0000029,RULE0008
TXN0000030,RULE0006
TXN0000031,RULE0014
TXN0000032,RULE0015
TXN0000032,RULE0018
TXN0000033,RULE0004
TXN0000033,RULE0009
TXN0000034,RULE0004
TXN0000035,RULE0003
TXN0000036,RULE0016
TXN0000037,RULE0002
TXN0000038,RULE0019
TXN0000039,RULE0016
TXN0000039,RULE0002
TXN0000040,RULE0000
TXN0000041,RULE0018
TXN0000041,RULE0012
TXN0000041,RULE0004
TXN0000042,RULE0005
TXN0000042,RULE0013
TXN0000043,RULE0014
TXN0000044,RULE0019
TXN0000045,RULE0013
TXN0000045,RULE0006
TXN0000046,RULE0011
TXN0000047,RULE0014
TXN0000048,RULE0011
TXN0000048,RULE0004
TXN0000048,RULE0013
TXN0000049,RULE0009
TXN0000050,RULE0017
TXN0000051,RULE0015
TXN0000052,RULE0004
TXN0000052,RULE0010
TXN0000053,RULE0005
TXN0000054,RULE0010
TXN0000055,RULE0003
TXN0000056,RULE0014
TXN0000057,RULE0017
TXN0000057,RULE0005
TXN0000057,RULE0019
TXN0000058,RULE0001
TXN0000059,RULE0008
TXN0000059,RULE0010
TXN0000059,RULE0011
TXN0000060,RULE0016
TXN0000061,RULE0015
TXN0000062,RULE0008
TXN0000063,RULE0015
TXN0000064,RULE0012
TXN0000065,RULE0017
TXN0000065,RULE0004
TXN0000066,RULE0015
TXN0000067,RULE0016
TXN0000068,RULE0004
TXN0000069,RULE0015
TXN0000070,RULE0002
TXN0000071,RULE0006
TXN0000072,RULE0012
TXN0000072,RULE0017
TXN0000073,RULE0006
TXN0000074,RULE0004
TXN0000075,RULE0003
TXN0000076,RULE0001
TXN0000077,RULE0009
TXN0000078,RULE0002
TXN0000078,RULE0008
TXN0000079,RULE0008
TXN0000079,RULE0007
TXN0000080,RULE0003
TXN0000081,RULE0012
TXN0000082,RULE0009
TXN0000083,RULE0018
TXN0000084,RULE0019
TXN0000084,RULE0012
TXN0000085,RULE0011
TXN0000085,RULE0014
TXN0000086,RULE0006
TXN0000087,RULE0019
TXN0000088,RULE0015
TXN0000088,RULE0003
TXN0000089,RULE0011
TXN0000089,RULE0007
TXN0000090,RULE0007
TXN0000091,RULE0018
TXN0000091,RULE0014
TXN0000092,RULE0013
TXN0000093,RULE0014
TXN0000093,RULE0000
TXN0000094,RULE0001
TXN0000095,RULE0009
TXN0000095,RULE0007
TXN0000096,RULE0019
TXN0000097,RULE0011
TXN0000098,RULE0017
TXN0000098,RULE0011
TXN0000099,RULE0013
TXN0000099,RULE0002
TXN0000100,RULE0016
TXN0000100,RULE0019
TXN0000101,RULE0015
TXN0000102,RULE0001
TXN0000103,RULE0004
TXN0000103,RULE0003
TXN0000104,RULE0018
TXN0000105,RULE0019
TXN0000106,RULE0014
TXN0000107,RULE0007
TXN0000108,RULE0015
TXN0000109,RULE0018
TXN0000109,RULE0001
TXN0000110,RULE0006
TXN0000110,RULE0019
TXN0000110,RULE0003
TXN0000111,RULE0005
TXN0000112,RULE0019
TXN0000113,RULE0017
TXN0000114,RULE0014
TXN0000115,RULE0014
TXN0000116,RULE0003
TXN0000117,RULE0016
TXN0000117,RULE0006
TXN0000117,RULE0012
TXN0000118,RULE0009
TXN0000119,RULE0015
TXN0000120,RULE0014
TXN0000121,RULE0012
TXN0000122,RULE0011
TXN0000123,RULE0000
TXN0000124,RULE0014
TXN0000125,RULE0004
TXN0000126,RULE0017
TXN0000127,RULE0003
TXN0000127,RULE0005
TXN0000128,RULE0017
TXN0000128,RULE0004
TXN0000129,RULE0006
TXN0000130,RULE0016
TXN0000130,RULE0013
TXN0000131,RULE0017
TXN0000131,RULE0005
TXN0000132,RULE0008
TXN0000133,RULE0004
TXN0000133,RULE0013
TXN0000134,RULE0006
TXN0000135,RULE0006
TXN0000136,RULE0009
TXN0000136,RULE0011
TXN0000137,RULE0013
TXN0000138,RULE0001
TXN0000139,RULE0012
TXN0000139,RULE0019
TXN0000140,RULE0008
TXN0000141,RULE0007
TXN0000142,RULE0006
TXN0000143,RULE0008
TXN0000144,RULE0010
TXN0000145,RULE0008
TXN0000146,RULE0017
TXN0000147,RULE0016
TXN0000148,RULE0013
TXN0000149,RULE0004
TXN0000150,RULE0005
TXN0000150,RULE0003
TXN0000150,RULE0000
TXN0000151,RULE0007
TXN0000151,RULE0014
TXN0000152,RULE0002
TXN0000153,RULE0000
TXN0000154,RULE0007
TXN0000155,RULE0008
TXN0000155,RULE0016
TXN0000156,RULE0013
TXN0000157,RULE0018
TXN0000157,RULE0011
TXN0000158,RULE0017
TXN0000158,RULE0011
TXN0000159,RULE0008
TXN0000160,RULE0019
TXN0000161,RULE0018
TXN0000162,RULE0003
TXN0000162,RULE0006
TXN0000163,RULE0013
TXN0000163,RULE0006
TXN0000164,RULE0012
TXN0000164,RULE0010
TXN0000165,RULE0005
TXN0000166,RULE0014
TXN0000167,RULE0015
TXN0000168,RULE0011
TXN0000169,RULE0011
TXN0000170,RULE0013
TXN0000170,RULE0002
TXN0000171,RULE0009
TXN0000172,RULE0008
TXN0000173,RULE0002
TXN0000173,RULE0018
TXN0000173,RULE0011
TXN0000174,RULE0017
TXN0000175,RULE0017
TXN0000176,RULE0009
TXN0000177,RULE0015
TXN0000178,RULE0006
TXN0000178,RULE0019
TXN0000179,RULE0000
TXN0000180,RULE0015
TXN0000181,RULE0003
