Customer,PaymentTransaction
CUST000000,TXN0000000
CUST000000,TXN0000001
CUST000007,TXN0000002
CUST000031,TXN0000003
CUST000000,TXN0000004
CUST000000,TXN0000005
CUST000008,TXN0000006
CUST000003,TXN0000007
CUST000000,TXN0000008
CUST000000,TXN0000009
CUST000000,TXN0000010
CUST000000,TXN0000011
CUST000002,TXN0000012
CUST000000,TXN0000013
CUST000007,TXN0000014
CUST000003,TXN0000015
CUST000002,TXN0000016
CUST000011,TXN0000017
CUST000000,TXN0000018
CUST000000,TXN0000019
CUST000000,TXN0000020
CUST000000,TXN0000021
CUST000000,TXN0000022
CUST000001,TXN0000023
CUST000001,TXN0000024
CUST000006,TXN0000025
CUST000093,TXN0000026
CUST000011,TXN0000027
CUST000002,TXN0000028
CUST000001,TXN0000029
CUST000005,TXN0000030
CUST000001,TXN0000031
CUST000499,TXN0000032
CUST000000,TXN0000033
CUST000000,TXN0000034
CUST000000,TXN0000035
CUST000000,TXN0000036
CUST000007,TXN0000037
CUST000230,TXN0000038
CUST000000,TXN0000039
CUST000001,TXN0000040
CUST000000,TXN0000041
CUST000442,TXN0000042
CUST000021,TXN0000043
CUST000000,TXN0000044
CUST000001,TXN0000045
CUST000000,TXN0000046
CUST000031,TXN0000047
CUST000000,TXN0000048
CUST000004,TXN0000049
CUST000000,TXN0000050
CUST000000,TXN0000051
CUST000000,TXN0000052
CUST000001,TXN0000053
CUST000000,TXN0000054
CUST000000,TXN0000055
CUST000000,TXN0000056
CUST000002,TXN0000057
CUST000000,TXN0000058
CUST000004,TXN0000059
CUST000000,TXN0000060
CUST000000,TXN0000061
CUST000000,TXN0000062
CUST000005,TXN0000063
CUST000001,TXN0000064
CUST000000,TXN0000065
CUST000009,TXN0000066
CUST000000,TXN0000067
CUST000000,TXN0000068
CUST000003,TXN0000069
CUST000009,TXN0000070
CUST000000,TXN0000071
CUST000000,TXN0000072
CUST000000,TXN0000073
CUST000000,TXN0000074
CUST000000,TXN0000075
CUST000008,TXN0000076
CUST000001,TXN0000077
CUST000000,TXN0000078
CUST000003,TXN0000079
CUST000000,TXN0000080
CUST000000,TXN0000081
CUST000002,TXN0000082
CUST000000,TXN0000083
CUST000000,TXN0000084
CUST000000,TXN0000085
CUST000000,TXN0000086
CUST000000,TXN0000087
CUST000063,TXN0000088
CUST000000,TXN0000089
CUST000002,TXN0000090
CUST000001,TXN0000091
CUST000000,TXN0000092
CUST000002,TXN0000093
CUST000004,TXN0000094
CUST000007,TXN0000095
CUST000005,TXN0000096
CUST000002,TXN0000097
CUST000000,TXN0000098
CUST000002,TXN0000099
CUST000000,TXN0000100
CUST000001,TXN0000101
CUST000000,TXN0000102
CUST000000,TXN0000103
CUST000001,TXN0000104
CUST000000,TXN0000105
CUST000004,TXN0000106
CUST000002,TXN0000107
CUST000000,TXN0000108
CUST000001,TXN0000109
CUST000010,TXN0000110
CUST000000,TXN0000111
CUST000000,TXN0000112
CUST000000,TXN0000113
CUST000000,TXN0000114
CUST000055,TXN0000115
CUST000000,TXN0000116
CUST000000,TXN0000117
CUST000001,TXN0000118
CUST000000,TXN0000119
CUST000005,TXN0000120
CUST000001,TXN0000121
CUST000001,TXN0000122
CUST000000,TXN0000123
CUST000000,TXN0000124
CUST000001,TXN0000125
CUST000000,TXN0000126
CUST000000,TXN0000127
CUST000005,TXN0000128
CUST000000,TXN0000129
CUST000003,TXN0000130
CUST000001,TXN0000131
CUST000000,TXN0000132
CUST000000,TXN0000133
CUST000002,TXN0000134
CUST000000,TXN0000135
CUST000000,TXN0000136
CUST000006,TXN0000137
CUST000001,TXN0000138
CUST000003,TXN0000139
CUST000004,TXN0000140
CUST000005,TXN0000141
CUST000000,TXN0000142
CUST000049,TXN0000143
CUST000001,TXN0000144
CUST000000,TXN0000145
CUST000000,TXN0000146
CUST000001,TXN0000147
CUST000000,TXN0000148
CUST000003,TXN0000149
CUST000000,TXN0000150
CUST000000,TXN0000151
CUST000004,TXN0000152
CUST000002,TXN0000153
CUST000002,TXN0000154
CUST000000,TXN0000155
CUST000003,TXN0000156
CUST000000,TXN0000157
CUST000000,TXN0000158
CUST000003,TXN0000159
CUST000001,TXN0000160
CUST000023,TXN0000161
CUST000000,TXN0000162
CUST000000,TXN0000163
CUST000000,TXN0000164
CUST000000,TXN0000165
CUST000000,TXN0000166
CUST000000,TXN0000167
CUST000000,TXN0000168
CUST000001,TXN0000169
CUST000006,TXN0000170
CUST000000,TXN0000171
CUST000005,TXN0000172
CUST000000,TXN0000173
CUST000001,TXN0000174
CUST000000,TXN0000175
CUST000006,TXN0000176
CUST000000,TXN0000177
CUST000000,TXN0000178
CUST000001,TXN0000179
CUST000000,TXN0000180
CUST000010,TXN0000181
CUST000003,TXN0000182
CUST000002,TXN0000183
CUST000004,TXN0000184
CUST000000,TXN0000185
CUST000001,TXN0000186
CUST000000,TXN0000187
CUST000000,TXN0000188
CUST000000,TXN0000189
CUST000001,TXN0000190
CUST000000,TXN0000191
CUST000000,TXN0000192
CUST000046,TXN0000193
CUST000006,TXN0000194
CUST000000,TXN0000195
CUST000000,TXN0000196
CUST000000,TXN0000197
CUST000000,TXN0000198
CUST000035,TXN0000199
CUST000000,TXN0000200
CUST000014,TXN0000201
CUST000001,TXN0000202
CUST000001,TXN0000203
CUST000000,TXN0000204
CUST000000,TXN0000205
CUST000018,TXN0000206
CUST000000,TXN0000207
CUST000001,TXN0000208
CUST000000,TXN0000209
CUST000001,TXN0000210
CUST000000,TXN0000211
CUST000002,TXN0000212
CUST000000,TXN0000213
CUST000092,TXN0000214
CUST000002,TXN0000215
CUST000002,TXN0000216
CUST000000,TXN0000217
CUST000000,TXN0000218
CUST000003,TXN0000219
CUST000000,TXN0000220
CUST000000,TXN0000221
CUST000021,TXN0000222
CUST000021,TXN0000223
CUST000000,TXN0000224
CUST000499,TXN0000225
