method_id,method_type,provider,status,expiry_date,masked_identifier
PM000000,Debit Card,Visa,Active,2027-01-30,****-****-****-3604
PM000001,Digital Wallet,Visa,Active,2027-01-08,visa-796787
PM000002,Credit Card,MasterCard,Active,2029-09-26,****-****-****-4836
PM000003,Credit Card,Visa,Active,2027-04-03,****-****-****-2276
PM000004,Credit Card,MasterCard,Active,2030-09-05,****-****-****-6629
PM000005,Bank Transfer,MasterCard,Active,,mastercard-501677
PM000006,Digital Wallet,Visa,Active,2027-03-08,visa-501312
PM000007,Digital Wallet,Visa,Disabled,2028-07-28,visa-656278
PM000008,Debit Card,Visa,Active,2028-04-10,****-****-****-4490
PM000009,Credit Card,MasterCard,Active,,****-****-****-4559
PM000010,Credit Card,American Express,Active,2027-08-01,****-****-****-7291
PM000011,Debit Card,American Express,Active,2030-05-20,****-****-****-2380
PM000012,Debit Card,American Express,Active,2030-03-06,****-****-****-1439
PM000013,Debit Card,Visa,Active,2028-11-24,****-****-****-9348
PM000014,Credit Card,MasterCard,Expired,2029-04-11,****-****-****-4921
PM000015,Credit Card,MasterCard,Active,2027-11-16,****-****-****-9655
PM000016,Credit Card,MasterCard,Active,2030-06-12,****-****-****-7337
PM000017,Debit Card,MasterCard,Active,2027-05-11,****-****-****-8717
PM000018,Digital Wallet,Visa,Active,2026-12-06,visa-141761
PM000019,Bank Transfer,MasterCard,Active,,mastercard-904373
PM000020,Debit Card,Visa,Active,2029-08-28,****-****-****-3501
PM000021,Credit Card,MasterCard,Active,2027-11-09,****-****-****-3545
PM000022,Credit Card,MasterCard,Expired,2029-10-31,****-****-****-2083
PM000023,Debit Card,Google Pay,Active,,****-****-****-5005
PM000024,Debit Card,MasterCard,Active,2030-04-19,****-****-****-6067
PM000025,Debit Card,Visa,Active,2028-11-14,****-****-****-3248
PM000026,Credit Card,Google Pay,Active,2028-04-12,****-****-****-5247
PM000027,Credit Card,American Express,Active,2027-05-11,****-****-****-2934
PM000028,Credit Card,PayPal,Active,2029-08-08,****-****-****-2046
PM000029,Bank Transfer,MasterCard,Active,,mastercard-158132
PM000030,Debit Card,MasterCard,Active,2029-08-13,****-****-****-2685
PM000031,Debit Card,Visa,Active,,****-****-****-1042
PM000032,Digital Wallet,Visa,Active,,visa-257375
PM000033,Bank Transfer,Visa,Expired,,visa-787554
PM000034,Credit Card,MasterCard,Active,2028-12-20,****-****-****-5444
PM000035,Debit Card,Visa,Active,2030-11-24,****-****-****-1862
PM000036,Digital Wallet,Google Pay,Disabled,2027-10-13,google pay-587686
PM000037,Digital Wallet,Visa,Active,,visa-486839
PM000038,Debit Card,Visa,Active,2029-05-08,****-****-****-8600
PM000039,Bank Transfer,Google Pay,Expired,,google pay-673108
PM000040,Credit Card,Visa,Active,2029-02-25,****-****-****-4817
PM000041,Debit Card,MasterCard,Active,,****-****-****-6488
