transaction_id,amount,currency,status,created_at,completed_at,reference_number
TXN0000000,6.88,GBP,Completed,2025-01-10 09:40:09,2025-01-10 09:40:09,
TXN0000001,117.64,CAD,Failed,2025-05-13 23:53:14,,REF890874S
TXN0000002,12.82,CAD,Completed,2025-11-07 06:02:41,2025-11-10 06:02:41,REF191988F
TXN0000003,3.15,USD,Completed,2025-10-06 18:31:07,2025-10-07 15:31:07,REF342163H
TXN0000004,15.52,GBP,Completed,2025-06-17 12:04:51,2025-06-17 13:04:51,REF248337O
TXN0000005,173.69,USD,Completed,2025-02-19 06:53:46,2025-02-21 17:53:46,REF125862W
TXN0000006,25.74,USD,Completed,2025-08-17 06:55:27,2025-08-17 17:55:27,REF982747F
TXN0000007,20.47,GBP,Completed,2024-12-15 13:29:32,2024-12-16 13:29:32,REF276421D
TXN0000008,234.12,EUR,Completed,2025-01-18 15:53:27,2025-01-18 23:53:27,REF649907Z
TXN0000009,2.35,USD,Completed,2025-02-07 04:31:53,2025-02-07 04:31:53,REF693015D
TXN0000010,2.92,GBP,Completed,2025-02-28 04:32:15,2025-03-01 07:32:15,REF448458R
TXN0000011,1.78,EUR,Pending,2025-09-02 20:34:17,,REF586277W
TXN0000012,35.13,USD,Completed,2025-07-24 04:23:30,,REF146616W
TXN0000013,25.78,USD,Completed,2025-06-17 14:38:45,2025-06-20 10:38:45,REF833336T
TXN0000014,203.18,USD,Cancelled,2025-11-10 23:12:42,,REF262081Q
TXN0000015,28.94,USD,Completed,2025-01-04 14:43:04,2025-01-07 07:43:04,
TXN0000016,10.95,USD,Completed,2025-09-27 01:50:50,2025-09-27 13:50:50,REF244810F
TXN0000017,20.14,USD,Completed,2025-03-04 06:31:03,2025-03-05 04:31:03,REF744918J
TXN0000018,23.96,EUR,Pending,2024-12-17 02:30:04,,
TXN0000019,1.64,USD,Completed,2025-01-17 01:50:16,2025-01-18 12:50:16,
TXN0000020,1170.86,EUR,Pending,2025-11-29 00:27:08,,REF650398X
TXN0000021,43.81,USD,Failed,2025-09-23 20:23:31,,REF731707W
TXN0000022,27.52,USD,Completed,2025-07-30 19:25:29,2025-07-30 20:25:29,
TXN0000023,50.54,CAD,Completed,2025-01-30 11:18:12,2025-01-31 06:18:12,
TXN0000024,58.21,EUR,Completed,2025-08-20 15:10:15,2025-08-21 07:10:15,REF208250H
TXN0000025,16.27,USD,Pending,2025-04-22 19:54:23,,REF627788C
TXN0000026,7.79,JPY,Completed,2025-10-14 10:23:00,2025-10-16 12:23:00,
TXN0000027,49.36,GBP,Completed,2025-09-07 06:19:29,2025-09-08 11:19:29,REF561342O
