PaymentTransaction,Merchant
TXN0000000,MERC00099
TXN0000001,MERC00001
TXN0000002,MERC00003
TXN0000003,MERC00000
TXN0000004,MERC00001
TXN0000005,MERC00000
TXN0000006,MERC00006
TXN0000007,MERC00000
TXN0000008,MERC00000
TXN0000009,MERC00003
TXN0000010,MERC00035
TXN0000011,MERC00000
TXN0000012,MERC00000
TXN0000013,MERC00005
TXN0000014,MERC00099
TXN0000015,MERC00000
TXN0000016,MERC00003
TXN0000017,MERC00000
TXN0000018,MERC00000
TXN0000019,MERC00000
TXN0000020,MERC00001
TXN0000021,MERC00099
TXN0000022,MERC00005
TXN0000023,MERC00009
TXN0000024,MERC00001
TXN0000025,MERC00000
TXN0000026,MERC00069
TXN0000027,MERC00000
TXN0000028,MERC00000
TXN0000029,MERC00002
TXN0000030,MERC00001
TXN0000031,MERC00002
TXN0000032,MERC00099
TXN0000033,MERC00000
TXN0000034,MERC00035
TXN0000035,MERC00000
TXN0000036,MERC00001
TXN0000037,MERC00000
TXN0000038,MERC00032
TXN0000039,MERC00001
TXN0000040,MERC00001
TXN0000041,MERC00001
TXN0000042,MERC00000
TXN0000043,MERC00000
TXN0000044,MERC00001
TXN0000045,MERC00099
TXN0000046,MERC00001
TXN0000047,MERC00004
TXN0000048,MERC00000
TXN0000049,MERC00005
TXN0000050,MERC00001
TXN0000051,MERC00000
TXN0000052,MERC00095
TXN0000053,MERC00032
TXN0000054,MERC00002
TXN0000055,MERC00002
TXN0000056,MERC00005
TXN0000057,MERC00000
TXN0000058,MERC00000
TXN0000059,MERC00017
TXN0000060,MERC00000
TXN0000061,MERC00004
TXN0000062,MERC00099
TXN0000063,MERC00007
TXN0000064,MERC00001
TXN0000065,MERC00000
TXN0000066,MERC00000
TXN0000067,MERC00003
TXN0000068,MERC00000
TXN0000069,MERC00000
TXN0000070,MERC00000
TXN0000071,MERC00000
TXN0000072,MERC00002
TXN0000073,MERC00099
TXN0000074,MERC00000
TXN0000075,MERC00000
TXN0000076,MERC00000
TXN0000077,MERC00010
TXN0000078,MERC00000
TXN0000079,MERC00000
TXN0000080,MERC00003
TXN0000081,MERC00015
TXN0000082,MERC00000
TXN0000083,MERC00002
TXN0000084,MERC00001
TXN0000085,MERC00099
TXN0000086,MERC00000
TXN0000087,MERC00048
TXN0000088,MERC00031
TXN0000089,MERC00000
TXN0000090,MERC00004
TXN0000091,MERC00004
TXN0000092,MERC00005
TXN0000093,MERC00000
TXN0000094,MERC00000
TXN0000095,MERC00035
TXN0000096,MERC00005
TXN0000097,MERC00001
TXN0000098,MERC00006
TXN0000099,MERC00000
TXN0000100,MERC00000
TXN0000101,MERC00005
TXN0000102,MERC00000
TXN0000103,MERC00004
TXN0000104,MERC00007
TXN0000105,MERC00006
TXN0000106,MERC00002
TXN0000107,MERC00000
TXN0000108,MERC00007
TXN0000109,MERC00000
TXN0000110,MERC00000
TXN0000111,MERC00004
TXN0000112,MERC00000
TXN0000113,MERC00000
TXN0000114,MERC00000
TXN0000115,MERC00001
TXN0000116,MERC00003
TXN0000117,MERC00025
TXN0000118,MERC00024
TXN0000119,MERC00097
TXN0000120,MERC00005
TXN0000121,MERC00001
TXN0000122,MERC00000
TXN0000123,MERC00014
TXN0000124,MERC00032
TXN0000125,MERC00037
TXN0000126,MERC00014
TXN0000127,MERC00038
TXN0000128,MERC00017
TXN0000129,MERC00004
TXN0000130,MERC00000
TXN0000131,MERC00000
TXN0000132,MERC00071
TXN0000133,MERC00003
TXN0000134,MERC00000
TXN0000135,MERC00000
TXN0000136,MERC00016
TXN0000137,MERC00099
TXN0000138,MERC00003
TXN0000139,MERC00099
TXN0000140,MERC00003
TXN0000141,MERC00001
TXN0000142,MERC00007
TXN0000143,MERC00002
TXN0000144,MERC00001
TXN0000145,MERC00000
TXN0000146,MERC00003
TXN0000147,MERC00000
TXN0000148,MERC00035
TXN0000149,MERC00000
TXN0000150,MERC00000
TXN0000151,MERC00028
TXN0000152,MERC00012
TXN0000153,MERC00008
TXN0000154,MERC00000
TXN0000155,MERC00000
TXN0000156,MERC00000
TXN0000157,MERC00002
TXN0000158,MERC00011
TXN0000159,MERC00001
TXN0000160,MERC00019
TXN0000161,MERC00000
TXN0000162,MERC00001
TXN0000163,MERC00000
TXN0000164,MERC00001
TXN0000165,MERC00000
TXN0000166,MERC00006
TXN0000167,MERC00000
TXN0000168,MERC00004
TXN0000169,MERC00099
TXN0000170,MERC00000
TXN0000171,MERC00000
TXN0000172,MERC00002
TXN0000173,MERC00023
TXN0000174,MERC00001
TXN0000175,MERC00000
TXN0000176,MERC00004
TXN0000177,MERC00099
TXN0000178,MERC00000
TXN0000179,MERC00000
TXN0000180,MERC00005
TXN0000181,MERC00005
TXN0000182,MERC00001
TXN0000183,MERC00001
TXN0000184,MERC00006
TXN0000185,MERC00000
TXN0000186,MERC00000
TXN0000187,MERC00002
TXN0000188,MERC00099
TXN0000189,MERC00011
TXN0000190,MERC00000
TXN0000191,MERC00000
TXN0000192,MERC00001
TXN0000193,MERC00000
TXN0000194,MERC00001
TXN0000195,MERC00000
TXN0000196,MERC00017
TXN0000197,MERC00000
TXN0000198,MERC00007
TXN0000199,MERC00000
TXN0000200,MERC00003
TXN0000201,MERC00000
TXN0000202,MERC00000
TXN0000203,MERC00008
TXN0000204,MERC00099
TXN0000205,MERC00000
TXN0000206,MERC00004
TXN0000207,MERC00001
TXN0000208,MERC00000
TXN0000209,MERC00007
TXN0000210,MERC00001
TXN0000211,MERC00000
TXN0000212,MERC00000
TXN0000213,MERC00005
TXN0000214,MERC00011
TXN0000215,MERC00003
TXN0000216,MERC00002
TXN0000217,MERC00001
TXN0000218,MERC00020
TXN0000219,MERC00099
TXN0000220,MERC00078
TXN0000221,MERC00006
TXN0000222,MERC00008
TXN0000223,MERC00000
TXN0000224,MERC00000
TXN0000225,MERC00000
TXN0000226,MERC00001
TXN0000227,MERC00003
TXN0000228,MERC00011
TXN0000229,MERC00001
TXN0000230,MERC00001
TXN0000231,MERC00000
TXN0000232,MERC00000
TXN0000233,MERC00002
TXN0000234,MERC00002
TXN0000235,MERC00099
TXN0000236,MERC00000
TXN0000237,MERC00005
TXN0000238,MERC00011
TXN0000239,MERC00002
TXN0000240,MERC00003
TXN0000241,MERC00000
TXN0000242,MERC00010
TXN0000243,MERC00002
TXN0000244,MERC00004
TXN0000245,MERC00000
TXN0000246,MERC00004
TXN0000247,MERC00081
TXN0000248,MERC00000
TXN0000249,MERC00001
TXN0000250,MERC00000
TXN0000251,MERC00000
TXN0000252,MERC00000
TXN0000253,MERC00002
TXN0000254,MERC00000
TXN0000255,MERC00099
TXN0000256,MERC00000
TXN0000257,MERC00000
TXN0000258,MERC00000
TXN0000259,MERC00000
TXN0000260,MERC00000
TXN0000261,MERC00001
TXN0000262,MERC00003
TXN0000263,MERC00002
TXN0000264,MERC00001
TXN0000265,MERC00000
TXN0000266,MERC00006
TXN0000267,MERC00004
TXN0000268,MERC00000
TXN0000269,MERC00016
TXN0000270,MERC00000
TXN0000271,MERC00013
TXN0000272,MERC00001
TXN0000273,MERC00012
TXN0000274,MERC00002
TXN0000275,MERC00003
TXN0000276,MERC00003
TXN0000277,MERC00001
TXN0000278,MERC00000
TXN0000279,MERC00001
TXN0000280,MERC00006
TXN0000281,MERC00000
TXN0000282,MERC00023
TXN0000283,MERC00004
TXN0000284,MERC00002
TXN0000285,MERC00002
TXN0000286,MERC00001
TXN0000287,MERC00002
TXN0000288,MERC00005
TXN0000289,MERC00000
TXN0000290,MERC00001
TXN0000291,MERC00044
TXN0000292,MERC00000
TXN0000293,MERC00097
TXN0000294,MERC00001
TXN0000295,MERC00000
TXN0000296,MERC00099
TXN0000297,MERC00000
TXN0000298,MERC00053
TXN0000299,MERC00055
TXN0000300,MERC00002
TXN0000301,MERC00001
TXN0000302,MERC00000
TXN0000303,MERC00001
TXN0000304,MERC00014
TXN0000305,MERC00000
TXN0000306,MERC00039
TXN0000307,MERC00000
TXN0000308,MERC00000
TXN0000309,MERC00000
TXN0000310,MERC00032
TXN0000311,MERC00001
TXN0000312,MERC00037
TXN0000313,MERC00000
TXN0000314,MERC00003
TXN0000315,MERC00066
TXN0000316,MERC00001
TXN0000317,MERC00000
TXN0000318,MERC00000
TXN0000319,MERC00000
TXN0000320,MERC00010
TXN0000321,MERC00000
TXN0000322,MERC00000
TXN0000323,MERC00001
TXN0000324,MERC00001
TXN0000325,MERC00000
TXN0000326,MERC00000
TXN0000327,MERC00005
TXN0000328,MERC00000
TXN0000329,MERC00003
TXN0000330,MERC00000
TXN0000331,MERC00002
TXN0000332,MERC00006
TXN0000333,MERC00006
TXN0000334,MERC00001
TXN0000335,MERC00061
TXN0000336,MERC00001
TXN0000337,MERC00000
TXN0000338,MERC00000
TXN0000339,MERC00000
TXN0000340,MERC00000
TXN0000341,MERC00001
TXN0000342,MERC00001
TXN0000343,MERC00000
TXN0000344,MERC00000
TXN0000345,MERC00000
TXN0000346,MERC00001
TXN0000347,MERC00000
TXN0000348,MERC00000
TXN0000349,MERC00004
TXN0000350,MERC00003
TXN0000351,MERC00002
TXN0000352,MERC00003
TXN0000353,MERC00014
TXN0000354,MERC00000
TXN0000355,MERC00005
TXN0000356,MERC00000
TXN0000357,MERC00000
TXN0000358,MERC00000
TXN0000359,MERC00000
TXN0000360,MERC00057
TXN0000361,MERC00000
TXN0000362,MERC00000
TXN0000363,MERC00024
TXN0000364,MERC00002
TXN0000365,MERC00000
TXN0000366,MERC00000
TXN0000367,MERC00000
TXN0000368,MERC00006
TXN0000369,MERC00000
TXN0000370,MERC00052
TXN0000371,MERC00000
TXN0000372,MERC00028
TXN0000373,MERC00007
TXN0000374,MERC00000
TXN0000375,MERC00000
TXN0000376,MERC00001
TXN0000377,MERC00005
TXN0000378,MERC00001
TXN0000379,MERC00001
TXN0000380,MERC00001
TXN0000381,MERC00000
TXN0000382,MERC00045
TXN0000383,MERC00003
TXN0000384,MERC00004
TXN0000385,MERC00006
TXN0000386,MERC00001
TXN0000387,MERC00000
TXN0000388,MERC00000
TXN0000389,MERC00005
TXN0000390,MERC00000
TXN0000391,MERC00070
TXN0000392,MERC00007
TXN0000393,MERC00001
TXN0000394,MERC00010
TXN0000395,MERC00000
TXN0000396,MERC00000
