assessment_id,score,assessed_at,risk_level
RA000000,18,2025-09-23 03:55:04,Low
RA000001,67,2025-01-06 08:33:01,Medium
RA000002,40,2025-08-11 06:45:11,Medium
RA000003,52,2025-11-08 03:43:16,Medium
RA000004,82,2025-02-26 15:09:02,High
RA000005,67,2025-01-03 10:48:51,Medium
RA000006,44,2025-09-16 02:52:59,Medium
RA000007,32,2025-02-15 11:41:10,Medium
RA000008,6,2025-08-14 05:46:06,Low
RA000009,35,2025-04-24 09:34:46,Medium
RA000010,45,2025-04-15 09:15:05,Medium
RA000011,30,2025-03-30 11:51:14,Medium
RA000012,47,2025-11-06 15:27:22,Medium
RA000013,51,2025-06-27 22:26:36,Medium
RA000014,45,2025-06-24 10:00:52,Medium
RA000015,36,2024-12-26 14:59:27,Medium
RA000016,53,2025-02-04 09:26:18,Medium
RA000017,58,2025-07-13 13:45:59,Medium
RA000018,28,2025-01-06 17:31:55,Low
RA000019,78,2025-03-03 04:11:09,High
RA000020,48,2025-07-23 09:51:21,Medium
RA000021,50,2025-01-15 15:51:48,Medium
RA000022,64,2025-06-16 14:35:53,Medium
RA000023,54,2025-06-08 13:03:33,Medium
RA000024,69,2025-05-04 02:30:02,Medium
RA000025,55,2025-05-05 09:13:54,Medium
RA000026,37,2025-07-26 00:37:48,Medium
RA000027,57,2024-12-21 02:44:29,Medium
RA000028,27,2025-04-06 09:03:56,Low
RA000029,52,2025-08-07 14:42:24,Medium
RA000030,49,2025-04-11 03:31:53,Medium
RA000031,45,2025-03-29 19:29:38,Medium
RA000032,47,2025-03-05 06:41:05,Medium
RA000033,12,2025-09-11 00:08:00,Low
RA000034,39,2025-09-27 06:31:42,Medium
RA000035,51,2025-02-15 06:10:21,Medium
RA000036,53,2025-10-19 06:24:48,Medium
RA000037,29,2025-03-16 06:18:14,Low
RA000038,75,2025-02-05 00:46:34,High
RA000039,32,2025-11-13 03:13:04,Medium
RA000040,69,2025-02-26 21:13:46,Medium
RA000041,58,2025-01-15 12:19:10,Medium
RA000042,37,2025-01-27 23:13:22,Medium
RA000043,85,2025-11-22 01:54:26,High
RA000044,26,2025-01-12 19:49:34,Low
RA000045,68,2025-07-16 07:40:02,Medium
RA000046,70,2025-07-30 23:43:07,High
RA000047,36,2025-09-08 08:27:02,Medium
RA000048,77,2025-05-02 15:04:39,High
RA000049,44,2025-11-29 02:25:09,Medium
RA000050,55,2025-07-08 21:51:12,Medium
RA000051,55,2025-05-11 14:12:46,Medium
RA000052,47,2025-10-25 17:50:21,Medium
RA000053,66,2025-03-10 14:39:37,Medium
RA000054,65,2025-04-20 14:20:49,Medium
RA000055,15,2025-10-22 06:08:27,Low
RA000056,76,2025-02-12 09:27:10,High
RA000057,16,2025-04-13 02:12:16,Low
RA000058,70,2025-08-29 08:51:29,High
RA000059,72,2025-01-05 04:21:12,High
RA000060,28,2025-11-17 12:49:43,Low
RA000061,41,2025-09-17 06:47:41,Medium
RA000062,27,2025-03-04 05:17:04,Low
RA000063,45,2025-09-23 16:54:51,Medium
RA000064,43,2025-01-03 12:02:17,Medium
RA000065,65,2025-11-16 01:48:51,Medium
RA000066,76,2025-06-29 03:20:03,High
RA000067,77,2025-01-01 11:53:08,High
RA000068,38,2025-11-06 01:24:09,Medium
RA000069,45,2025-08-29 09:48:45,Medium
RA000070,16,2024-12-16 00:40:31,Low
RA000071,33,2025-06-05 20:34:16,Medium
RA000072,69,2025-08-14 22:59:19,Medium
RA000073,82,2025-10-22 22:20:33,High
RA000074,25,2025-05-25 03:40:15,Low
RA000075,38,2025-09-02 04:55:39,Medium
RA000076,49,2025-06-20 11:08:20,Medium
RA000077,55,2025-05-12 23:03:17,Medium
RA000078,33,2025-04-12 17:27:09,Medium
RA000079,58,2025-03-01 15:48:23,Medium
RA000080,40,2025-10-03 07:32:49,Medium
RA000081,49,2025-06-18 12:51:19,Medium
RA000082,60,2024-12-30 14:10:31,Medium
RA000083,50,2024-12-31 02:34:06,Medium
RA000084,41,2025-01-17 20:15:52,Medium
