LAKE,RIVER
LAKE_0000,RIVER_0033
LAKE_0000,RIVER_0104
LAKE_0001,RIVER_0063
LAKE_0002,RIVER_0147
LAKE_0002,RIVER_0096
LAKE_0003,RIVER_0093
LAKE_0004,RIVER_0003
LAKE_0005,RIVER_0098
LAKE_0006,RIVER_0136
LAKE_0007,RIVER_0004
LAKE_0007,RIVER_0033
LAKE_0008,RIVER_0124
LAKE_0008,RIVER_0142
LAKE_0009,RIVER_0001
LAKE_0009,RIVER_0055
LAKE_0010,RIVER_0132
LAKE_0010,RIVER_0102
LAKE_0011,RIVER_0084
LAKE_0012,RIVER_0100
LAKE_0013,RIVER_0010
LAKE_0014,RIVER_0101
LAKE_0014,RIVER_0061
LAKE_0015,RIVER_0002
LAKE_0015,RIVER_0094
LAKE_0016,RIVER_0033
LAKE_0017,RIVER_0135
LAKE_0017,RIVER_0022
LAKE_0017,RIVER_0109
LAKE_0018,RIVER_0002
LAKE_0018,RIVER_0139
LAKE_0019,RIVER_0030
LAKE_0019,RIVER_0002
LAKE_0019,RIVER_0055
LAKE_0020,RIVER_0011
LAKE_0020,RIVER_0030
LAKE_0020,RIVER_0042
LAKE_0021,RIVER_0060
LAKE_0022,RIVER_0007
LAKE_0022,RIVER_0036
LAKE_0022,RIVER_0093
LAKE_0023,RIVER_0005
LAKE_0024,RIVER_0067
LAKE_0024,RIVER_0086
LAKE_0024,RIVER_0040
LAKE_0025,RIVER_0051
LAKE_0025,RIVER_0117
LAKE_0025,RIVER_0094
LAKE_0026,RIVER_0119
LAKE_0026,RIVER_0093
LAKE_0026,RIVER_0059
LAKE_0027,RIVER_0147
LAKE_0028,RIVER_0047
LAKE_0028,RIVER_0100
LAKE_0028,RIVER_0010
LAKE_0029,RIVER_0136
LAKE_0030,RIVER_0011
LAKE_0030,RIVER_0034
LAKE_0031,RIVER_0089
LAKE_0031,RIVER_0126
LAKE_0032,RIVER_0082
LAKE_0032,RIVER_0065
LAKE_0033,RIVER_0035
LAKE_0033,RIVER_0011
LAKE_0034,RIVER_0073
LAKE_0034,RIVER_0142
LAKE_0035,RIVER_0072
LAKE_0035,RIVER_0073
LAKE_0035,RIVER_0084
LAKE_0036,RIVER_0131
LAKE_0037,RIVER_0031
LAKE_0038,RIVER_0004
LAKE_0038,RIVER_0143
LAKE_0038,RIVER_0030
LAKE_0039,RIVER_0140
LAKE_0039,RIVER_0099
LAKE_0039,RIVER_0089
LAKE_0040,RIVER_0089
LAKE_0040,RIVER_0135
LAKE_0040,RIVER_0054
LAKE_0041,RIVER_0072
LAKE_0041,RIVER_0084
LAKE_0042,RIVER_0103
LAKE_0042,RIVER_0040
LAKE_0043,RIVER_0094
LAKE_0044,RIVER_0031
LAKE_0045,RIVER_0126
LAKE_0045,RIVER_0013
LAKE_0046,RIVER_0104
LAKE_0046,RIVER_0097
LAKE_0047,RIVER_0060
LAKE_0048,RIVER_0026
LAKE_0048,RIVER_0107
LAKE_0049,RIVER_0079
LAKE_0050,RIVER_0108
LAKE_0050,RIVER_0007
LAKE_0050,RIVER_0114
LAKE_0051,RIVER_0075
LAKE_0052,RIVER_0039
LAKE_0052,RIVER_0107
LAKE_0053,RIVER_0004
LAKE_0053,RIVER_0033
LAKE_0054,RIVER_0090
LAKE_0055,RIVER_0093
LAKE_0056,RIVER_0093
LAKE_0056,RIVER_0006
LAKE_0056,RIVER_0018
LAKE_0057,RIVER_0050
LAKE_0057,RIVER_0001
LAKE_0058,RIVER_0112
LAKE_0059,RIVER_0023
LAKE_0060,RIVER_0127
LAKE_0060,RIVER_0024
LAKE_0061,RIVER_0108
LAKE_0061,RIVER_0013
LAKE_0062,RIVER_0134
LAKE_0062,RIVER_0112
LAKE_0063,RIVER_0015
LAKE_0063,RIVER_0095
LAKE_0063,RIVER_0033
LAKE_0064,RIVER_0065
LAKE_0065,RIVER_0019
LAKE_0065,RIVER_0053
LAKE_0066,RIVER_0083
LAKE_0067,RIVER_0113
LAKE_0067,RIVER_0145
LAKE_0068,RIVER_0014
LAKE_0068,RIVER_0096
LAKE_0069,RIVER_0093
LAKE_0069,RIVER_0054
LAKE_0070,RIVER_0081
LAKE_0071,RIVER_0119
LAKE_0071,RIVER_0149
LAKE_0071,RIVER_0013
LAKE_0072,RIVER_0117
LAKE_0072,RIVER_0031
LAKE_0073,RIVER_0020
