CITY,DISTRICT
CITY_0036,DISTRICT_0000
CITY_0222,DISTRICT_0001
CITY_0252,DISTRICT_0002
CITY_0110,DISTRICT_0003
CITY_0019,DISTRICT_0004
CITY_0037,DISTRICT_0005
CITY_0128,DISTRICT_0006
CITY_0278,DISTRICT_0007
CITY_0046,DISTRICT_0008
CITY_0053,DISTRICT_0009
CITY_0205,DISTRICT_0010
CITY_0005,DISTRICT_0011
CITY_0144,DISTRICT_0012
CITY_0296,DISTRICT_0013
CITY_0042,DISTRICT_0014
CITY_0012,DISTRICT_0015
CITY_0024,DISTRICT_0016
CITY_0159,DISTRICT_0017
CITY_0082,DISTRICT_0018
CITY_0019,DISTRICT_0019
CITY_0077,DISTRICT_0020
CITY_0271,DISTRICT_0021
CITY_0287,DISTRICT_0022
CITY_0213,DISTRICT_0023
CITY_0213,DISTRICT_0024
CITY_0060,DISTRICT_0025
CITY_0206,DISTRICT_0026
CITY_0278,DISTRICT_0027
CITY_0016,DISTRICT_0028
CITY_0037,DISTRICT_0029
CITY_0020,DISTRICT_0030
CITY_0126,DISTRICT_0031
CITY_0149,DISTRICT_0032
CITY_0073,DISTRICT_0033
CITY_0062,DISTRICT_0034
CITY_0102,DISTRICT_0035
CITY_0132,DISTRICT_0036
CITY_0256,DISTRICT_0037
CITY_0168,DISTRICT_0038
CITY_0154,DISTRICT_0039
CITY_0283,DISTRICT_0040
CITY_0133,DISTRICT_0041
CITY_0079,DISTRICT_0042
CITY_0030,DISTRICT_0043
CITY_0107,DISTRICT_0044
CITY_0163,DISTRICT_0045
CITY_0101,DISTRICT_0046
CITY_0038,DISTRICT_0047
CITY_0217,DISTRICT_0048
CITY_0031,DISTRICT_0049
CITY_0244,DISTRICT_0050
CITY_0289,DISTRICT_0051
CITY_0049,DISTRICT_0052
CITY_0248,DISTRICT_0053
CITY_0051,DISTRICT_0054
CITY_0105,DISTRICT_0055
CITY_0278,DISTRICT_0056
CITY_0195,DISTRICT_0057
CITY_0030,DISTRICT_0058
CITY_0040,DISTRICT_0059
CITY_0165,DISTRICT_0060
CITY_0246,DISTRICT_0061
CITY_0050,DISTRICT_0062
CITY_0044,DISTRICT_0063
CITY_0253,DISTRICT_0064
CITY_0059,DISTRICT_0065
CITY_0104,DISTRICT_0066
CITY_0069,DISTRICT_0067
CITY_0050,DISTRICT_0068
CITY_0298,DISTRICT_0069
CITY_0158,DISTRICT_0070
CITY_0008,DISTRICT_0071
CITY_0069,DISTRICT_0072
