CITY,PROVINCE
CITY_0100,PROVINCE_0000
CITY_0280,PROVINCE_0001
CITY_0114,PROVINCE_0002
CITY_0165,PROVINCE_0003
CITY_0138,PROVINCE_0004
CITY_0108,PROVINCE_0005
CITY_0146,PROVINCE_0006
CITY_0210,PROVINCE_0007
CITY_0280,PROVINCE_0008
CITY_0168,PROVINCE_0009
CITY_0256,PROVINCE_0010
CITY_0219,PROVINCE_0011
CITY_0126,PROVINCE_0012
CITY_0295,PROVINCE_0013
CITY_0013,PROVINCE_0014
CITY_0211,PROVINCE_0015
CITY_0051,PROVINCE_0016
CITY_0201,PROVINCE_0017
CITY_0275,PROVINCE_0018
CITY_0075,PROVINCE_0019
CITY_0151,PROVINCE_0020
CITY_0289,PROVINCE_0021
CITY_0240,PROVINCE_0022
CITY_0121,PROVINCE_0023
CITY_0279,PROVINCE_0024
CITY_0039,PROVINCE_0025
CITY_0212,PROVINCE_0026
CITY_0049,PROVINCE_0027
CITY_0181,PROVINCE_0028
CITY_0114,PROVINCE_0029
CITY_0256,PROVINCE_0030
CITY_0042,PROVINCE_0031
CITY_0051,PROVINCE_0032
CITY_0201,PROVINCE_0033
CITY_0263,PROVINCE_0034
CITY_0100,PROVINCE_0035
CITY_0236,PROVINCE_0036
CITY_0045,PROVINCE_0037
CITY_0014,PROVINCE_0038
CITY_0125,PROVINCE_0039
CITY_0011,PROVINCE_0040
CITY_0254,PROVINCE_0041
CITY_0106,PROVINCE_0042
CITY_0242,PROVINCE_0043
CITY_0066,PROVINCE_0044
CITY_0194,PROVINCE_0045
CITY_0030,PROVINCE_0046
CITY_0241,PROVINCE_0047
CITY_0085,PROVINCE_0048
CITY_0002,PROVINCE_0049
CITY_0048,PROVINCE_0050
CITY_0140,PROVINCE_0051
CITY_0274,PROVINCE_0052
CITY_0216,PROVINCE_0053
CITY_0246,PROVINCE_0054
CITY_0283,PROVINCE_0055
CITY_0009,PROVINCE_0056
CITY_0284,PROVINCE_0057
CITY_0071,PROVINCE_0058
CITY_0197,PROVINCE_0059
CITY_0140,PROVINCE_0060
CITY_0293,PROVINCE_0061
CITY_0106,PROVINCE_0062
CITY_0060,PROVINCE_0063
CITY_0067,PROVINCE_0064
CITY_0062,PROVINCE_0065
CITY_0146,PROVINCE_0066
CITY_0203,PROVINCE_0067
CITY_0100,PROVINCE_0068
CITY_0152,PROVINCE_0069
CITY_0226,PROVINCE_0070
CITY_0203,PROVINCE_0071
CITY_0094,PROVINCE_0072
CITY_0165,PROVINCE_0073
CITY_0142,PROVINCE_0074
CITY_0073,PROVINCE_0075
CITY_0296,PROVINCE_0076
CITY_0084,PROVINCE_0077
CITY_0198,PROVINCE_0078
CITY_0151,PROVINCE_0079
CITY_0176,PROVINCE_0080
CITY_0207,PROVINCE_0081
CITY_0105,PROVINCE_0082
CITY_0097,PROVINCE_0083
CITY_0055,PROVINCE_0084
CITY_0235,PROVINCE_0085
CITY_0071,PROVINCE_0086
CITY_0299,PROVINCE_0087
CITY_0153,PROVINCE_0088
CITY_0005,PROVINCE_0089
CITY_0110,PROVINCE_0090
CITY_0202,PROVINCE_0091
CITY_0293,PROVINCE_0092
CITY_0134,PROVINCE_0093
CITY_0258,PROVINCE_0094
CITY_0040,PROVINCE_0095
CITY_0056,PROVINCE_0096
CITY_0092,PROVINCE_0097
CITY_0211,PROVINCE_0098
CITY_0196,PROVINCE_0099
CITY_0149,PROVINCE_0100
CITY_0290,PROVINCE_0101
CITY_0235,PROVINCE_0102
CITY_0045,PROVINCE_0103
CITY_0209,PROVINCE_0104
CITY_0231,PROVINCE_0105
CITY_0013,PROVINCE_0106
CITY_0210,PROVINCE_0107
CITY_0281,PROVINCE_0108
CITY_0114,PROVINCE_0109
CITY_0111,PROVINCE_0110
CITY_0168,PROVINCE_0111
CITY_0112,PROVINCE_0112
CITY_0056,PROVINCE_0113
CITY_0016,PROVINCE_0114
CITY_0053,PROVINCE_0115
CITY_0199,PROVINCE_0116
CITY_0055,PROVINCE_0117
CITY_0086,PROVINCE_0118
CITY_0179,PROVINCE_0119
CITY_0292,PROVINCE_0120
CITY_0014,PROVINCE_0121
CITY_0058,PROVINCE_0122
CITY_0205,PROVINCE_0123
CITY_0126,PROVINCE_0124
CITY_0290,PROVINCE_0125
CITY_0139,PROVINCE_0126
CITY_0299,PROVINCE_0127
CITY_0017,PROVINCE_0128
CITY_0041,PROVINCE_0129
CITY_0099,PROVINCE_0130
CITY_0115,PROVINCE_0131
CITY_0118,PROVINCE_0132
CITY_0139,PROVINCE_0133
CITY_0139,PROVINCE_0134
CITY_0110,PROVINCE_0135
CITY_0243,PROVINCE_0136
CITY_0214,PROVINCE_0137
CITY_0246,PROVINCE_0138
CITY_0105,PROVINCE_0139
CITY_0140,PROVINCE_0140
CITY_0273,PROVINCE_0141
CITY_0051,PROVINCE_0142
CITY_0144,PROVINCE_0143
CITY_0023,PROVINCE_0144
CITY_0288,PROVINCE_0145
CITY_0279,PROVINCE_0146
CITY_0135,PROVINCE_0147
CITY_0045,PROVINCE_0148
CITY_0031,PROVINCE_0149
