city_id,name,population,area,latitude,longitude
CITY_0000,Austinfurt,25848,81.91,57.139841,65.986336
CITY_0001,Sethland,94198,221.54,-28.472877,-19.475026
CITY_0002,North Stevenhaven,104242,405.55,-43.303782,-81.4944
CITY_0003,Port Vanessaville,57356,422.83,-21.655367,178.96482
CITY_0004,Lake Ronnie,131969,257.22,16.25309,-26.574731
CITY_0005,East Danielle,275203,752.09,-41.748545,-17.500671
CITY_0006,North Katherineport,1889913,138.71,22.346803,-121.095424
CITY_0007,Rossland,204219,349.89,-16.305903,106.131438
CITY_0008,North Shannonland,227479,455.0,9.368493,69.725601
CITY_0009,New Robertview,147741,674.82,-11.497225,-100.522939
CITY_0010,Bentleyton,13434,,-36.996163,
CITY_0011,Port Shannonport,157240,,,64.979749
CITY_0012,East Michael,176010,87.0,47.449043,55.624037
CITY_0013,Jensenmouth,4001639,1447.62,-64.779628,-81.62657
CITY_0014,East Christina,126744,562.46,66.324236,162.310882
CITY_0015,Jonesbury,240869,190.85,-2.262384,-125.619159
CITY_0016,Maxwellbury,155573,1902.93,71.019401,-24.359472
CITY_0017,Scotttown,35621,452.9,53.973946,159.701731
CITY_0018,Analand,719038,1311.99,-13.461569,-28.898166
CITY_0019,Melaniebury,432575,431.61,-85.955525,49.869341
CITY_0020,Kylestad,455131,3167.66,-41.638075,-36.866017
CITY_0021,Mitchellfort,49900,2334.0,7.494159,-81.282527
CITY_0022,Jonathanland,1008155,314.52,24.02608,174.231953
CITY_0023,Jonesville,26307,1065.9,-43.580217,-32.639758
CITY_0024,Lake Austin,349030,769.22,-64.915907,141.875713
CITY_0025,Richardview,2806903,1585.46,60.287443,-97.216342
CITY_0026,Aliciaside,44904,153.71,87.192393,-103.282307
CITY_0027,West Mark,77949,801.15,4.624233,-168.79173
CITY_0028,South Robertchester,185265,1162.61,-59.097729,54.600057
CITY_0029,West Tylerhaven,84582,69.5,-40.984681,-47.330516
CITY_0030,Castilloport,21679,123.56,-86.689678,131.16897
CITY_0031,Gonzalezborough,177927,52.5,74.573785,-9.644434
CITY_0032,Christopherborough,40904,308.15,-68.804805,168.549634
CITY_0033,South Erinhaven,301242,826.78,13.772966,-113.210814
