climate_zone_id,name,description
CLIMATE_ZONE_000,Subtropical,Offer dark use area house.
CLIMATE_ZONE_001,Tropical,
CLIMATE_ZONE_002,Temperate,Community reality reality program certain.
CLIMATE_ZONE_003,Oceanic,Seven these option look series return science.
CLIMATE_ZONE_004,Temperate,
CLIMATE_ZONE_005,Mediterranean,Gun energy difficult term similar.
CLIMATE_ZONE_006,Mediterranean,
CLIMATE_ZONE_007,Tropical,Bit may money sit crime major glass.
CLIMATE_ZONE_008,Temperate,Skill everything same agree several.
CLIMATE_ZONE_009,Temperate,Answer cut thing set challenge than.
CLIMATE_ZONE_010,Tropical,Degree himself already dark position.
CLIMATE_ZONE_011,Temperate,Carry many type discuss hear.
CLIMATE_ZONE_012,Temperate,
CLIMATE_ZONE_013,Oceanic,Look kind push or push try.
CLIMATE_ZONE_014,Subtropical,Garden start foot sense use every wait happy.
CLIMATE_ZONE_015,Humid Continental,Put need vote stuff sport more.
CLIMATE_ZONE_016,Subtropical,Not resource catch side opportunity.
CLIMATE_ZONE_017,Subtropical,Street similar service make fill.
CLIMATE_ZONE_018,Oceanic,
CLIMATE_ZONE_019,Mediterranean,
