country_id,name,population,area,currency
COUNTRY_000,Turkey,18719404,32496.93,BYR
COUNTRY_001,Iran,,13875.8,
COUNTRY_002,Iraq,23477024,9776.08,CDF
COUNTRY_003,Marshall Islands,87272396,45890.41,SYP
COUNTRY_004,Canada,6254238,75902.08,SPL
COUNTRY_005,Micronesia,6254392,67341.78,VND
COUNTRY_006,Australia,94946033,8046.07,KWD
COUNTRY_007,Antigua and Barbuda,,15198.4,AED
COUNTRY_008,Denmark,4394166,32778.11,MDL
COUNTRY_009,Yemen,20052012,71015.55,BWP
COUNTRY_010,Saint Lucia,4434269,12394.29,KGS
COUNTRY_011,Iceland,4418917,17627.39,CDF
COUNTRY_012,Namibia,12774268,5839.49,BWP
COUNTRY_013,Uzbekistan,503873,5242.49,SCR
COUNTRY_014,Netherlands Antilles,668387,58397.65,ERN
COUNTRY_015,Croatia,3823086,112138.28,ERN
COUNTRY_016,Niger,1944962,20203.03,IQD
COUNTRY_017,Aruba,14237231,73441.13,SPL
COUNTRY_018,San Marino,2276076,33994.81,SPL
COUNTRY_019,Finland,1068262,10156.37,MGA
COUNTRY_020,Chile,80074911,33985.01,JEP
COUNTRY_021,Solomon Islands,6333322,139475.45,MVR
COUNTRY_022,Sweden,9833370,21099.59,ANG
COUNTRY_023,Afghanistan,1048506,144000.55,VND
COUNTRY_024,Mozambique,3927155,949.85,AMD
COUNTRY_025,Saint Helena,10494731,59058.46,BMD
COUNTRY_026,Moldova,1580907,24451.74,BWP
COUNTRY_027,Gabon,15611947,15385.66,MDL
COUNTRY_028,Niger,,24590.44,
COUNTRY_029,Bhutan,5737071,2028.23,PKR
COUNTRY_030,Saint Barthelemy,3603586,16922.4,SBD
COUNTRY_031,Zambia,143008878,33810.78,ERN
COUNTRY_032,Jersey,8708012,129764.02,AFN
COUNTRY_033,Rwanda,1818338,11826.24,MAD
COUNTRY_034,Iraq,30517698,8348.25,WST
COUNTRY_035,Liechtenstein,1423649,12062.92,AWG
COUNTRY_036,Vietnam,12155537,66070.82,BZD
COUNTRY_037,Netherlands Antilles,470003,,IRR
COUNTRY_038,Gibraltar,1211925,11664.3,JEP
COUNTRY_039,South Georgia and the South Sandwich Islands,11938653,40778.93,LBP
COUNTRY_040,Romania,26901695,24747.83,SCR
COUNTRY_041,Nicaragua,11490744,70429.96,IRR
COUNTRY_042,Albania,7470911,9485.66,BGN
COUNTRY_043,Brunei Darussalam,5656661,14865.6,JPY
COUNTRY_044,Russian Federation,967254,13759.3,SLL
COUNTRY_045,Madagascar,3018388,3803.9,AED
COUNTRY_046,Kyrgyz Republic,4452791,31424.54,RWF
COUNTRY_047,Nauru,43387560,30129.69,ZAR
COUNTRY_048,Anguilla,14878494,22162.04,SHP
COUNTRY_049,Luxembourg,631238,16622.22,
