CITY,COUNTRY
CITY_0179,COUNTRY_000
CITY_0031,COUNTRY_001
CITY_0115,COUNTRY_002
CITY_0214,COUNTRY_003
CITY_0044,COUNTRY_004
CITY_0294,COUNTRY_005
CITY_0091,COUNTRY_006
CITY_0023,COUNTRY_007
CITY_0075,COUNTRY_008
CITY_0170,COUNTRY_009
CITY_0298,COUNTRY_010
CITY_0036,COUNTRY_011
CITY_0101,COUNTRY_012
CITY_0264,COUNTRY_013
CITY_0247,COUNTRY_014
CITY_0099,COUNTRY_015
CITY_0107,COUNTRY_016
CITY_0235,COUNTRY_017
CITY_0020,COUNTRY_018
CITY_0097,COUNTRY_019
CITY_0152,COUNTRY_020
CITY_0094,COUNTRY_021
CITY_0150,COUNTRY_022
CITY_0158,COUNTRY_023
CITY_0140,COUNTRY_024
CITY_0229,COUNTRY_025
CITY_0146,COUNTRY_026
CITY_0281,COUNTRY_027
CITY_0000,COUNTRY_028
CITY_0138,COUNTRY_029
CITY_0252,COUNTRY_030
CITY_0220,COUNTRY_031
CITY_0013,COUNTRY_032
CITY_0227,COUNTRY_033
CITY_0273,COUNTRY_034
CITY_0212,COUNTRY_035
CITY_0065,COUNTRY_036
CITY_0115,COUNTRY_037
CITY_0161,COUNTRY_038
CITY_0033,COUNTRY_039
CITY_0002,COUNTRY_040
CITY_0240,COUNTRY_041
CITY_0211,COUNTRY_042
CITY_0164,COUNTRY_043
CITY_0039,COUNTRY_044
CITY_0036,COUNTRY_045
CITY_0241,COUNTRY_046
CITY_0017,COUNTRY_047
CITY_0285,COUNTRY_048
CITY_0182,COUNTRY_049
