ROAD,PROVINCE
ROAD_0000,PROVINCE_0148
ROAD_0001,PROVINCE_0095
ROAD_0001,PROVINCE_0119
ROAD_0002,PROVINCE_0074
ROAD_0002,PROVINCE_0037
ROAD_0003,PROVINCE_0126
ROAD_0003,PROVINCE_0138
ROAD_0003,PROVINCE_0104
ROAD_0004,PROVINCE_0110
ROAD_0004,PROVINCE_0022
ROAD_0005,PROVINCE_0064
ROAD_0005,PROVINCE_0035
ROAD_0005,PROVINCE_0085
ROAD_0006,PROVINCE_0119
ROAD_0006,PROVINCE_0115
ROAD_0007,PROVINCE_0042
ROAD_0007,PROVINCE_0010
ROAD_0007,PROVINCE_0087
ROAD_0008,PROVINCE_0037
ROAD_0008,PROVINCE_0087
ROAD_0008,PROVINCE_0138
ROAD_0009,PROVINCE_0040
ROAD_0009,PROVINCE_0146
ROAD_0009,PROVINCE_0035
ROAD_0010,PROVINCE_0101
ROAD_0011,PROVINCE_0107
ROAD_0012,PROVINCE_0128
ROAD_0013,PROVINCE_0010
ROAD_0013,PROVINCE_0133
ROAD_0013,PROVINCE_0026
ROAD_0014,PROVINCE_0001
ROAD_0014,PROVINCE_0065
ROAD_0014,PROVINCE_0140
ROAD_0015,PROVINCE_0042
ROAD_0015,PROVINCE_0058
ROAD_0015,PROVINCE_0085
ROAD_0016,PROVINCE_0029
ROAD_0016,PROVINCE_0083
ROAD_0017,PROVINCE_0095
ROAD_0017,PROVINCE_0140
ROAD_0017,PROVINCE_0101
ROAD_0018,PROVINCE_0100
ROAD_0018,PROVINCE_0056
ROAD_0018,PROVINCE_0147
ROAD_0019,PROVINCE_0104
ROAD_0019,PROVINCE_0027
ROAD_0020,PROVINCE_0116
ROAD_0021,PROVINCE_0048
ROAD_0022,PROVINCE_0000
ROAD_0022,PROVINCE_0129
ROAD_0022,PROVINCE_0027
ROAD_0023,PROVINCE_0036
ROAD_0023,PROVINCE_0018
ROAD_0024,PROVINCE_0078
ROAD_0024,PROVINCE_0061
ROAD_0024,PROVINCE_0103
ROAD_0025,PROVINCE_0053
ROAD_0025,PROVINCE_0138
ROAD_0026,PROVINCE_0024
ROAD_0026,PROVINCE_0048
ROAD_0026,PROVINCE_0006
ROAD_0027,PROVINCE_0007
ROAD_0028,PROVINCE_0030
ROAD_0028,PROVINCE_0053
ROAD_0029,PROVINCE_0018
ROAD_0030,PROVINCE_0064
ROAD_0031,PROVINCE_0030
ROAD_0031,PROVINCE_0108
ROAD_0032,PROVINCE_0103
ROAD_0032,PROVINCE_0002
ROAD_0033,PROVINCE_0076
ROAD_0033,PROVINCE_0087
ROAD_0033,PROVINCE_0099
ROAD_0034,PROVINCE_0053
ROAD_0034,PROVINCE_0077
ROAD_0035,PROVINCE_0122
ROAD_0035,PROVINCE_0010
ROAD_0036,PROVINCE_0125
ROAD_0036,PROVINCE_0008
ROAD_0036,PROVINCE_0127
ROAD_0037,PROVINCE_0089
ROAD_0037,PROVINCE_0007
ROAD_0038,PROVINCE_0121
ROAD_0038,PROVINCE_0098
ROAD_0039,PROVINCE_0025
ROAD_0039,PROVINCE_0108
ROAD_0039,PROVINCE_0089
ROAD_0040,PROVINCE_0125
ROAD_0040,PROVINCE_0006
ROAD_0040,PROVINCE_0097
ROAD_0041,PROVINCE_0124
ROAD_0042,PROVINCE_0121
ROAD_0043,PROVINCE_0139
ROAD_0043,PROVINCE_0023
ROAD_0044,PROVINCE_0062
ROAD_0045,PROVINCE_0024
ROAD_0045,PROVINCE_0116
ROAD_0045,PROVINCE_0097
ROAD_0046,PROVINCE_0086
ROAD_0046,PROVINCE_0061
ROAD_0046,PROVINCE_0120
ROAD_0047,PROVINCE_0082
ROAD_0048,PROVINCE_0141
ROAD_0048,PROVINCE_0115
ROAD_0049,PROVINCE_0105
ROAD_0050,PROVINCE_0002
ROAD_0051,PROVINCE_0032
ROAD_0051,PROVINCE_0007
ROAD_0051,PROVINCE_0129
ROAD_0052,PROVINCE_0017
ROAD_0052,PROVINCE_0128
ROAD_0053,PROVINCE_0118
