MUNICIPALITY,CITY
MUNICIPALITY_0005,CITY_0000
MUNICIPALITY_0366,CITY_0001
MUNICIPALITY_0685,CITY_0002
MUNICIPALITY_0703,CITY_0003
MUNICIPALITY_0130,CITY_0004
MUNICIPALITY_0426,CITY_0005
MUNICIPALITY_0555,CITY_0006
MUNICIPALITY_0590,CITY_0007
MUNICIPALITY_0523,CITY_0008
MUNICIPALITY_1125,CITY_0009
MUNICIPALITY_0817,CITY_0010
MUNICIPALITY_0985,CITY_0011
MUNICIPALITY_0288,CITY_0012
MUNICIPALITY_0369,CITY_0013
MUNICIPALITY_1092,CITY_0014
MUNICIPALITY_1097,CITY_0015
MUNICIPALITY_0468,CITY_0016
MUNICIPALITY_1172,CITY_0017
MUNICIPALITY_0001,CITY_0018
MUNICIPALITY_0615,CITY_0019
MUNICIPALITY_0960,CITY_0020
MUNICIPALITY_0493,CITY_0021
MUNICIPALITY_0478,CITY_0022
MUNICIPALITY_0135,CITY_0023
MUNICIPALITY_0517,CITY_0024
MUNICIPALITY_0739,CITY_0025
MUNICIPALITY_0565,CITY_0026
MUNICIPALITY_0774,CITY_0027
MUNICIPALITY_0171,CITY_0028
MUNICIPALITY_0765,CITY_0029
MUNICIPALITY_0987,CITY_0030
MUNICIPALITY_0598,CITY_0031
MUNICIPALITY_1188,CITY_0032
MUNICIPALITY_0405,CITY_0033
MUNICIPALITY_0304,CITY_0034
MUNICIPALITY_0732,CITY_0035
MUNICIPALITY_0190,CITY_0036
MUNICIPALITY_0234,CITY_0037
MUNICIPALITY_0533,CITY_0038
MUNICIPALITY_0937,CITY_0039
MUNICIPALITY_1077,CITY_0040
MUNICIPALITY_1058,CITY_0041
MUNICIPALITY_0955,CITY_0042
MUNICIPALITY_0648,CITY_0043
MUNICIPALITY_0437,CITY_0044
MUNICIPALITY_0130,CITY_0045
MUNICIPALITY_0274,CITY_0046
MUNICIPALITY_0016,CITY_0047
MUNICIPALITY_0592,CITY_0048
MUNICIPALITY_0028,CITY_0049
