PROVINCE,CITY
PROVINCE_0081,CITY_0000
PROVINCE_0120,CITY_0001
PROVINCE_0010,CITY_0002
PROVINCE_0016,CITY_0003
PROVINCE_0115,CITY_0004
PROVINCE_0005,CITY_0005
PROVINCE_0062,CITY_0006
PROVINCE_0104,CITY_0007
PROVINCE_0049,CITY_0008
PROVINCE_0011,CITY_0009
PROVINCE_0076,CITY_0010
PROVINCE_0068,CITY_0011
PROVINCE_0039,CITY_0012
PROVINCE_0054,CITY_0013
PROVINCE_0131,CITY_0014
PROVINCE_0105,CITY_0015
PROVINCE_0015,CITY_0016
PROVINCE_0044,CITY_0017
PROVINCE_0011,CITY_0018
PROVINCE_0085,CITY_0019
PROVINCE_0012,CITY_0020
PROVINCE_0138,CITY_0021
PROVINCE_0136,CITY_0022
PROVINCE_0057,CITY_0023
PROVINCE_0007,CITY_0024
PROVINCE_0071,CITY_0025
PROVINCE_0017,CITY_0026
PROVINCE_0054,CITY_0027
PROVINCE_0068,CITY_0028
PROVINCE_0148,CITY_0029
PROVINCE_0003,CITY_0030
PROVINCE_0149,CITY_0031
PROVINCE_0110,CITY_0032
PROVINCE_0016,CITY_0033
PROVINCE_0121,CITY_0034
PROVINCE_0124,CITY_0035
PROVINCE_0147,CITY_0036
PROVINCE_0124,CITY_0037
PROVINCE_0034,CITY_0038
PROVINCE_0069,CITY_0039
PROVINCE_0086,CITY_0040
PROVINCE_0039,CITY_0041
PROVINCE_0142,CITY_0042
PROVINCE_0068,CITY_0043
PROVINCE_0028,CITY_0044
PROVINCE_0053,CITY_0045
PROVINCE_0092,CITY_0046
PROVINCE_0099,CITY_0047
PROVINCE_0069,CITY_0048
PROVINCE_0134,CITY_0049
PROVINCE_0003,CITY_0050
PROVINCE_0076,CITY_0051
PROVINCE_0081,CITY_0052
PROVINCE_0010,CITY_0053
PROVINCE_0118,CITY_0054
PROVINCE_0052,CITY_0055
PROVINCE_0090,CITY_0056
PROVINCE_0096,CITY_0057
PROVINCE_0125,CITY_0058
PROVINCE_0076,CITY_0059
PROVINCE_0130,CITY_0060
PROVINCE_0003,CITY_0061
PROVINCE_0146,CITY_0062
PROVINCE_0082,CITY_0063
PROVINCE_0127,CITY_0064
PROVINCE_0057,CITY_0065
PROVINCE_0146,CITY_0066
PROVINCE_0064,CITY_0067
PROVINCE_0004,CITY_0068
PROVINCE_0086,CITY_0069
PROVINCE_0149,CITY_0070
PROVINCE_0140,CITY_0071
PROVINCE_0011,CITY_0072
PROVINCE_0035,CITY_0073
PROVINCE_0110,CITY_0074
PROVINCE_0000,CITY_0075
PROVINCE_0043,CITY_0076
PROVINCE_0064,CITY_0077
PROVINCE_0069,CITY_0078
PROVINCE_0037,CITY_0079
PROVINCE_0011,CITY_0080
PROVINCE_0059,CITY_0081
PROVINCE_0023,CITY_0082
PROVINCE_0090,CITY_0083
PROVINCE_0135,CITY_0084
PROVINCE_0035,CITY_0085
PROVINCE_0085,CITY_0086
PROVINCE_0133,CITY_0087
PROVINCE_0071,CITY_0088
PROVINCE_0004,CITY_0089
PROVINCE_0119,CITY_0090
PROVINCE_0048,CITY_0091
PROVINCE_0079,CITY_0092
PROVINCE_0039,CITY_0093
PROVINCE_0010,CITY_0094
PROVINCE_0058,CITY_0095
PROVINCE_0024,CITY_0096
PROVINCE_0144,CITY_0097
PROVINCE_0112,CITY_0098
PROVINCE_0117,CITY_0099
PROVINCE_0120,CITY_0100
PROVINCE_0073,CITY_0101
PROVINCE_0136,CITY_0102
PROVINCE_0111,CITY_0103
