COUNTRY,BOUNDARY
COUNTRY_000,BOUNDARY_0083
COUNTRY_000,BOUNDARY_0192
COUNTRY_000,BOUNDARY_0195
COUNTRY_001,BOUNDARY_0128
COUNTRY_001,BOUNDARY_0185
COUNTRY_001,BOUNDARY_0189
COUNTRY_001,BOUNDARY_0099
COUNTRY_001,BOUNDARY_0033
COUNTRY_002,BOUNDARY_0027
COUNTRY_002,BOUNDARY_0005
COUNTRY_003,BOUNDARY_0039
COUNTRY_003,BOUNDARY_0088
COUNTRY_003,BOUNDARY_0128
COUNTRY_004,BOUNDARY_0196
COUNTRY_004,BOUNDARY_0175
COUNTRY_005,BOUNDARY_0013
COUNTRY_005,BOUNDARY_0173
COUNTRY_005,BOUNDARY_0087
COUNTRY_006,BOUNDARY_0152
COUNTRY_006,BOUNDARY_0188
COUNTRY_006,BOUNDARY_0002
COUNTRY_006,BOUNDARY_0111
COUNTRY_006,BOUNDARY_0122
COUNTRY_007,BOUNDARY_0072
COUNTRY_007,BOUNDARY_0124
COUNTRY_007,BOUNDARY_0021
COUNTRY_007,BOUNDARY_0194
COUNTRY_008,BOUNDARY_0063
COUNTRY_008,BOUNDARY_0158
COUNTRY_008,BOUNDARY_0039
COUNTRY_008,BOUNDARY_0186
COUNTRY_008,BOUNDARY_0130
COUNTRY_009,BOUNDARY_0063
COUNTRY_009,BOUNDARY_0071
COUNTRY_009,BOUNDARY_0196
COUNTRY_010,BOUNDARY_0067
COUNTRY_010,BOUNDARY_0179
COUNTRY_011,BOUNDARY_0170
COUNTRY_011,BOUNDARY_0109
COUNTRY_011,BOUNDARY_0050
COUNTRY_012,BOUNDARY_0180
COUNTRY_012,BOUNDARY_0026
COUNTRY_012,BOUNDARY_0179
COUNTRY_012,BOUNDARY_0186
COUNTRY_012,BOUNDARY_0128
COUNTRY_013,BOUNDARY_0048
COUNTRY_013,BOUNDARY_0151
COUNTRY_013,BOUNDARY_0161
COUNTRY_014,BOUNDARY_0058
COUNTRY_014,BOUNDARY_0030
COUNTRY_014,BOUNDARY_0033
COUNTRY_015,BOUNDARY_0009
COUNTRY_015,BOUNDARY_0070
COUNTRY_015,BOUNDARY_0049
COUNTRY_015,BOUNDARY_0037
COUNTRY_015,BOUNDARY_0109
COUNTRY_016,BOUNDARY_0157
COUNTRY_016,BOUNDARY_0051
COUNTRY_017,BOUNDARY_0013
COUNTRY_017,BOUNDARY_0097
COUNTRY_018,BOUNDARY_0134
COUNTRY_018,BOUNDARY_0078
COUNTRY_018,BOUNDARY_0179
COUNTRY_018,BOUNDARY_0162
COUNTRY_018,BOUNDARY_0059
COUNTRY_019,BOUNDARY_0086
COUNTRY_019,BOUNDARY_0109
COUNTRY_019,BOUNDARY_0122
COUNTRY_020,BOUNDARY_0130
COUNTRY_020,BOUNDARY_0109
COUNTRY_021,BOUNDARY_0077
COUNTRY_021,BOUNDARY_0028
COUNTRY_022,BOUNDARY_0093
COUNTRY_022,BOUNDARY_0071
COUNTRY_022,BOUNDARY_0089
COUNTRY_022,BOUNDARY_0182
COUNTRY_023,BOUNDARY_0063
COUNTRY_023,BOUNDARY_0081
COUNTRY_023,BOUNDARY_0012
COUNTRY_023,BOUNDARY_0046
COUNTRY_023,BOUNDARY_0010
COUNTRY_024,BOUNDARY_0013
COUNTRY_024,BOUNDARY_0169
COUNTRY_025,BOUNDARY_0054
COUNTRY_025,BOUNDARY_0073
COUNTRY_025,BOUNDARY_0120
COUNTRY_025,BOUNDARY_0071
COUNTRY_026,BOUNDARY_0110
COUNTRY_026,BOUNDARY_0047
COUNTRY_027,BOUNDARY_0125
COUNTRY_027,BOUNDARY_0093
COUNTRY_027,BOUNDARY_0085
COUNTRY_027,BOUNDARY_0077
COUNTRY_028,BOUNDARY_0024
COUNTRY_028,BOUNDARY_0171
COUNTRY_029,BOUNDARY_0174
COUNTRY_029,BOUNDARY_0141
COUNTRY_030,BOUNDARY_0084
COUNTRY_030,BOUNDARY_0092
COUNTRY_030,BOUNDARY_0189
COUNTRY_031,BOUNDARY_0190
COUNTRY_031,BOUNDARY_0199
COUNTRY_031,BOUNDARY_0150
COUNTRY_031,BOUNDARY_0135
COUNTRY_032,BOUNDARY_0060
COUNTRY_032,BOUNDARY_0166
