DISTRICT,BOUNDARY
DISTRICT_0000,BOUNDARY_0016
DISTRICT_0001,BOUNDARY_0152
DISTRICT_0002,BOUNDARY_0193
DISTRICT_0003,BOUNDARY_0048
DISTRICT_0003,BOUNDARY_0141
DISTRICT_0004,BOUNDARY_0163
DISTRICT_0005,BOUNDARY_0061
DISTRICT_0006,BOUNDARY_0021
DISTRICT_0006,BOUNDARY_0145
DISTRICT_0007,BOUNDARY_0144
DISTRICT_0008,BOUNDARY_0011
DISTRICT_0008,BOUNDARY_0012
DISTRICT_0009,BOUNDARY_0023
DISTRICT_0009,BOUNDARY_0079
DISTRICT_0010,BOUNDARY_0091
DISTRICT_0011,BOUNDARY_0101
DISTRICT_0011,BOUNDARY_0128
DISTRICT_0012,BOUNDARY_0080
DISTRICT_0013,BOUNDARY_0185
DISTRICT_0013,BOUNDARY_0091
DISTRICT_0014,BOUNDARY_0179
DISTRICT_0015,BOUNDARY_0084
DISTRICT_0016,BOUNDARY_0189
DISTRICT_0016,BOUNDARY_0128
DISTRICT_0017,BOUNDARY_0128
DISTRICT_0018,BOUNDARY_0006
DISTRICT_0019,BOUNDARY_0122
DISTRICT_0019,BOUNDARY_0150
DISTRICT_0020,BOUNDARY_0074
DISTRICT_0021,BOUNDARY_0038
DISTRICT_0022,BOUNDARY_0020
DISTRICT_0022,BOUNDARY_0160
DISTRICT_0023,BOUNDARY_0183
DISTRICT_0024,BOUNDARY_0055
DISTRICT_0025,BOUNDARY_0196
DISTRICT_0026,BOUNDARY_0128
DISTRICT_0027,BOUNDARY_0114
DISTRICT_0027,BOUNDARY_0033
DISTRICT_0028,BOUNDARY_0074
DISTRICT_0028,BOUNDARY_0092
DISTRICT_0029,BOUNDARY_0010
DISTRICT_0029,BOUNDARY_0182
DISTRICT_0030,BOUNDARY_0061
DISTRICT_0030,BOUNDARY_0053
DISTRICT_0031,BOUNDARY_0039
DISTRICT_0032,BOUNDARY_0024
DISTRICT_0032,BOUNDARY_0003
DISTRICT_0033,BOUNDARY_0196
DISTRICT_0034,BOUNDARY_0140
DISTRICT_0034,BOUNDARY_0022
DISTRICT_0035,BOUNDARY_0024
DISTRICT_0035,BOUNDARY_0116
DISTRICT_0036,BOUNDARY_0043
DISTRICT_0036,BOUNDARY_0075
DISTRICT_0037,BOUNDARY_0017
DISTRICT_0038,BOUNDARY_0147
DISTRICT_0038,BOUNDARY_0093
DISTRICT_0039,BOUNDARY_0022
DISTRICT_0039,BOUNDARY_0018
DISTRICT_0040,BOUNDARY_0181
DISTRICT_0041,BOUNDARY_0066
DISTRICT_0041,BOUNDARY_0121
DISTRICT_0042,BOUNDARY_0195
DISTRICT_0042,BOUNDARY_0113
DISTRICT_0043,BOUNDARY_0031
DISTRICT_0044,BOUNDARY_0010
DISTRICT_0044,BOUNDARY_0093
DISTRICT_0045,BOUNDARY_0102
DISTRICT_0045,BOUNDARY_0104
DISTRICT_0046,BOUNDARY_0112
DISTRICT_0047,BOUNDARY_0131
DISTRICT_0047,BOUNDARY_0159
DISTRICT_0048,BOUNDARY_0095
DISTRICT_0048,BOUNDARY_0021
DISTRICT_0049,BOUNDARY_0129
DISTRICT_0049,BOUNDARY_0115
DISTRICT_0050,BOUNDARY_0174
DISTRICT_0050,BOUNDARY_0010
DISTRICT_0051,BOUNDARY_0189
DISTRICT_0052,BOUNDARY_0179
DISTRICT_0053,BOUNDARY_0039
DISTRICT_0054,BOUNDARY_0074
DISTRICT_0055,BOUNDARY_0040
DISTRICT_0055,BOUNDARY_0145
DISTRICT_0056,BOUNDARY_0018
DISTRICT_0056,BOUNDARY_0057
DISTRICT_0057,BOUNDARY_0118
DISTRICT_0057,BOUNDARY_0171
DISTRICT_0058,BOUNDARY_0089
DISTRICT_0059,BOUNDARY_0119
DISTRICT_0059,BOUNDARY_0164
DISTRICT_0060,BOUNDARY_0027
DISTRICT_0060,BOUNDARY_0021
DISTRICT_0061,BOUNDARY_0187
DISTRICT_0062,BOUNDARY_0101
DISTRICT_0063,BOUNDARY_0051
DISTRICT_0063,BOUNDARY_0102
DISTRICT_0064,BOUNDARY_0016
DISTRICT_0064,BOUNDARY_0081
DISTRICT_0065,BOUNDARY_0154
DISTRICT_0065,BOUNDARY_0124
DISTRICT_0066,BOUNDARY_0179
DISTRICT_0067,BOUNDARY_0029
DISTRICT_0067,BOUNDARY_0071
DISTRICT_0068,BOUNDARY_0009
DISTRICT_0068,BOUNDARY_0139
DISTRICT_0069,BOUNDARY_0120
DISTRICT_0070,BOUNDARY_0163
DISTRICT_0071,BOUNDARY_0081
DISTRICT_0072,BOUNDARY_0153
DISTRICT_0073,BOUNDARY_0015
DISTRICT_0073,BOUNDARY_0092
DISTRICT_0074,BOUNDARY_0121
DISTRICT_0074,BOUNDARY_0054
DISTRICT_0075,BOUNDARY_0054
DISTRICT_0076,BOUNDARY_0194
DISTRICT_0077,BOUNDARY_0069
DISTRICT_0077,BOUNDARY_0064
DISTRICT_0078,BOUNDARY_0021
DISTRICT_0079,BOUNDARY_0017
DISTRICT_0080,BOUNDARY_0103
DISTRICT_0080,BOUNDARY_0020
DISTRICT_0081,BOUNDARY_0182
DISTRICT_0081,BOUNDARY_0115
DISTRICT_0082,BOUNDARY_0134
DISTRICT_0082,BOUNDARY_0054
DISTRICT_0083,BOUNDARY_0047
DISTRICT_0083,BOUNDARY_0013
DISTRICT_0084,BOUNDARY_0109
DISTRICT_0085,BOUNDARY_0192
DISTRICT_0085,BOUNDARY_0076
DISTRICT_0086,BOUNDARY_0050
DISTRICT_0087,BOUNDARY_0107
DISTRICT_0087,BOUNDARY_0123
DISTRICT_0088,BOUNDARY_0137
DISTRICT_0088,BOUNDARY_0176
DISTRICT_0089,BOUNDARY_0178
DISTRICT_0090,BOUNDARY_0090
DISTRICT_0090,BOUNDARY_0177
DISTRICT_0091,BOUNDARY_0002
DISTRICT_0091,BOUNDARY_0143
DISTRICT_0092,BOUNDARY_0019
DISTRICT_0093,BOUNDARY_0082
DISTRICT_0094,BOUNDARY_0003
DISTRICT_0094,BOUNDARY_0038
DISTRICT_0095,BOUNDARY_0037
DISTRICT_0095,BOUNDARY_0127
DISTRICT_0096,BOUNDARY_0029
DISTRICT_0096,BOUNDARY_0172
DISTRICT_0097,BOUNDARY_0067
DISTRICT_0097,BOUNDARY_0133
DISTRICT_0098,BOUNDARY_0115
DISTRICT_0099,BOUNDARY_0162
DISTRICT_0100,BOUNDARY_0163
DISTRICT_0100,BOUNDARY_0148
DISTRICT_0101,BOUNDARY_0009
DISTRICT_0102,BOUNDARY_0190
DISTRICT_0103,BOUNDARY_0107
DISTRICT_0104,BOUNDARY_0153
DISTRICT_0105,BOUNDARY_0055
DISTRICT_0105,BOUNDARY_0089
DISTRICT_0106,BOUNDARY_0048
DISTRICT_0107,BOUNDARY_0094
DISTRICT_0108,BOUNDARY_0004
DISTRICT_0108,BOUNDARY_0077
DISTRICT_0109,BOUNDARY_0128
DISTRICT_0109,BOUNDARY_0031
DISTRICT_0110,BOUNDARY_0166
DISTRICT_0110,BOUNDARY_0116
DISTRICT_0111,BOUNDARY_0105
DISTRICT_0111,BOUNDARY_0090
DISTRICT_0112,BOUNDARY_0138
DISTRICT_0112,BOUNDARY_0109
DISTRICT_0113,BOUNDARY_0029
DISTRICT_0113,BOUNDARY_0045
DISTRICT_0114,BOUNDARY_0109
DISTRICT_0114,BOUNDARY_0095
DISTRICT_0115,BOUNDARY_0141
DISTRICT_0116,BOUNDARY_0138
DISTRICT_0117,BOUNDARY_0097
DISTRICT_0117,BOUNDARY_0072
DISTRICT_0118,BOUNDARY_0162
DISTRICT_0118,BOUNDARY_0072
DISTRICT_0119,BOUNDARY_0022
DISTRICT_0120,BOUNDARY_0022
DISTRICT_0121,BOUNDARY_0157
DISTRICT_0122,BOUNDARY_0026
DISTRICT_0122,BOUNDARY_0127
DISTRICT_0123,BOUNDARY_0162
DISTRICT_0124,BOUNDARY_0128
DISTRICT_0124,BOUNDARY_0148
DISTRICT_0125,BOUNDARY_0170
DISTRICT_0126,BOUNDARY_0107
DISTRICT_0126,BOUNDARY_0054
DISTRICT_0127,BOUNDARY_0198
DISTRICT_0128,BOUNDARY_0141
DISTRICT_0128,BOUNDARY_0097
DISTRICT_0129,BOUNDARY_0050
DISTRICT_0130,BOUNDARY_0031
DISTRICT_0130,BOUNDARY_0089
DISTRICT_0131,BOUNDARY_0105
DISTRICT_0131,BOUNDARY_0165
DISTRICT_0132,BOUNDARY_0001
DISTRICT_0132,BOUNDARY_0095
DISTRICT_0133,BOUNDARY_0129
DISTRICT_0134,BOUNDARY_0068
