PROVINCE,BOUNDARY
PROVINCE_0000,BOUNDARY_0055
PROVINCE_0000,BOUNDARY_0151
PROVINCE_0000,BOUNDARY_0178
PROVINCE_0001,BOUNDARY_0131
PROVINCE_0002,BOUNDARY_0128
PROVINCE_0002,BOUNDARY_0181
PROVINCE_0003,BOUNDARY_0134
PROVINCE_0003,BOUNDARY_0066
PROVINCE_0003,BOUNDARY_0077
PROVINCE_0004,BOUNDARY_0075
PROVINCE_0005,BOUNDARY_0068
PROVINCE_0005,BOUNDARY_0141
PROVINCE_0005,BOUNDARY_0030
PROVINCE_0006,BOUNDARY_0057
PROVINCE_0007,BOUNDARY_0136
PROVINCE_0008,BOUNDARY_0074
PROVINCE_0009,BOUNDARY_0163
PROVINCE_0010,BOUNDARY_0071
PROVINCE_0011,BOUNDARY_0069
PROVINCE_0012,BOUNDARY_0164
PROVINCE_0013,BOUNDARY_0053
PROVINCE_0014,BOUNDARY_0029
PROVINCE_0014,BOUNDARY_0000
PROVINCE_0014,BOUNDARY_0166
PROVINCE_0015,BOUNDARY_0161
PROVINCE_0015,BOUNDARY_0154
PROVINCE_0016,BOUNDARY_0083
PROVINCE_0016,BOUNDARY_0021
PROVINCE_0017,BOUNDARY_0140
PROVINCE_0017,BOUNDARY_0067
PROVINCE_0017,BOUNDARY_0184
PROVINCE_0018,BOUNDARY_0104
PROVINCE_0019,BOUNDARY_0075
PROVINCE_0019,BOUNDARY_0083
PROVINCE_0019,BOUNDARY_0014
PROVINCE_0020,BOUNDARY_0002
PROVINCE_0020,BOUNDARY_0091
PROVINCE_0020,BOUNDARY_0056
PROVINCE_0021,BOUNDARY_0071
PROVINCE_0021,BOUNDARY_0045
PROVINCE_0021,BOUNDARY_0065
PROVINCE_0022,BOUNDARY_0137
PROVINCE_0023,BOUNDARY_0199
PROVINCE_0023,BOUNDARY_0149
PROVINCE_0023,BOUNDARY_0027
PROVINCE_0024,BOUNDARY_0190
PROVINCE_0024,BOUNDARY_0176
PROVINCE_0024,BOUNDARY_0097
PROVINCE_0025,BOUNDARY_0065
PROVINCE_0025,BOUNDARY_0160
PROVINCE_0025,BOUNDARY_0162
PROVINCE_0026,BOUNDARY_0141
PROVINCE_0026,BOUNDARY_0052
PROVINCE_0026,BOUNDARY_0113
PROVINCE_0027,BOUNDARY_0083
PROVINCE_0028,BOUNDARY_0052
PROVINCE_0028,BOUNDARY_0148
PROVINCE_0029,BOUNDARY_0192
PROVINCE_0029,BOUNDARY_0101
PROVINCE_0029,BOUNDARY_0039
PROVINCE_0030,BOUNDARY_0059
PROVINCE_0030,BOUNDARY_0186
PROVINCE_0031,BOUNDARY_0111
PROVINCE_0031,BOUNDARY_0094
PROVINCE_0031,BOUNDARY_0037
PROVINCE_0032,BOUNDARY_0023
PROVINCE_0032,BOUNDARY_0126
PROVINCE_0033,BOUNDARY_0117
PROVINCE_0034,BOUNDARY_0045
PROVINCE_0035,BOUNDARY_0145
PROVINCE_0036,BOUNDARY_0186
PROVINCE_0036,BOUNDARY_0046
PROVINCE_0037,BOUNDARY_0072
PROVINCE_0037,BOUNDARY_0005
PROVINCE_0037,BOUNDARY_0079
PROVINCE_0038,BOUNDARY_0045
PROVINCE_0039,BOUNDARY_0175
PROVINCE_0039,BOUNDARY_0155
PROVINCE_0040,BOUNDARY_0017
PROVINCE_0041,BOUNDARY_0018
PROVINCE_0042,BOUNDARY_0062
PROVINCE_0042,BOUNDARY_0116
PROVINCE_0043,BOUNDARY_0103
PROVINCE_0043,BOUNDARY_0025
PROVINCE_0043,BOUNDARY_0185
PROVINCE_0044,BOUNDARY_0035
