district_id,name,population
DISTRICT_0000,Gillland District,
DISTRICT_0001,Port Mark District,32342
DISTRICT_0002,East Carlos District,45509
DISTRICT_0003,Lake Jesse District,18156
DISTRICT_0004,East Angelafort District,
DISTRICT_0005,Davisport District,47608
DISTRICT_0006,Randytown District,1082884
DISTRICT_0007,Carrieburgh District,153510
DISTRICT_0008,Wintersborough District,58506
DISTRICT_0009,Thompsonmouth District,
DISTRICT_0010,Richardsonport District,61510
DISTRICT_0011,Franciscoshire District,115444
DISTRICT_0012,North Christopher District,14516
DISTRICT_0013,East Meganburgh District,228019
DISTRICT_0014,North Colemouth District,141274
DISTRICT_0015,Stonefurt District,141750
DISTRICT_0016,Kimshire District,
DISTRICT_0017,Haileyville District,61300
DISTRICT_0018,Johnstonchester District,134246
DISTRICT_0019,Gayberg District,
DISTRICT_0020,West Reginamouth District,39149
DISTRICT_0021,Lake Samuel District,30081
DISTRICT_0022,South Matthewton District,67658
DISTRICT_0023,West Michele District,384163
DISTRICT_0024,Jasonview District,13535
DISTRICT_0025,East Michelle District,10290
DISTRICT_0026,Lake Oliviaport District,72963
DISTRICT_0027,North Ryanfurt District,63644
DISTRICT_0028,Davishaven District,73718
DISTRICT_0029,Joshuaberg District,80237
DISTRICT_0030,North Johnbury District,45805
DISTRICT_0031,Brucemouth District,357838
DISTRICT_0032,North Garretttown District,8768
DISTRICT_0033,North Dean District,22154
DISTRICT_0034,Lake Keithville District,
DISTRICT_0035,South Mark District,8334
DISTRICT_0036,Wagnerborough District,
DISTRICT_0037,Lake Kristenhaven District,439663
DISTRICT_0038,Elizabethfort District,61393
DISTRICT_0039,Port William District,78971
DISTRICT_0040,Michaelchester District,13197
DISTRICT_0041,Mariechester District,
DISTRICT_0042,Larsenside District,
DISTRICT_0043,North Heather District,40894
DISTRICT_0044,West Christopher District,278722
DISTRICT_0045,South Jefferyland District,116918
DISTRICT_0046,Petersenport District,
DISTRICT_0047,Lake Jenniferhaven District,80483
DISTRICT_0048,South Nathan District,108865
DISTRICT_0049,Montoyamouth District,235197
DISTRICT_0050,Rebeccaburgh District,
DISTRICT_0051,New Michellechester District,17710
DISTRICT_0052,East Jessicafurt District,22628
DISTRICT_0053,Kylebury District,13238
DISTRICT_0054,Janettown District,45214
DISTRICT_0055,New Michelle District,104781
DISTRICT_0056,North Joshua District,195790
DISTRICT_0057,East Sherriton District,54658
DISTRICT_0058,South Joseph District,40789
DISTRICT_0059,North Jamie District,71833
DISTRICT_0060,New Michael District,21978
DISTRICT_0061,Nathanielville District,734868
DISTRICT_0062,Cochranborough District,8697
DISTRICT_0063,West Michael District,74733
DISTRICT_0064,South Natashaton District,678966
DISTRICT_0065,South Travis District,60364
DISTRICT_0066,Jeffreychester District,47665
DISTRICT_0067,Robertland District,38990
DISTRICT_0068,Angelicabury District,48220
DISTRICT_0069,Jeffreyberg District,310959
DISTRICT_0070,New Ashleymouth District,4212
DISTRICT_0071,Jacobfurt District,377045
DISTRICT_0072,Lake Tammy District,
DISTRICT_0073,Port Calvinburgh District,43478
DISTRICT_0074,South Sandra District,35771
DISTRICT_0075,Kington District,121329
DISTRICT_0076,South Anna District,8797
DISTRICT_0077,Rebeccaborough District,104256
