ethnicity_id,name
ETHNICITY_0000,Left People
ETHNICITY_0001,Job People
ETHNICITY_0002,Contain People
ETHNICITY_0003,Almost People
ETHNICITY_0004,Present People
ETHNICITY_0005,Strong People
ETHNICITY_0006,Rise People
ETHNICITY_0007,Point People
ETHNICITY_0008,Major People
ETHNICITY_0009,Former People
ETHNICITY_0010,Democrat People
ETHNICITY_0011,Son People
ETHNICITY_0012,I People
ETHNICITY_0013,Race People
ETHNICITY_0014,Exactly People
ETHNICITY_0015,Various People
ETHNICITY_0016,Pull People
ETHNICITY_0017,Reflect People
ETHNICITY_0018,Imagine People
ETHNICITY_0019,Remain People
ETHNICITY_0020,Action People
ETHNICITY_0021,Paper People
ETHNICITY_0022,Near People
ETHNICITY_0023,Represent People
ETHNICITY_0024,Arrive People
ETHNICITY_0025,Property People
ETHNICITY_0026,Expert People
ETHNICITY_0027,Ok People
ETHNICITY_0028,Almost People
ETHNICITY_0029,Debate People
ETHNICITY_0030,Fact People
ETHNICITY_0031,Window People
ETHNICITY_0032,Pretty People
ETHNICITY_0033,Herself People
ETHNICITY_0034,Leave People
ETHNICITY_0035,Simply People
ETHNICITY_0036,Item People
ETHNICITY_0037,Investment People
ETHNICITY_0038,Ahead People
ETHNICITY_0039,Heavy People
ETHNICITY_0040,Family People
ETHNICITY_0041,Do People
ETHNICITY_0042,Half People
ETHNICITY_0043,Type People
ETHNICITY_0044,Ago People
ETHNICITY_0045,Reduce People
ETHNICITY_0046,Fly People
ETHNICITY_0047,Next People
ETHNICITY_0048,Center People
ETHNICITY_0049,Fine People
ETHNICITY_0050,History People
ETHNICITY_0051,She People
ETHNICITY_0052,Then People
ETHNICITY_0053,Eat People
ETHNICITY_0054,Perform People
ETHNICITY_0055,Tax People
ETHNICITY_0056,Minute People
ETHNICITY_0057,Front People
ETHNICITY_0058,Later People
ETHNICITY_0059,Father People
ETHNICITY_0060,Have People
ETHNICITY_0061,Wish People
ETHNICITY_0062,Plan People
ETHNICITY_0063,Suffer People
ETHNICITY_0064,Training People
ETHNICITY_0065,More People
ETHNICITY_0066,Watch People
ETHNICITY_0067,Foot People
ETHNICITY_0068,Knowledge People
ETHNICITY_0069,Sister People
ETHNICITY_0070,School People
ETHNICITY_0071,Fact People
ETHNICITY_0072,Hospital People
ETHNICITY_0073,Tend People
ETHNICITY_0074,Property People
ETHNICITY_0075,Experience People
ETHNICITY_0076,Least People
ETHNICITY_0077,Difference People
ETHNICITY_0078,Threat People
ETHNICITY_0079,Notice People
ETHNICITY_0080,Cold People
ETHNICITY_0081,Lot People
ETHNICITY_0082,Foreign People
ETHNICITY_0083,Himself People
ETHNICITY_0084,Movement People
ETHNICITY_0085,Support People
ETHNICITY_0086,Yes People
ETHNICITY_0087,Cultural People
ETHNICITY_0088,Information People
ETHNICITY_0089,So People
ETHNICITY_0090,Hair People
ETHNICITY_0091,Democratic People
ETHNICITY_0092,Treat People
ETHNICITY_0093,Morning People
ETHNICITY_0094,One People
ETHNICITY_0095,Last People
ETHNICITY_0096,Have People
ETHNICITY_0097,Level People
ETHNICITY_0098,Law People
ETHNICITY_0099,You People
ETHNICITY_0100,Compare People
ETHNICITY_0101,Will People
ETHNICITY_0102,Free People
ETHNICITY_0103,Best People
ETHNICITY_0104,Simply People
ETHNICITY_0105,Financial People
ETHNICITY_0106,Act People
ETHNICITY_0107,Institution People
ETHNICITY_0108,Response People
ETHNICITY_0109,Rise People
ETHNICITY_0110,Mr People
ETHNICITY_0111,New People
ETHNICITY_0112,She People
ETHNICITY_0113,Sell People
ETHNICITY_0114,Point People
ETHNICITY_0115,However People
ETHNICITY_0116,Little People
ETHNICITY_0117,Business People
ETHNICITY_0118,Side People
ETHNICITY_0119,Guess People
ETHNICITY_0120,Suggest People
ETHNICITY_0121,Government People
ETHNICITY_0122,Figure People
ETHNICITY_0123,Color People
ETHNICITY_0124,Opportunity People
ETHNICITY_0125,Agency People
ETHNICITY_0126,Fact People
ETHNICITY_0127,My People
ETHNICITY_0128,Commercial People
ETHNICITY_0129,Country People
ETHNICITY_0130,Threat People
ETHNICITY_0131,Amount People
ETHNICITY_0132,Return People
ETHNICITY_0133,Several People
ETHNICITY_0134,Make People
ETHNICITY_0135,Sport People
ETHNICITY_0136,Peace People
ETHNICITY_0137,Turn People
ETHNICITY_0138,Onto People
ETHNICITY_0139,Later People
ETHNICITY_0140,Beautiful People
ETHNICITY_0141,President People
ETHNICITY_0142,Fill People
ETHNICITY_0143,Myself People
ETHNICITY_0144,Miss People
ETHNICITY_0145,Age People
ETHNICITY_0146,Call People
ETHNICITY_0147,Class People
ETHNICITY_0148,Lawyer People
ETHNICITY_0149,Practice People
