RIVER,destination
RIVER_0001,RIVER_0053
RIVER_0002,RIVER_0028
RIVER_0004,RIVER_0105
RIVER_0005,RIVER_0027
RIVER_0006,RIVER_0087
RIVER_0007,RIVER_0052
RIVER_0008,RIVER_0114
RIVER_0009,RIVER_0036
RIVER_0010,RIVER_0037
RIVER_0011,RIVER_0031
RIVER_0012,RIVER_0094
RIVER_0013,RIVER_0083
RIVER_0014,RIVER_0105
RIVER_0015,RIVER_0096
RIVER_0016,RIVER_0132
RIVER_0017,RIVER_0070
RIVER_0018,RIVER_0113
RIVER_0019,RIVER_0051
RIVER_0020,RIVER_0037
RIVER_0021,RIVER_0052
RIVER_0022,RIVER_0099
RIVER_0023,RIVER_0090
RIVER_0024,RIVER_0048
RIVER_0025,RIVER_0062
RIVER_0026,RIVER_0125
RIVER_0027,RIVER_0125
RIVER_0028,RIVER_0070
RIVER_0029,RIVER_0111
RIVER_0030,RIVER_0012
RIVER_0031,RIVER_0064
RIVER_0032,RIVER_0000
RIVER_0033,RIVER_0110
RIVER_0034,RIVER_0118
RIVER_0035,RIVER_0040
RIVER_0036,RIVER_0015
RIVER_0037,RIVER_0015
RIVER_0038,RIVER_0117
RIVER_0039,RIVER_0134
RIVER_0040,RIVER_0074
RIVER_0041,RIVER_0052
RIVER_0042,RIVER_0105
RIVER_0043,RIVER_0028
RIVER_0044,RIVER_0073
RIVER_0045,LAKE_0018
RIVER_0046,LAKE_0036
RIVER_0047,LAKE_0035
RIVER_0048,LAKE_0022
RIVER_0049,LAKE_0054
RIVER_0050,LAKE_0098
RIVER_0051,LAKE_0001
RIVER_0052,LAKE_0060
RIVER_0053,LAKE_0097
RIVER_0054,LAKE_0067
RIVER_0055,LAKE_0008
RIVER_0056,LAKE_0075
RIVER_0057,LAKE_0058
RIVER_0058,LAKE_0044
RIVER_0059,LAKE_0038
RIVER_0060,LAKE_0082
RIVER_0061,LAKE_0028
RIVER_0062,LAKE_0057
RIVER_0063,LAKE_0025
RIVER_0064,LAKE_0088
RIVER_0065,LAKE_0035
RIVER_0066,LAKE_0061
RIVER_0067,LAKE_0049
RIVER_0068,LAKE_0034
RIVER_0069,LAKE_0020
RIVER_0070,LAKE_0061
RIVER_0071,LAKE_0028
RIVER_0072,LAKE_0056
RIVER_0073,LAKE_0017
RIVER_0074,LAKE_0002
RIVER_0075,LAKE_0099
RIVER_0076,LAKE_0030
RIVER_0077,LAKE_0082
RIVER_0078,LAKE_0062
RIVER_0079,LAKE_0049
RIVER_0080,LAKE_0028
RIVER_0081,LAKE_0070
RIVER_0082,LAKE_0065
RIVER_0083,LAKE_0082
RIVER_0084,LAKE_0018
RIVER_0085,LAKE_0014
RIVER_0086,LAKE_0034
RIVER_0087,LAKE_0092
RIVER_0088,LAKE_0047
RIVER_0089,LAKE_0066
RIVER_0090,SEA_008
RIVER_0091,SEA_022
RIVER_0092,SEA_003
RIVER_0093,SEA_008
RIVER_0094,SEA_021
RIVER_0095,SEA_016
RIVER_0096,SEA_009
RIVER_0097,SEA_023
RIVER_0098,SEA_012
RIVER_0099,SEA_000
RIVER_0100,SEA_002
RIVER_0101,SEA_018
RIVER_0102,SEA_003
RIVER_0103,SEA_007
RIVER_0104,SEA_009
RIVER_0105,SEA_008
RIVER_0106,SEA_007
RIVER_0107,SEA_024
RIVER_0108,SEA_021
RIVER_0109,SEA_017
RIVER_0110,SEA_019
RIVER_0111,SEA_018
RIVER_0112,SEA_016
RIVER_0113,SEA_005
RIVER_0114,SEA_020
RIVER_0115,SEA_015
RIVER_0116,SEA_016
RIVER_0117,SEA_000
RIVER_0118,SEA_004
RIVER_0119,SEA_000
RIVER_0120,OCEAN_02
RIVER_0121,OCEAN_04
RIVER_0122,OCEAN_03
RIVER_0123,OCEAN_04
RIVER_0124,OCEAN_02
RIVER_0125,OCEAN_00
RIVER_0126,OCEAN_03
RIVER_0127,OCEAN_01
RIVER_0128,OCEAN_01
RIVER_0129,OCEAN_00
RIVER_0130,OCEAN_02
RIVER_0131,OCEAN_03
RIVER_0132,OCEAN_02
RIVER_0133,OCEAN_02
RIVER_0134,OCEAN_04
RIVER_0135,OCEAN_01
RIVER_0136,OCEAN_03
RIVER_0137,OCEAN_04
RIVER_0138,OCEAN_04
RIVER_0139,OCEAN_04
RIVER_0140,OCEAN_02
RIVER_0141,OCEAN_00
RIVER_0142,OCEAN_03
RIVER_0143,OCEAN_03
RIVER_0144,OCEAN_04
RIVER_0145,OCEAN_01
RIVER_0146,OCEAN_01
RIVER_0147,OCEAN_02
RIVER_0148,OCEAN_00
RIVER_0149,OCEAN_02
