government_type_id,name,description
GOVERNMENT_TYPE_000,Oligarchy,Government better real likely take almost.
GOVERNMENT_TYPE_001,Military Junta,
GOVERNMENT_TYPE_002,Federal Republic,Offer decide tend eye bring sit.
GOVERNMENT_TYPE_003,Democracy,One build authority until soldier economy purpose ask.
GOVERNMENT_TYPE_004,Republic,Crime nation eye feeling again value fact where growth.
GOVERNMENT_TYPE_005,Semi-Presidential System,
GOVERNMENT_TYPE_006,Anarchy,Yet enjoy notice fast building worry yet us still.
GOVERNMENT_TYPE_007,Absolute Monarchy,Nearly animal rich race outside.
GOVERNMENT_TYPE_008,Republic,Member fine politics foot information four federal forward.
GOVERNMENT_TYPE_009,Dictatorship,Market take goal discussion interesting first.
GOVERNMENT_TYPE_010,Republic,Boy now cold chance stage.
GOVERNMENT_TYPE_011,Federal Republic,Television young space scientist fish.
GOVERNMENT_TYPE_012,Presidential System,Son collection into hear wide state begin throw spring.
GOVERNMENT_TYPE_013,Constitutional Monarchy,Carry reach eye actually level.
GOVERNMENT_TYPE_014,Federal Republic,Opportunity improve not yeah keep movement scene eat before.
GOVERNMENT_TYPE_015,Federal Republic,Mother glass light else happen boy situation.
GOVERNMENT_TYPE_016,Federal Republic,
GOVERNMENT_TYPE_017,Federal Republic,As marriage front myself subject fear nearly difference final.
GOVERNMENT_TYPE_018,Democracy,
GOVERNMENT_TYPE_019,Semi-Presidential System,
