CITY,CLIMATE_ZONE
CITY_0000,CLIMATE_ZONE_004
CITY_0001,CLIMATE_ZONE_012
CITY_0002,CLIMATE_ZONE_018
CITY_0003,CLIMATE_ZONE_011
CITY_0004,CLIMATE_ZONE_017
CITY_0005,CLIMATE_ZONE_004
CITY_0006,CLIMATE_ZONE_013
CITY_0007,CLIMATE_ZONE_008
CITY_0008,CLIMATE_ZONE_002
CITY_0009,CLIMATE_ZONE_017
CITY_0010,CLIMATE_ZONE_012
CITY_0011,CLIMATE_ZONE_018
CITY_0012,CLIMATE_ZONE_012
CITY_0013,CLIMATE_ZONE_011
CITY_0014,CLIMATE_ZONE_013
CITY_0015,CLIMATE_ZONE_002
CITY_0016,CLIMATE_ZONE_006
CITY_0017,CLIMATE_ZONE_000
CITY_0018,CLIMATE_ZONE_017
CITY_0019,CLIMATE_ZONE_015
CITY_0020,CLIMATE_ZONE_013
CITY_0021,CLIMATE_ZONE_003
CITY_0022,CLIMATE_ZONE_004
CITY_0023,CLIMATE_ZONE_006
CITY_0024,CLIMATE_ZONE_016
CITY_0025,CLIMATE_ZONE_010
CITY_0026,CLIMATE_ZONE_018
CITY_0027,CLIMATE_ZONE_010
CITY_0028,CLIMATE_ZONE_003
CITY_0029,CLIMATE_ZONE_008
CITY_0030,CLIMATE_ZONE_006
CITY_0031,CLIMATE_ZONE_008
CITY_0032,CLIMATE_ZONE_012
CITY_0033,CLIMATE_ZONE_017
CITY_0034,CLIMATE_ZONE_004
CITY_0035,CLIMATE_ZONE_007
CITY_0036,CLIMATE_ZONE_018
CITY_0037,CLIMATE_ZONE_009
CITY_0038,CLIMATE_ZONE_016
CITY_0039,CLIMATE_ZONE_008
CITY_0040,CLIMATE_ZONE_001
CITY_0041,CLIMATE_ZONE_000
CITY_0042,CLIMATE_ZONE_005
CITY_0043,CLIMATE_ZONE_015
CITY_0044,CLIMATE_ZONE_007
CITY_0045,CLIMATE_ZONE_000
CITY_0046,CLIMATE_ZONE_000
CITY_0047,CLIMATE_ZONE_016
CITY_0048,CLIMATE_ZONE_013
CITY_0049,CLIMATE_ZONE_019
CITY_0050,CLIMATE_ZONE_012
CITY_0051,CLIMATE_ZONE_012
CITY_0052,CLIMATE_ZONE_002
CITY_0053,CLIMATE_ZONE_001
CITY_0054,CLIMATE_ZONE_003
CITY_0055,CLIMATE_ZONE_012
CITY_0056,CLIMATE_ZONE_016
CITY_0057,CLIMATE_ZONE_006
CITY_0058,CLIMATE_ZONE_002
CITY_0059,CLIMATE_ZONE_002
CITY_0060,CLIMATE_ZONE_006
CITY_0061,CLIMATE_ZONE_019
CITY_0062,CLIMATE_ZONE_010
CITY_0063,CLIMATE_ZONE_000
CITY_0064,CLIMATE_ZONE_001
CITY_0065,CLIMATE_ZONE_002
CITY_0066,CLIMATE_ZONE_012
CITY_0067,CLIMATE_ZONE_016
CITY_0068,CLIMATE_ZONE_001
CITY_0069,CLIMATE_ZONE_019
CITY_0070,CLIMATE_ZONE_008
CITY_0071,CLIMATE_ZONE_002
CITY_0072,CLIMATE_ZONE_009
CITY_0073,CLIMATE_ZONE_019
CITY_0074,CLIMATE_ZONE_002
CITY_0075,CLIMATE_ZONE_010
CITY_0076,CLIMATE_ZONE_001
CITY_0077,CLIMATE_ZONE_014
CITY_0078,CLIMATE_ZONE_013
CITY_0079,CLIMATE_ZONE_005
CITY_0080,CLIMATE_ZONE_016
CITY_0081,CLIMATE_ZONE_006
CITY_0082,CLIMATE_ZONE_018
CITY_0083,CLIMATE_ZONE_014
CITY_0084,CLIMATE_ZONE_013
CITY_0085,CLIMATE_ZONE_004
CITY_0086,CLIMATE_ZONE_001
CITY_0087,CLIMATE_ZONE_011
CITY_0088,CLIMATE_ZONE_007
