COUNTRY,CLIMATE_ZONE
COUNTRY_000,CLIMATE_ZONE_008
COUNTRY_001,CLIMATE_ZONE_010
COUNTRY_002,CLIMATE_ZONE_010
COUNTRY_003,CLIMATE_ZONE_013
COUNTRY_004,CLIMATE_ZONE_002
COUNTRY_005,CLIMATE_ZONE_002
COUNTRY_006,CLIMATE_ZONE_008
COUNTRY_007,CLIMATE_ZONE_001
COUNTRY_008,CLIMATE_ZONE_009
COUNTRY_009,CLIMATE_ZONE_004
COUNTRY_010,CLIMATE_ZONE_016
COUNTRY_011,CLIMATE_ZONE_017
COUNTRY_012,CLIMATE_ZONE_013
COUNTRY_013,CLIMATE_ZONE_001
COUNTRY_014,CLIMATE_ZONE_011
COUNTRY_015,CLIMATE_ZONE_000
COUNTRY_016,CLIMATE_ZONE_010
COUNTRY_017,CLIMATE_ZONE_007
COUNTRY_018,CLIMATE_ZONE_015
COUNTRY_019,CLIMATE_ZONE_012
COUNTRY_020,CLIMATE_ZONE_013
COUNTRY_021,CLIMATE_ZONE_013
COUNTRY_022,CLIMATE_ZONE_001
COUNTRY_023,CLIMATE_ZONE_016
COUNTRY_024,CLIMATE_ZONE_003
COUNTRY_025,CLIMATE_ZONE_003
COUNTRY_026,CLIMATE_ZONE_004
COUNTRY_027,CLIMATE_ZONE_013
COUNTRY_028,CLIMATE_ZONE_000
COUNTRY_029,CLIMATE_ZONE_001
COUNTRY_030,CLIMATE_ZONE_006
COUNTRY_031,CLIMATE_ZONE_001
COUNTRY_032,CLIMATE_ZONE_016
COUNTRY_033,CLIMATE_ZONE_006
COUNTRY_034,CLIMATE_ZONE_011
COUNTRY_035,CLIMATE_ZONE_012
COUNTRY_036,CLIMATE_ZONE_012
COUNTRY_037,CLIMATE_ZONE_019
COUNTRY_038,CLIMATE_ZONE_002
COUNTRY_039,CLIMATE_ZONE_000
COUNTRY_040,CLIMATE_ZONE_012
COUNTRY_041,CLIMATE_ZONE_004
COUNTRY_042,CLIMATE_ZONE_014
COUNTRY_043,CLIMATE_ZONE_002
COUNTRY_044,CLIMATE_ZONE_010
COUNTRY_045,CLIMATE_ZONE_006
COUNTRY_046,CLIMATE_ZONE_003
COUNTRY_047,CLIMATE_ZONE_005
COUNTRY_048,CLIMATE_ZONE_006
COUNTRY_049,CLIMATE_ZONE_008
