COUNTRY,DESERT
COUNTRY_038,DESERT_007
COUNTRY_038,DESERT_011
COUNTRY_014,DESERT_009
COUNTRY_047,DESERT_001
COUNTRY_047,DESERT_004
COUNTRY_049,DESERT_013
COUNTRY_049,DESERT_014
COUNTRY_048,DESERT_010
COUNTRY_048,DESERT_005
COUNTRY_008,DESERT_005
COUNTRY_008,DESERT_017
COUNTRY_029,DESERT_011
COUNTRY_029,DESERT_006
COUNTRY_010,DESERT_008
COUNTRY_010,DESERT_018
COUNTRY_031,DESERT_000
COUNTRY_031,DESERT_014
COUNTRY_011,DESERT_016
COUNTRY_034,DESERT_009
COUNTRY_034,DESERT_000
COUNTRY_005,DESERT_015
COUNTRY_005,DESERT_011
COUNTRY_042,DESERT_000
COUNTRY_042,DESERT_005
COUNTRY_036,DESERT_017
COUNTRY_007,DESERT_003
