PROVINCE,DESERT
PROVINCE_0144,DESERT_010
PROVINCE_0043,DESERT_011
PROVINCE_0011,DESERT_001
PROVINCE_0042,DESERT_003
PROVINCE_0047,DESERT_019
PROVINCE_0019,DESERT_007
PROVINCE_0095,DESERT_010
PROVINCE_0076,DESERT_009
PROVINCE_0060,DESERT_010
PROVINCE_0008,DESERT_001
PROVINCE_0071,DESERT_007
PROVINCE_0066,DESERT_012
PROVINCE_0140,DESERT_018
PROVINCE_0057,DESERT_016
PROVINCE_0044,DESERT_017
PROVINCE_0040,DESERT_017
PROVINCE_0089,DESERT_009
PROVINCE_0049,DESERT_006
PROVINCE_0063,DESERT_019
PROVINCE_0052,DESERT_006
PROVINCE_0135,DESERT_007
PROVINCE_0001,DESERT_006
PROVINCE_0146,DESERT_005
PROVINCE_0031,DESERT_009
PROVINCE_0045,DESERT_007
PROVINCE_0137,DESERT_012
PROVINCE_0005,DESERT_005
PROVINCE_0149,DESERT_018
PROVINCE_0103,DESERT_013
PROVINCE_0145,DESERT_004
