CITY,ETHNICITY,percentage
CITY_0000,ETHNICITY_0028,100.0
CITY_0001,ETHNICITY_0124,39.37
CITY_0001,ETHNICITY_0130,60.63
CITY_0002,ETHNICITY_0028,26.39
CITY_0002,ETHNICITY_0023,10.86
CITY_0002,ETHNICITY_0120,62.75
CITY_0003,ETHNICITY_0114,11.4
CITY_0003,ETHNICITY_0039,88.25
CITY_0003,ETHNICITY_0104,0.35
CITY_0004,ETHNICITY_0071,92.19
CITY_0004,ETHNICITY_0147,4.26
CITY_0004,ETHNICITY_0134,3.55
CITY_0005,ETHNICITY_0041,100.0
CITY_0006,ETHNICITY_0050,29.44
CITY_0006,ETHNICITY_0028,15.18
CITY_0006,ETHNICITY_0140,55.38
CITY_0007,ETHNICITY_0014,100.0
CITY_0008,ETHNICITY_0110,100.0
CITY_0009,ETHNICITY_0104,18.8
CITY_0009,ETHNICITY_0005,81.2
CITY_0010,ETHNICITY_0043,31.99
CITY_0010,ETHNICITY_0000,35.27
CITY_0010,ETHNICITY_0015,32.74
CITY_0011,ETHNICITY_0089,100.0
CITY_0012,ETHNICITY_0041,100.0
CITY_0013,ETHNICITY_0086,5.27
CITY_0013,ETHNICITY_0049,29.53
CITY_0013,ETHNICITY_0139,65.2
CITY_0014,ETHNICITY_0048,98.59
CITY_0014,ETHNICITY_0024,1.41
CITY_0015,ETHNICITY_0082,100.0
CITY_0016,ETHNICITY_0011,29.21
CITY_0016,ETHNICITY_0083,64.93
CITY_0016,ETHNICITY_0045,5.87
CITY_0017,ETHNICITY_0062,86.34
CITY_0017,ETHNICITY_0135,13.66
CITY_0018,ETHNICITY_0140,100.0
CITY_0019,ETHNICITY_0000,39.31
CITY_0019,ETHNICITY_0090,36.5
CITY_0019,ETHNICITY_0141,24.19
CITY_0020,ETHNICITY_0041,32.94
CITY_0020,ETHNICITY_0106,33.96
CITY_0020,ETHNICITY_0043,33.11
CITY_0021,ETHNICITY_0144,12.56
CITY_0021,ETHNICITY_0015,66.92
CITY_0021,ETHNICITY_0115,20.52
CITY_0022,ETHNICITY_0136,42.15
CITY_0022,ETHNICITY_0110,57.85
CITY_0023,ETHNICITY_0117,100.0
CITY_0024,ETHNICITY_0062,11.72
CITY_0024,ETHNICITY_0058,88.28
CITY_0025,ETHNICITY_0142,100.0
CITY_0026,ETHNICITY_0128,100.0
CITY_0027,ETHNICITY_0098,26.89
CITY_0027,ETHNICITY_0052,38.78
CITY_0027,ETHNICITY_0054,34.33
CITY_0028,ETHNICITY_0104,3.92
CITY_0028,ETHNICITY_0021,96.08
CITY_0029,ETHNICITY_0086,62.12
CITY_0029,ETHNICITY_0029,6.05
CITY_0029,ETHNICITY_0138,31.83
CITY_0030,ETHNICITY_0045,83.39
CITY_0030,ETHNICITY_0101,16.61
CITY_0031,ETHNICITY_0026,3.26
CITY_0031,ETHNICITY_0063,96.74
CITY_0032,ETHNICITY_0141,65.98
CITY_0032,ETHNICITY_0078,34.02
CITY_0033,ETHNICITY_0000,100.0
CITY_0034,ETHNICITY_0048,100.0
CITY_0035,ETHNICITY_0129,100.0
CITY_0036,ETHNICITY_0051,100.0
CITY_0037,ETHNICITY_0039,100.0
CITY_0038,ETHNICITY_0138,100.0
CITY_0039,ETHNICITY_0057,33.1
CITY_0039,ETHNICITY_0089,25.24
CITY_0039,ETHNICITY_0047,41.66
CITY_0040,ETHNICITY_0016,19.88
CITY_0040,ETHNICITY_0135,80.12
CITY_0041,ETHNICITY_0083,87.99
CITY_0041,ETHNICITY_0005,12.01
CITY_0042,ETHNICITY_0123,56.73
CITY_0042,ETHNICITY_0126,43.27
CITY_0043,ETHNICITY_0024,90.45
CITY_0043,ETHNICITY_0011,9.55
CITY_0044,ETHNICITY_0094,72.83
CITY_0044,ETHNICITY_0148,27.17
CITY_0045,ETHNICITY_0001,100.0
CITY_0046,ETHNICITY_0137,0.43
CITY_0046,ETHNICITY_0133,66.47
CITY_0046,ETHNICITY_0025,33.1
CITY_0047,ETHNICITY_0068,11.69
CITY_0047,ETHNICITY_0063,31.07
CITY_0047,ETHNICITY_0019,57.23
CITY_0048,ETHNICITY_0032,29.68
CITY_0048,ETHNICITY_0119,60.61
CITY_0048,ETHNICITY_0113,9.71
CITY_0049,ETHNICITY_0029,55.04
CITY_0049,ETHNICITY_0117,44.96
CITY_0050,ETHNICITY_0028,0.61
CITY_0050,ETHNICITY_0090,42.63
CITY_0050,ETHNICITY_0107,56.75
CITY_0051,ETHNICITY_0136,29.14
CITY_0051,ETHNICITY_0063,43.33
CITY_0051,ETHNICITY_0138,27.54
CITY_0052,ETHNICITY_0076,6.28
CITY_0052,ETHNICITY_0089,11.25
CITY_0052,ETHNICITY_0127,82.47
CITY_0053,ETHNICITY_0004,100.0
CITY_0054,ETHNICITY_0038,5.71
CITY_0054,ETHNICITY_0100,38.65
CITY_0054,ETHNICITY_0096,55.64
CITY_0055,ETHNICITY_0102,23.82
CITY_0055,ETHNICITY_0136,76.18
CITY_0056,ETHNICITY_0043,71.84
CITY_0056,ETHNICITY_0090,28.16
CITY_0057,ETHNICITY_0024,40.56
CITY_0057,ETHNICITY_0035,30.18
CITY_0057,ETHNICITY_0082,29.27
CITY_0058,ETHNICITY_0052,98.6
CITY_0058,ETHNICITY_0078,1.4
CITY_0059,ETHNICITY_0129,26.37
CITY_0059,ETHNICITY_0144,10.43
CITY_0059,ETHNICITY_0041,63.2
CITY_0060,ETHNICITY_0083,65.79
CITY_0060,ETHNICITY_0057,34.21
CITY_0061,ETHNICITY_0069,31.1
CITY_0061,ETHNICITY_0111,24.38
CITY_0061,ETHNICITY_0002,44.53
CITY_0062,ETHNICITY_0076,64.84
CITY_0062,ETHNICITY_0034,35.16
CITY_0063,ETHNICITY_0005,15.37
CITY_0063,ETHNICITY_0113,3.84
CITY_0063,ETHNICITY_0068,80.79
CITY_0064,ETHNICITY_0121,2.18
CITY_0064,ETHNICITY_0036,51.19
CITY_0064,ETHNICITY_0105,46.64
CITY_0065,ETHNICITY_0077,36.6
CITY_0065,ETHNICITY_0016,63.4
CITY_0066,ETHNICITY_0146,36.55
CITY_0066,ETHNICITY_0101,63.45
CITY_0067,ETHNICITY_0005,53.75
CITY_0067,ETHNICITY_0143,46.25
CITY_0068,ETHNICITY_0141,100.0
CITY_0069,ETHNICITY_0117,36.41
CITY_0069,ETHNICITY_0078,45.75
CITY_0069,ETHNICITY_0127,17.84
CITY_0070,ETHNICITY_0143,83.92
CITY_0070,ETHNICITY_0090,16.08
CITY_0071,ETHNICITY_0146,12.69
CITY_0071,ETHNICITY_0072,69.08
CITY_0071,ETHNICITY_0103,18.23
CITY_0072,ETHNICITY_0019,6.14
CITY_0072,ETHNICITY_0130,93.86
CITY_0073,ETHNICITY_0129,100.0
CITY_0074,ETHNICITY_0028,77.17
CITY_0074,ETHNICITY_0105,22.83
CITY_0075,ETHNICITY_0062,75.57
CITY_0075,ETHNICITY_0073,24.43
CITY_0076,ETHNICITY_0132,33.34
CITY_0076,ETHNICITY_0087,66.66
CITY_0077,ETHNICITY_0102,100.0
CITY_0078,ETHNICITY_0148,12.29
CITY_0078,ETHNICITY_0137,1.8
CITY_0078,ETHNICITY_0136,85.91
CITY_0079,ETHNICITY_0097,100.0
CITY_0080,ETHNICITY_0149,25.68
CITY_0080,ETHNICITY_0136,74.32
CITY_0081,ETHNICITY_0067,100.0
CITY_0082,ETHNICITY_0080,74.73
CITY_0082,ETHNICITY_0002,25.27
CITY_0083,ETHNICITY_0042,39.04
CITY_0083,ETHNICITY_0131,3.49
CITY_0083,ETHNICITY_0100,57.47
CITY_0084,ETHNICITY_0083,100.0
CITY_0085,ETHNICITY_0030,100.0
CITY_0086,ETHNICITY_0041,100.0
