COUNTRY,ETHNICITY,percentage
COUNTRY_000,ETHNICITY_0045,26.23
COUNTRY_000,ETHNICITY_0090,48.35
COUNTRY_000,ETHNICITY_0103,25.42
COUNTRY_001,ETHNICITY_0096,51.95
COUNTRY_001,ETHNICITY_0046,48.05
COUNTRY_002,ETHNICITY_0086,0.36
COUNTRY_002,ETHNICITY_0054,5.44
COUNTRY_002,ETHNICITY_0095,49.61
COUNTRY_002,ETHNICITY_0012,27.5
COUNTRY_002,ETHNICITY_0099,5.31
COUNTRY_002,ETHNICITY_0062,11.79
COUNTRY_003,ETHNICITY_0062,57.45
COUNTRY_003,ETHNICITY_0017,17.8
COUNTRY_003,ETHNICITY_0029,0.55
COUNTRY_003,ETHNICITY_0136,2.37
COUNTRY_003,ETHNICITY_0014,21.83
COUNTRY_004,ETHNICITY_0101,70.42
COUNTRY_004,ETHNICITY_0125,23.86
COUNTRY_004,ETHNICITY_0070,1.49
COUNTRY_004,ETHNICITY_0026,4.24
COUNTRY_005,ETHNICITY_0001,34.48
COUNTRY_005,ETHNICITY_0124,43.04
COUNTRY_005,ETHNICITY_0080,22.47
COUNTRY_006,ETHNICITY_0143,36.59
COUNTRY_006,ETHNICITY_0078,1.02
COUNTRY_006,ETHNICITY_0031,62.39
COUNTRY_007,ETHNICITY_0082,43.21
COUNTRY_007,ETHNICITY_0038,8.34
COUNTRY_007,ETHNICITY_0003,34.32
COUNTRY_007,ETHNICITY_0018,6.73
COUNTRY_007,ETHNICITY_0056,1.15
COUNTRY_007,ETHNICITY_0098,6.25
COUNTRY_008,ETHNICITY_0102,17.1
COUNTRY_008,ETHNICITY_0014,35.81
COUNTRY_008,ETHNICITY_0130,47.1
COUNTRY_009,ETHNICITY_0102,41.71
COUNTRY_009,ETHNICITY_0058,38.03
COUNTRY_009,ETHNICITY_0146,18.53
COUNTRY_009,ETHNICITY_0121,1.74
COUNTRY_010,ETHNICITY_0098,24.42
COUNTRY_010,ETHNICITY_0016,13.24
COUNTRY_010,ETHNICITY_0080,9.32
COUNTRY_010,ETHNICITY_0070,53.01
COUNTRY_011,ETHNICITY_0011,25.73
