PROVINCE,ETHNICITY,percentage
PROVINCE_0000,ETHNICITY_0074,29.97
PROVINCE_0000,ETHNICITY_0134,53.05
PROVINCE_0000,ETHNICITY_0143,16.98
PROVINCE_0001,ETHNICITY_0100,61.2
PROVINCE_0001,ETHNICITY_0089,36.16
PROVINCE_0001,ETHNICITY_0072,2.64
PROVINCE_0002,ETHNICITY_0111,20.03
PROVINCE_0002,ETHNICITY_0063,20.23
PROVINCE_0002,ETHNICITY_0076,59.68
PROVINCE_0002,ETHNICITY_0084,0.06
PROVINCE_0003,ETHNICITY_0074,5.08
PROVINCE_0003,ETHNICITY_0056,46.9
PROVINCE_0003,ETHNICITY_0078,48.01
PROVINCE_0004,ETHNICITY_0018,45.18
PROVINCE_0004,ETHNICITY_0078,51.42
PROVINCE_0004,ETHNICITY_0031,3.4
PROVINCE_0005,ETHNICITY_0145,25.34
PROVINCE_0005,ETHNICITY_0062,9.25
PROVINCE_0005,ETHNICITY_0066,7.02
PROVINCE_0005,ETHNICITY_0070,58.39
PROVINCE_0006,ETHNICITY_0072,3.84
PROVINCE_0006,ETHNICITY_0057,16.76
PROVINCE_0006,ETHNICITY_0147,73.95
PROVINCE_0006,ETHNICITY_0069,5.45
PROVINCE_0007,ETHNICITY_0067,38.24
PROVINCE_0007,ETHNICITY_0004,51.76
PROVINCE_0007,ETHNICITY_0134,8.13
PROVINCE_0007,ETHNICITY_0143,1.87
PROVINCE_0008,ETHNICITY_0037,40.75
PROVINCE_0008,ETHNICITY_0057,59.25
PROVINCE_0009,ETHNICITY_0084,100.0
PROVINCE_0010,ETHNICITY_0032,6.1
PROVINCE_0010,ETHNICITY_0122,66.35
PROVINCE_0010,ETHNICITY_0055,3.08
PROVINCE_0010,ETHNICITY_0147,24.47
PROVINCE_0011,ETHNICITY_0025,0.01
PROVINCE_0011,ETHNICITY_0063,26.8
PROVINCE_0011,ETHNICITY_0040,73.19
PROVINCE_0012,ETHNICITY_0002,100.0
PROVINCE_0013,ETHNICITY_0033,5.59
PROVINCE_0013,ETHNICITY_0015,28.72
PROVINCE_0013,ETHNICITY_0044,33.96
PROVINCE_0013,ETHNICITY_0029,31.73
PROVINCE_0014,ETHNICITY_0011,6.04
PROVINCE_0014,ETHNICITY_0122,4.57
PROVINCE_0014,ETHNICITY_0083,49.05
PROVINCE_0014,ETHNICITY_0077,40.34
PROVINCE_0015,ETHNICITY_0049,19.81
PROVINCE_0015,ETHNICITY_0073,60.68
PROVINCE_0015,ETHNICITY_0105,19.51
PROVINCE_0016,ETHNICITY_0086,43.2
PROVINCE_0016,ETHNICITY_0120,13.33
PROVINCE_0016,ETHNICITY_0149,43.47
PROVINCE_0017,ETHNICITY_0032,97.13
PROVINCE_0017,ETHNICITY_0009,2.87
PROVINCE_0018,ETHNICITY_0002,27.86
PROVINCE_0018,ETHNICITY_0010,72.14
PROVINCE_0019,ETHNICITY_0071,25.04
PROVINCE_0019,ETHNICITY_0145,22.16
PROVINCE_0019,ETHNICITY_0110,52.8
PROVINCE_0020,ETHNICITY_0097,0.76
PROVINCE_0020,ETHNICITY_0016,34.21
PROVINCE_0020,ETHNICITY_0037,65.03
PROVINCE_0021,ETHNICITY_0145,66.57
PROVINCE_0021,ETHNICITY_0013,33.43
PROVINCE_0022,ETHNICITY_0036,100.0
PROVINCE_0023,ETHNICITY_0027,44.36
PROVINCE_0023,ETHNICITY_0034,12.92
PROVINCE_0023,ETHNICITY_0029,42.72
PROVINCE_0024,ETHNICITY_0118,44.01
PROVINCE_0024,ETHNICITY_0085,55.99
PROVINCE_0025,ETHNICITY_0091,41.44
PROVINCE_0025,ETHNICITY_0135,27.35
PROVINCE_0025,ETHNICITY_0100,12.9
PROVINCE_0025,ETHNICITY_0048,18.31
PROVINCE_0026,ETHNICITY_0149,62.88
PROVINCE_0026,ETHNICITY_0086,18.11
PROVINCE_0026,ETHNICITY_0120,19.01
PROVINCE_0027,ETHNICITY_0142,100.0
PROVINCE_0028,ETHNICITY_0020,59.52
PROVINCE_0028,ETHNICITY_0146,2.31
PROVINCE_0028,ETHNICITY_0055,25.27
PROVINCE_0028,ETHNICITY_0017,12.9
PROVINCE_0029,ETHNICITY_0092,30.11
PROVINCE_0029,ETHNICITY_0141,65.87
PROVINCE_0029,ETHNICITY_0076,4.02
PROVINCE_0030,ETHNICITY_0066,37.86
PROVINCE_0030,ETHNICITY_0083,62.14
PROVINCE_0031,ETHNICITY_0099,33.28
PROVINCE_0031,ETHNICITY_0056,3.53
PROVINCE_0031,ETHNICITY_0021,43.02
PROVINCE_0031,ETHNICITY_0018,20.17
PROVINCE_0032,ETHNICITY_0138,76.28
PROVINCE_0032,ETHNICITY_0140,23.72
PROVINCE_0033,ETHNICITY_0012,13.95
PROVINCE_0033,ETHNICITY_0052,44.92
PROVINCE_0033,ETHNICITY_0075,41.13
PROVINCE_0034,ETHNICITY_0048,64.95
PROVINCE_0034,ETHNICITY_0104,35.05
PROVINCE_0035,ETHNICITY_0034,50.45
PROVINCE_0035,ETHNICITY_0008,49.55
PROVINCE_0036,ETHNICITY_0049,51.95
PROVINCE_0036,ETHNICITY_0079,48.05
PROVINCE_0037,ETHNICITY_0074,58.6
PROVINCE_0037,ETHNICITY_0046,2.15
PROVINCE_0037,ETHNICITY_0067,33.61
PROVINCE_0037,ETHNICITY_0104,5.63
PROVINCE_0038,ETHNICITY_0027,86.93
PROVINCE_0038,ETHNICITY_0004,13.07
PROVINCE_0039,ETHNICITY_0059,7.99
PROVINCE_0039,ETHNICITY_0115,37.12
PROVINCE_0039,ETHNICITY_0148,54.89
PROVINCE_0040,ETHNICITY_0129,7.0
PROVINCE_0040,ETHNICITY_0101,17.41
PROVINCE_0040,ETHNICITY_0138,17.77
PROVINCE_0040,ETHNICITY_0007,57.82
PROVINCE_0041,ETHNICITY_0141,100.0
PROVINCE_0042,ETHNICITY_0036,19.4
PROVINCE_0042,ETHNICITY_0145,29.94
PROVINCE_0042,ETHNICITY_0071,50.66
PROVINCE_0043,ETHNICITY_0149,0.23
PROVINCE_0043,ETHNICITY_0012,12.13
PROVINCE_0043,ETHNICITY_0039,55.93
PROVINCE_0043,ETHNICITY_0022,31.71
PROVINCE_0044,ETHNICITY_0112,29.0
PROVINCE_0044,ETHNICITY_0073,27.94
PROVINCE_0044,ETHNICITY_0016,15.83
PROVINCE_0044,ETHNICITY_0119,27.23
PROVINCE_0045,ETHNICITY_0048,37.26
PROVINCE_0045,ETHNICITY_0009,18.95
PROVINCE_0045,ETHNICITY_0077,43.79
PROVINCE_0046,ETHNICITY_0081,92.16
PROVINCE_0046,ETHNICITY_0014,7.84
PROVINCE_0047,ETHNICITY_0058,53.39
PROVINCE_0047,ETHNICITY_0137,46.61
PROVINCE_0048,ETHNICITY_0012,47.03
PROVINCE_0048,ETHNICITY_0041,11.63
PROVINCE_0048,ETHNICITY_0143,41.34
PROVINCE_0049,ETHNICITY_0108,41.49
PROVINCE_0049,ETHNICITY_0100,10.7
PROVINCE_0049,ETHNICITY_0086,47.81
PROVINCE_0050,ETHNICITY_0114,97.8
PROVINCE_0050,ETHNICITY_0086,2.2
PROVINCE_0051,ETHNICITY_0050,8.12
PROVINCE_0051,ETHNICITY_0051,91.88
PROVINCE_0052,ETHNICITY_0133,96.87
PROVINCE_0052,ETHNICITY_0039,3.13
PROVINCE_0053,ETHNICITY_0002,7.92
PROVINCE_0053,ETHNICITY_0034,92.08
PROVINCE_0054,ETHNICITY_0034,100.0
PROVINCE_0055,ETHNICITY_0102,7.13
PROVINCE_0055,ETHNICITY_0146,25.09
PROVINCE_0055,ETHNICITY_0027,67.78
PROVINCE_0056,ETHNICITY_0052,2.17
PROVINCE_0056,ETHNICITY_0002,97.83
PROVINCE_0057,ETHNICITY_0005,14.06
PROVINCE_0057,ETHNICITY_0056,85.94
PROVINCE_0058,ETHNICITY_0064,22.31
PROVINCE_0058,ETHNICITY_0104,77.69
PROVINCE_0059,ETHNICITY_0112,58.0
PROVINCE_0059,ETHNICITY_0017,12.95
PROVINCE_0059,ETHNICITY_0031,1.83
PROVINCE_0059,ETHNICITY_0109,27.22
PROVINCE_0060,ETHNICITY_0093,8.09
PROVINCE_0060,ETHNICITY_0002,39.24
PROVINCE_0060,ETHNICITY_0112,38.19
PROVINCE_0060,ETHNICITY_0109,14.48
PROVINCE_0061,ETHNICITY_0122,50.15
PROVINCE_0061,ETHNICITY_0088,49.85
PROVINCE_0062,ETHNICITY_0063,66.72
PROVINCE_0062,ETHNICITY_0014,21.03
PROVINCE_0062,ETHNICITY_0044,12.25
PROVINCE_0063,ETHNICITY_0094,18.41
PROVINCE_0063,ETHNICITY_0053,45.94
PROVINCE_0063,ETHNICITY_0014,35.65
PROVINCE_0064,ETHNICITY_0044,100.0
PROVINCE_0065,ETHNICITY_0148,7.01
PROVINCE_0065,ETHNICITY_0142,92.99
PROVINCE_0066,ETHNICITY_0124,24.24
PROVINCE_0066,ETHNICITY_0043,22.11
PROVINCE_0066,ETHNICITY_0060,53.65
PROVINCE_0067,ETHNICITY_0055,100.0
PROVINCE_0068,ETHNICITY_0033,45.26
PROVINCE_0068,ETHNICITY_0011,23.97
PROVINCE_0068,ETHNICITY_0032,30.76
PROVINCE_0069,ETHNICITY_0117,66.0
PROVINCE_0069,ETHNICITY_0017,19.5
PROVINCE_0069,ETHNICITY_0148,14.5
PROVINCE_0070,ETHNICITY_0023,100.0
PROVINCE_0071,ETHNICITY_0041,31.16
PROVINCE_0071,ETHNICITY_0033,29.1
PROVINCE_0071,ETHNICITY_0074,1.99
PROVINCE_0071,ETHNICITY_0013,37.75
PROVINCE_0072,ETHNICITY_0014,28.31
PROVINCE_0072,ETHNICITY_0112,28.68
PROVINCE_0072,ETHNICITY_0105,43.02
PROVINCE_0073,ETHNICITY_0139,9.09
PROVINCE_0073,ETHNICITY_0118,13.51
PROVINCE_0073,ETHNICITY_0026,77.4
PROVINCE_0074,ETHNICITY_0126,73.22
PROVINCE_0074,ETHNICITY_0082,3.64
PROVINCE_0074,ETHNICITY_0066,17.14
PROVINCE_0074,ETHNICITY_0105,6.0
PROVINCE_0075,ETHNICITY_0046,100.0
PROVINCE_0076,ETHNICITY_0012,22.04
PROVINCE_0076,ETHNICITY_0098,8.68
PROVINCE_0076,ETHNICITY_0092,69.28
PROVINCE_0077,ETHNICITY_0137,83.09
PROVINCE_0077,ETHNICITY_0112,16.91
PROVINCE_0078,ETHNICITY_0120,0.56
PROVINCE_0078,ETHNICITY_0037,99.44
PROVINCE_0079,ETHNICITY_0129,12.61
PROVINCE_0079,ETHNICITY_0016,60.65
