COUNTRY,GOVERNMENT_TYPE
COUNTRY_000,GOVERNMENT_TYPE_013
COUNTRY_001,GOVERNMENT_TYPE_006
COUNTRY_002,GOVERNMENT_TYPE_013
COUNTRY_003,GOVERNMENT_TYPE_004
COUNTRY_004,GOVERNMENT_TYPE_016
COUNTRY_005,GOVERNMENT_TYPE_003
COUNTRY_006,GOVERNMENT_TYPE_008
COUNTRY_007,GOVERNMENT_TYPE_008
COUNTRY_008,GOVERNMENT_TYPE_008
COUNTRY_009,GOVERNMENT_TYPE_014
COUNTRY_010,GOVERNMENT_TYPE_003
COUNTRY_011,GOVERNMENT_TYPE_016
COUNTRY_012,GOVERNMENT_TYPE_018
COUNTRY_013,GOVERNMENT_TYPE_007
COUNTRY_014,GOVERNMENT_TYPE_018
COUNTRY_015,GOVERNMENT_TYPE_010
COUNTRY_016,GOVERNMENT_TYPE_006
COUNTRY_017,GOVERNMENT_TYPE_000
COUNTRY_018,GOVERNMENT_TYPE_018
COUNTRY_019,GOVERNMENT_TYPE_013
COUNTRY_020,GOVERNMENT_TYPE_018
COUNTRY_021,GOVERNMENT_TYPE_001
COUNTRY_022,GOVERNMENT_TYPE_013
COUNTRY_023,GOVERNMENT_TYPE_015
COUNTRY_024,GOVERNMENT_TYPE_012
COUNTRY_025,GOVERNMENT_TYPE_008
COUNTRY_026,GOVERNMENT_TYPE_019
COUNTRY_027,GOVERNMENT_TYPE_000
COUNTRY_028,GOVERNMENT_TYPE_018
COUNTRY_029,GOVERNMENT_TYPE_005
COUNTRY_030,GOVERNMENT_TYPE_005
COUNTRY_031,GOVERNMENT_TYPE_016
COUNTRY_032,GOVERNMENT_TYPE_017
COUNTRY_033,GOVERNMENT_TYPE_008
COUNTRY_034,GOVERNMENT_TYPE_019
COUNTRY_035,GOVERNMENT_TYPE_016
COUNTRY_036,GOVERNMENT_TYPE_014
COUNTRY_037,GOVERNMENT_TYPE_008
COUNTRY_038,GOVERNMENT_TYPE_010
COUNTRY_039,GOVERNMENT_TYPE_011
COUNTRY_040,GOVERNMENT_TYPE_003
COUNTRY_041,GOVERNMENT_TYPE_007
COUNTRY_042,GOVERNMENT_TYPE_010
COUNTRY_043,GOVERNMENT_TYPE_017
COUNTRY_044,GOVERNMENT_TYPE_014
COUNTRY_045,GOVERNMENT_TYPE_004
COUNTRY_046,GOVERNMENT_TYPE_015
COUNTRY_047,GOVERNMENT_TYPE_003
COUNTRY_048,GOVERNMENT_TYPE_014
COUNTRY_049,GOVERNMENT_TYPE_008
