COUNTRY,MOUNTAIN
COUNTRY_000,MOUNTAIN_0005
COUNTRY_000,MOUNTAIN_0164
COUNTRY_000,MOUNTAIN_0108
COUNTRY_001,MOUNTAIN_0141
COUNTRY_001,MOUNTAIN_0143
COUNTRY_001,MOUNTAIN_0030
COUNTRY_001,MOUNTAIN_0027
COUNTRY_001,MOUNTAIN_0193
COUNTRY_001,MOUNTAIN_0098
COUNTRY_001,MOUNTAIN_0069
COUNTRY_001,MOUNTAIN_0198
COUNTRY_002,MOUNTAIN_0196
COUNTRY_002,MOUNTAIN_0008
COUNTRY_002,MOUNTAIN_0051
COUNTRY_002,MOUNTAIN_0078
COUNTRY_002,MOUNTAIN_0053
COUNTRY_002,MOUNTAIN_0151
COUNTRY_002,MOUNTAIN_0128
COUNTRY_003,MOUNTAIN_0133
COUNTRY_003,MOUNTAIN_0016
COUNTRY_003,MOUNTAIN_0129
COUNTRY_003,MOUNTAIN_0126
COUNTRY_003,MOUNTAIN_0052
COUNTRY_003,MOUNTAIN_0140
COUNTRY_003,MOUNTAIN_0120
COUNTRY_003,MOUNTAIN_0113
COUNTRY_004,MOUNTAIN_0191
COUNTRY_004,MOUNTAIN_0091
COUNTRY_004,MOUNTAIN_0131
COUNTRY_004,MOUNTAIN_0056
COUNTRY_004,MOUNTAIN_0187
COUNTRY_004,MOUNTAIN_0059
COUNTRY_004,MOUNTAIN_0054
COUNTRY_005,MOUNTAIN_0072
COUNTRY_005,MOUNTAIN_0194
COUNTRY_005,MOUNTAIN_0121
COUNTRY_005,MOUNTAIN_0115
COUNTRY_005,MOUNTAIN_0003
COUNTRY_006,MOUNTAIN_0064
COUNTRY_006,MOUNTAIN_0024
COUNTRY_006,MOUNTAIN_0059
COUNTRY_006,MOUNTAIN_0183
COUNTRY_006,MOUNTAIN_0002
COUNTRY_006,MOUNTAIN_0154
COUNTRY_006,MOUNTAIN_0003
COUNTRY_006,MOUNTAIN_0159
COUNTRY_007,MOUNTAIN_0089
COUNTRY_007,MOUNTAIN_0049
COUNTRY_008,MOUNTAIN_0163
COUNTRY_008,MOUNTAIN_0107
COUNTRY_008,MOUNTAIN_0005
COUNTRY_008,MOUNTAIN_0047
COUNTRY_008,MOUNTAIN_0139
COUNTRY_008,MOUNTAIN_0032
COUNTRY_009,MOUNTAIN_0034
COUNTRY_009,MOUNTAIN_0089
COUNTRY_009,MOUNTAIN_0067
COUNTRY_009,MOUNTAIN_0042
COUNTRY_009,MOUNTAIN_0010
COUNTRY_010,MOUNTAIN_0017
COUNTRY_010,MOUNTAIN_0167
COUNTRY_010,MOUNTAIN_0043
COUNTRY_010,MOUNTAIN_0059
COUNTRY_011,MOUNTAIN_0156
COUNTRY_011,MOUNTAIN_0008
COUNTRY_012,MOUNTAIN_0167
COUNTRY_012,MOUNTAIN_0091
COUNTRY_012,MOUNTAIN_0115
COUNTRY_012,MOUNTAIN_0118
COUNTRY_012,MOUNTAIN_0034
COUNTRY_012,MOUNTAIN_0001
COUNTRY_012,MOUNTAIN_0068
COUNTRY_013,MOUNTAIN_0071
COUNTRY_013,MOUNTAIN_0016
COUNTRY_013,MOUNTAIN_0005
COUNTRY_013,MOUNTAIN_0014
COUNTRY_013,MOUNTAIN_0181
COUNTRY_013,MOUNTAIN_0176
COUNTRY_013,MOUNTAIN_0126
COUNTRY_013,MOUNTAIN_0151
COUNTRY_014,MOUNTAIN_0180
COUNTRY_014,MOUNTAIN_0069
COUNTRY_014,MOUNTAIN_0025
COUNTRY_014,MOUNTAIN_0144
COUNTRY_014,MOUNTAIN_0055
COUNTRY_014,MOUNTAIN_0040
COUNTRY_014,MOUNTAIN_0095
COUNTRY_014,MOUNTAIN_0199
COUNTRY_015,MOUNTAIN_0141
COUNTRY_015,MOUNTAIN_0164
COUNTRY_015,MOUNTAIN_0019
COUNTRY_016,MOUNTAIN_0159
COUNTRY_016,MOUNTAIN_0123
COUNTRY_017,MOUNTAIN_0157
COUNTRY_017,MOUNTAIN_0079
COUNTRY_017,MOUNTAIN_0025
COUNTRY_017,MOUNTAIN_0162
COUNTRY_017,MOUNTAIN_0036
COUNTRY_017,MOUNTAIN_0192
COUNTRY_017,MOUNTAIN_0070
COUNTRY_018,MOUNTAIN_0119
COUNTRY_018,MOUNTAIN_0007
COUNTRY_018,MOUNTAIN_0150
COUNTRY_018,MOUNTAIN_0186
COUNTRY_018,MOUNTAIN_0188
COUNTRY_018,MOUNTAIN_0142
COUNTRY_019,MOUNTAIN_0038
COUNTRY_019,MOUNTAIN_0190
COUNTRY_019,MOUNTAIN_0099
COUNTRY_019,MOUNTAIN_0065
COUNTRY_019,MOUNTAIN_0147
COUNTRY_020,MOUNTAIN_0052
COUNTRY_020,MOUNTAIN_0046
COUNTRY_020,MOUNTAIN_0045
COUNTRY_020,MOUNTAIN_0095
COUNTRY_020,MOUNTAIN_0020
COUNTRY_021,MOUNTAIN_0076
COUNTRY_021,MOUNTAIN_0036
COUNTRY_021,MOUNTAIN_0047
COUNTRY_021,MOUNTAIN_0074
COUNTRY_021,MOUNTAIN_0003
COUNTRY_022,MOUNTAIN_0177
COUNTRY_022,MOUNTAIN_0165
COUNTRY_022,MOUNTAIN_0172
COUNTRY_022,MOUNTAIN_0054
COUNTRY_023,MOUNTAIN_0107
COUNTRY_023,MOUNTAIN_0025
COUNTRY_023,MOUNTAIN_0027
COUNTRY_024,MOUNTAIN_0159
COUNTRY_024,MOUNTAIN_0013
COUNTRY_024,MOUNTAIN_0009
COUNTRY_024,MOUNTAIN_0049
COUNTRY_024,MOUNTAIN_0078
COUNTRY_024,MOUNTAIN_0097
COUNTRY_025,MOUNTAIN_0110
COUNTRY_025,MOUNTAIN_0025
COUNTRY_025,MOUNTAIN_0176
COUNTRY_025,MOUNTAIN_0097
COUNTRY_025,MOUNTAIN_0055
COUNTRY_025,MOUNTAIN_0012
COUNTRY_026,MOUNTAIN_0003
COUNTRY_026,MOUNTAIN_0038
COUNTRY_026,MOUNTAIN_0139
COUNTRY_026,MOUNTAIN_0102
COUNTRY_026,MOUNTAIN_0114
COUNTRY_027,MOUNTAIN_0167
COUNTRY_027,MOUNTAIN_0043
COUNTRY_027,MOUNTAIN_0014
COUNTRY_027,MOUNTAIN_0038
COUNTRY_027,MOUNTAIN_0199
COUNTRY_027,MOUNTAIN_0008
COUNTRY_027,MOUNTAIN_0152
COUNTRY_028,MOUNTAIN_0199
COUNTRY_028,MOUNTAIN_0060
COUNTRY_028,MOUNTAIN_0100
COUNTRY_028,MOUNTAIN_0106
COUNTRY_029,MOUNTAIN_0034
COUNTRY_029,MOUNTAIN_0017
COUNTRY_029,MOUNTAIN_0146
COUNTRY_029,MOUNTAIN_0092
COUNTRY_029,MOUNTAIN_0050
COUNTRY_029,MOUNTAIN_0104
COUNTRY_029,MOUNTAIN_0139
COUNTRY_030,MOUNTAIN_0007
COUNTRY_030,MOUNTAIN_0002
COUNTRY_030,MOUNTAIN_0086
COUNTRY_030,MOUNTAIN_0119
COUNTRY_030,MOUNTAIN_0121
COUNTRY_030,MOUNTAIN_0154
COUNTRY_031,MOUNTAIN_0007
COUNTRY_031,MOUNTAIN_0015
COUNTRY_031,MOUNTAIN_0024
COUNTRY_031,MOUNTAIN_0126
COUNTRY_032,MOUNTAIN_0034
COUNTRY_032,MOUNTAIN_0085
COUNTRY_032,MOUNTAIN_0144
COUNTRY_033,MOUNTAIN_0006
COUNTRY_033,MOUNTAIN_0118
COUNTRY_034,MOUNTAIN_0157
COUNTRY_034,MOUNTAIN_0118
COUNTRY_034,MOUNTAIN_0022
COUNTRY_035,MOUNTAIN_0192
COUNTRY_035,MOUNTAIN_0199
COUNTRY_035,MOUNTAIN_0008
COUNTRY_036,MOUNTAIN_0115
COUNTRY_036,MOUNTAIN_0043
COUNTRY_036,MOUNTAIN_0041
COUNTRY_036,MOUNTAIN_0023
COUNTRY_036,MOUNTAIN_0027
COUNTRY_036,MOUNTAIN_0052
COUNTRY_036,MOUNTAIN_0138
COUNTRY_037,MOUNTAIN_0097
COUNTRY_037,MOUNTAIN_0144
COUNTRY_037,MOUNTAIN_0010
COUNTRY_037,MOUNTAIN_0190
COUNTRY_037,MOUNTAIN_0130
COUNTRY_037,MOUNTAIN_0120
COUNTRY_037,MOUNTAIN_0019
COUNTRY_037,MOUNTAIN_0167
COUNTRY_038,MOUNTAIN_0126
COUNTRY_038,MOUNTAIN_0036
COUNTRY_038,MOUNTAIN_0047
COUNTRY_038,MOUNTAIN_0030
COUNTRY_038,MOUNTAIN_0006
COUNTRY_039,MOUNTAIN_0064
COUNTRY_039,MOUNTAIN_0080
COUNTRY_039,MOUNTAIN_0181
COUNTRY_039,MOUNTAIN_0198
COUNTRY_039,MOUNTAIN_0071
COUNTRY_039,MOUNTAIN_0190
COUNTRY_039,MOUNTAIN_0104
COUNTRY_039,MOUNTAIN_0028
COUNTRY_040,MOUNTAIN_0028
COUNTRY_040,MOUNTAIN_0145
COUNTRY_040,MOUNTAIN_0042
COUNTRY_040,MOUNTAIN_0140
COUNTRY_040,MOUNTAIN_0017
COUNTRY_041,MOUNTAIN_0001
COUNTRY_041,MOUNTAIN_0116
COUNTRY_041,MOUNTAIN_0065
COUNTRY_041,MOUNTAIN_0078
COUNTRY_041,MOUNTAIN_0062
COUNTRY_042,MOUNTAIN_0013
COUNTRY_042,MOUNTAIN_0037
COUNTRY_042,MOUNTAIN_0057
COUNTRY_042,MOUNTAIN_0194
COUNTRY_042,MOUNTAIN_0077
COUNTRY_043,MOUNTAIN_0033
COUNTRY_043,MOUNTAIN_0047
COUNTRY_043,MOUNTAIN_0092
COUNTRY_043,MOUNTAIN_0036
COUNTRY_044,MOUNTAIN_0165
COUNTRY_044,MOUNTAIN_0101
COUNTRY_045,MOUNTAIN_0036
COUNTRY_045,MOUNTAIN_0087
COUNTRY_046,MOUNTAIN_0054
COUNTRY_046,MOUNTAIN_0150
COUNTRY_046,MOUNTAIN_0069
COUNTRY_047,MOUNTAIN_0021
COUNTRY_047,MOUNTAIN_0036
COUNTRY_047,MOUNTAIN_0187
COUNTRY_047,MOUNTAIN_0170
COUNTRY_047,MOUNTAIN_0186
COUNTRY_047,MOUNTAIN_0004
COUNTRY_047,MOUNTAIN_0149
COUNTRY_047,MOUNTAIN_0069
COUNTRY_048,MOUNTAIN_0189
COUNTRY_048,MOUNTAIN_0114
COUNTRY_048,MOUNTAIN_0121
COUNTRY_048,MOUNTAIN_0046
COUNTRY_049,MOUNTAIN_0157
COUNTRY_049,MOUNTAIN_0005
COUNTRY_049,MOUNTAIN_0053
COUNTRY_049,MOUNTAIN_0172
COUNTRY_049,MOUNTAIN_0046
