PROVINCE,MOUNTAIN
PROVINCE_0000,MOUNTAIN_0164
PROVINCE_0000,MOUNTAIN_0160
PROVINCE_0000,MOUNTAIN_0090
PROVINCE_0000,MOUNTAIN_0080
PROVINCE_0001,MOUNTAIN_0057
PROVINCE_0002,MOUNTAIN_0120
PROVINCE_0002,MOUNTAIN_0104
PROVINCE_0003,MOUNTAIN_0166
PROVINCE_0004,MOUNTAIN_0154
PROVINCE_0004,MOUNTAIN_0076
PROVINCE_0004,MOUNTAIN_0184
PROVINCE_0004,MOUNTAIN_0142
PROVINCE_0005,MOUNTAIN_0173
PROVINCE_0006,MOUNTAIN_0069
PROVINCE_0006,MOUNTAIN_0088
PROVINCE_0007,MOUNTAIN_0149
PROVINCE_0007,MOUNTAIN_0138
PROVINCE_0007,MOUNTAIN_0089
PROVINCE_0008,MOUNTAIN_0097
PROVINCE_0009,MOUNTAIN_0033
PROVINCE_0010,MOUNTAIN_0027
PROVINCE_0011,MOUNTAIN_0170
PROVINCE_0011,MOUNTAIN_0028
PROVINCE_0011,MOUNTAIN_0081
PROVINCE_0011,MOUNTAIN_0137
PROVINCE_0011,MOUNTAIN_0148
PROVINCE_0012,MOUNTAIN_0043
PROVINCE_0013,MOUNTAIN_0138
PROVINCE_0013,MOUNTAIN_0103
PROVINCE_0013,MOUNTAIN_0193
PROVINCE_0013,MOUNTAIN_0179
PROVINCE_0014,MOUNTAIN_0187
PROVINCE_0014,MOUNTAIN_0155
PROVINCE_0014,MOUNTAIN_0137
PROVINCE_0015,MOUNTAIN_0065
PROVINCE_0015,MOUNTAIN_0122
PROVINCE_0015,MOUNTAIN_0142
PROVINCE_0015,MOUNTAIN_0109
PROVINCE_0016,MOUNTAIN_0172
PROVINCE_0016,MOUNTAIN_0107
PROVINCE_0016,MOUNTAIN_0032
PROVINCE_0016,MOUNTAIN_0054
PROVINCE_0016,MOUNTAIN_0118
PROVINCE_0017,MOUNTAIN_0015
PROVINCE_0017,MOUNTAIN_0002
PROVINCE_0017,MOUNTAIN_0128
PROVINCE_0017,MOUNTAIN_0134
PROVINCE_0018,MOUNTAIN_0079
PROVINCE_0018,MOUNTAIN_0116
PROVINCE_0018,MOUNTAIN_0066
PROVINCE_0019,MOUNTAIN_0130
PROVINCE_0020,MOUNTAIN_0112
PROVINCE_0020,MOUNTAIN_0168
PROVINCE_0021,MOUNTAIN_0022
PROVINCE_0021,MOUNTAIN_0144
PROVINCE_0021,MOUNTAIN_0028
PROVINCE_0021,MOUNTAIN_0146
PROVINCE_0021,MOUNTAIN_0008
PROVINCE_0022,MOUNTAIN_0074
PROVINCE_0022,MOUNTAIN_0158
PROVINCE_0022,MOUNTAIN_0145
PROVINCE_0022,MOUNTAIN_0033
PROVINCE_0023,MOUNTAIN_0111
PROVINCE_0024,MOUNTAIN_0011
