language_id,name,iso_code
LANGUAGE_0000,Oromo,ml
LANGUAGE_0001,Polish,
LANGUAGE_0002,Tatar,fi
LANGUAGE_0003,Bengali,mai
LANGUAGE_0004,Kurdish,
LANGUAGE_0005,Afar,csb
LANGUAGE_0006,South Ndebele,sw
LANGUAGE_0007,Lao,gu
LANGUAGE_0008,Afrikaans,an
LANGUAGE_0009,Tigrinya,
LANGUAGE_0010,Kalaallisut,sid
LANGUAGE_0011,Xhosa,mai
LANGUAGE_0012,Swedish,tt
LANGUAGE_0013,Western Frisian,mni
LANGUAGE_0014,Hebrew,tk
LANGUAGE_0015,Vietnamese,
LANGUAGE_0016,Limburgan,sa
LANGUAGE_0017,Zulu,
LANGUAGE_0018,Haitian,
LANGUAGE_0019,Western Frisian,ia
LANGUAGE_0020,Gaelic,de
LANGUAGE_0021,Herero,ko
LANGUAGE_0022,Lingala,sc
LANGUAGE_0023,Lingala,byn
LANGUAGE_0024,Tigrinya,fil
LANGUAGE_0025,Latin,xh
LANGUAGE_0026,Belarusian,hy
LANGUAGE_0027,Uzbek,mg
LANGUAGE_0028,Hungarian,fy
LANGUAGE_0029,Tajik,fi
LANGUAGE_0030,Zhuang,tl
LANGUAGE_0031,Somali,st
LANGUAGE_0032,Persian,
LANGUAGE_0033,Marathi,nl
LANGUAGE_0034,Bashkir,yo
LANGUAGE_0035,Marshallese,ru
LANGUAGE_0036,Chinese,am
LANGUAGE_0037,Bashkir,kk
LANGUAGE_0038,Tswana,cy
LANGUAGE_0039,Indonesian,
LANGUAGE_0040,Inupiaq,mhr
LANGUAGE_0041,"Sotho, Southern",vi
LANGUAGE_0042,Sundanese,
LANGUAGE_0043,Sango,nr
LANGUAGE_0044,Venda,
LANGUAGE_0045,Romansh,
LANGUAGE_0046,Catalan,hak
LANGUAGE_0047,Uzbek,gv
LANGUAGE_0048,Kurdish,bs
LANGUAGE_0049,Hausa,bem
LANGUAGE_0050,Maltese,fi
LANGUAGE_0051,Finnish,szl
LANGUAGE_0052,Czech,ts
LANGUAGE_0053,Bambara,zu
LANGUAGE_0054,Vietnamese,dv
LANGUAGE_0055,Ewe,iu
LANGUAGE_0056,Rundi,si
LANGUAGE_0057,Hausa,uk
LANGUAGE_0058,Latin,tcy
LANGUAGE_0059,Armenian,sw
LANGUAGE_0060,Maori,hi
LANGUAGE_0061,Lao,sc
LANGUAGE_0062,Tagalog,lij
LANGUAGE_0063,Georgian,
LANGUAGE_0064,Lithuanian,kw
LANGUAGE_0065,Kikuyu,mai
LANGUAGE_0066,Turkmen,tn
LANGUAGE_0067,English,nso
LANGUAGE_0068,Spanish,szl
LANGUAGE_0069,Malay,se
LANGUAGE_0070,Samoan,nn
LANGUAGE_0071,Walloon,mhr
LANGUAGE_0072,Tigrinya,as
LANGUAGE_0073,Manx,
LANGUAGE_0074,Aymara,
LANGUAGE_0075,Ido,bg
LANGUAGE_0076,Kongo,
LANGUAGE_0077,Croatian,
LANGUAGE_0078,Armenian,ak
LANGUAGE_0079,Limburgan,os
LANGUAGE_0080,French,mg
LANGUAGE_0081,Church Slavic,
LANGUAGE_0082,Somali,hy
LANGUAGE_0083,Gujarati,da
LANGUAGE_0084,Spanish,ak
LANGUAGE_0085,Breton,ayc
LANGUAGE_0086,Fulah,
LANGUAGE_0087,Zhuang,
LANGUAGE_0088,Church Slavic,ga
LANGUAGE_0089,Tahitian,id
LANGUAGE_0090,Bihari languages,
LANGUAGE_0091,Chinese,km
LANGUAGE_0092,Breton,ks
LANGUAGE_0093,Croatian,eo
LANGUAGE_0094,Swahili,an
LANGUAGE_0095,Ndonga,cs
LANGUAGE_0096,Swedish,sc
LANGUAGE_0097,Italian,gd
LANGUAGE_0098,Guarani,mr
LANGUAGE_0099,Assamese,
