CITY,COUNTRY
CITY_0000,COUNTRY_038
CITY_0001,COUNTRY_043
CITY_0002,COUNTRY_020
CITY_0003,COUNTRY_009
CITY_0004,COUNTRY_019
CITY_0005,COUNTRY_039
CITY_0006,COUNTRY_039
CITY_0007,COUNTRY_006
CITY_0008,COUNTRY_048
CITY_0009,COUNTRY_004
CITY_0010,COUNTRY_042
CITY_0011,COUNTRY_048
CITY_0012,COUNTRY_033
CITY_0013,COUNTRY_049
CITY_0014,COUNTRY_031
CITY_0015,COUNTRY_029
CITY_0016,COUNTRY_012
CITY_0017,COUNTRY_018
CITY_0018,COUNTRY_042
CITY_0019,COUNTRY_031
CITY_0020,COUNTRY_031
CITY_0021,COUNTRY_032
CITY_0022,COUNTRY_016
CITY_0023,COUNTRY_034
CITY_0024,COUNTRY_021
CITY_0025,COUNTRY_034
CITY_0026,COUNTRY_034
CITY_0027,COUNTRY_001
CITY_0028,COUNTRY_048
CITY_0029,COUNTRY_002
CITY_0030,COUNTRY_027
CITY_0031,COUNTRY_007
CITY_0032,COUNTRY_024
CITY_0033,COUNTRY_028
CITY_0034,COUNTRY_020
CITY_0035,COUNTRY_024
CITY_0036,COUNTRY_028
CITY_0037,COUNTRY_029
CITY_0038,COUNTRY_002
CITY_0039,COUNTRY_002
CITY_0040,COUNTRY_011
CITY_0041,COUNTRY_035
CITY_0042,COUNTRY_042
CITY_0043,COUNTRY_049
CITY_0044,COUNTRY_019
CITY_0045,COUNTRY_045
CITY_0046,COUNTRY_010
CITY_0047,COUNTRY_031
CITY_0048,COUNTRY_027
CITY_0049,COUNTRY_008
CITY_0050,COUNTRY_019
CITY_0051,COUNTRY_045
CITY_0052,COUNTRY_024
CITY_0053,COUNTRY_031
CITY_0054,COUNTRY_048
CITY_0055,COUNTRY_007
CITY_0056,COUNTRY_036
CITY_0057,COUNTRY_043
CITY_0058,COUNTRY_031
CITY_0059,COUNTRY_042
CITY_0060,COUNTRY_035
CITY_0061,COUNTRY_043
CITY_0062,COUNTRY_034
CITY_0063,COUNTRY_036
CITY_0064,COUNTRY_030
