DISTRICT,PROVINCE
DISTRICT_0000,PROVINCE_0034
DISTRICT_0001,PROVINCE_0066
DISTRICT_0002,PROVINCE_0044
DISTRICT_0003,PROVINCE_0083
DISTRICT_0004,PROVINCE_0072
DISTRICT_0005,PROVINCE_0050
DISTRICT_0006,PROVINCE_0021
DISTRICT_0007,PROVINCE_0106
DISTRICT_0008,PROVINCE_0094
DISTRICT_0009,PROVINCE_0046
DISTRICT_0010,PROVINCE_0100
DISTRICT_0011,PROVINCE_0096
DISTRICT_0012,PROVINCE_0146
DISTRICT_0013,PROVINCE_0057
DISTRICT_0014,PROVINCE_0005
DISTRICT_0015,PROVINCE_0005
DISTRICT_0016,PROVINCE_0142
DISTRICT_0017,PROVINCE_0058
DISTRICT_0018,PROVINCE_0022
DISTRICT_0019,PROVINCE_0118
DISTRICT_0020,PROVINCE_0050
DISTRICT_0021,PROVINCE_0067
DISTRICT_0022,PROVINCE_0043
DISTRICT_0023,PROVINCE_0012
DISTRICT_0024,PROVINCE_0102
DISTRICT_0025,PROVINCE_0109
DISTRICT_0026,PROVINCE_0066
DISTRICT_0027,PROVINCE_0038
DISTRICT_0028,PROVINCE_0022
DISTRICT_0029,PROVINCE_0094
DISTRICT_0030,PROVINCE_0043
DISTRICT_0031,PROVINCE_0145
DISTRICT_0032,PROVINCE_0030
DISTRICT_0033,PROVINCE_0003
DISTRICT_0034,PROVINCE_0134
DISTRICT_0035,PROVINCE_0111
DISTRICT_0036,PROVINCE_0116
DISTRICT_0037,PROVINCE_0126
DISTRICT_0038,PROVINCE_0030
DISTRICT_0039,PROVINCE_0057
DISTRICT_0040,PROVINCE_0052
DISTRICT_0041,PROVINCE_0048
DISTRICT_0042,PROVINCE_0068
DISTRICT_0043,PROVINCE_0073
DISTRICT_0044,PROVINCE_0126
DISTRICT_0045,PROVINCE_0097
DISTRICT_0046,PROVINCE_0033
DISTRICT_0047,PROVINCE_0110
DISTRICT_0048,PROVINCE_0052
DISTRICT_0049,PROVINCE_0055
DISTRICT_0050,PROVINCE_0072
DISTRICT_0051,PROVINCE_0048
DISTRICT_0052,PROVINCE_0107
DISTRICT_0053,PROVINCE_0046
DISTRICT_0054,PROVINCE_0104
DISTRICT_0055,PROVINCE_0037
DISTRICT_0056,PROVINCE_0007
DISTRICT_0057,PROVINCE_0074
DISTRICT_0058,PROVINCE_0067
DISTRICT_0059,PROVINCE_0060
DISTRICT_0060,PROVINCE_0115
DISTRICT_0061,PROVINCE_0063
DISTRICT_0062,PROVINCE_0094
DISTRICT_0063,PROVINCE_0149
DISTRICT_0064,PROVINCE_0117
DISTRICT_0065,PROVINCE_0021
DISTRICT_0066,PROVINCE_0002
DISTRICT_0067,PROVINCE_0120
DISTRICT_0068,PROVINCE_0034
DISTRICT_0069,PROVINCE_0082
DISTRICT_0070,PROVINCE_0101
DISTRICT_0071,PROVINCE_0054
DISTRICT_0072,PROVINCE_0098
DISTRICT_0073,PROVINCE_0108
DISTRICT_0074,PROVINCE_0065
DISTRICT_0075,PROVINCE_0018
DISTRICT_0076,PROVINCE_0024
DISTRICT_0077,PROVINCE_0142
DISTRICT_0078,PROVINCE_0015
DISTRICT_0079,PROVINCE_0013
DISTRICT_0080,PROVINCE_0085
DISTRICT_0081,PROVINCE_0060
DISTRICT_0082,PROVINCE_0120
DISTRICT_0083,PROVINCE_0090
DISTRICT_0084,PROVINCE_0011
DISTRICT_0085,PROVINCE_0001
DISTRICT_0086,PROVINCE_0064
DISTRICT_0087,PROVINCE_0129
DISTRICT_0088,PROVINCE_0097
DISTRICT_0089,PROVINCE_0077
DISTRICT_0090,PROVINCE_0101
DISTRICT_0091,PROVINCE_0094
DISTRICT_0092,PROVINCE_0033
DISTRICT_0093,PROVINCE_0143
DISTRICT_0094,PROVINCE_0010
DISTRICT_0095,PROVINCE_0148
DISTRICT_0096,PROVINCE_0045
DISTRICT_0097,PROVINCE_0066
DISTRICT_0098,PROVINCE_0043
DISTRICT_0099,PROVINCE_0128
