MUNICIPALITY,DISTRICT
MUNICIPALITY_0000,DISTRICT_0335
MUNICIPALITY_0001,DISTRICT_0528
MUNICIPALITY_0002,DISTRICT_0596
MUNICIPALITY_0003,DISTRICT_0197
MUNICIPALITY_0004,DISTRICT_0369
MUNICIPALITY_0005,DISTRICT_0465
MUNICIPALITY_0006,DISTRICT_0100
MUNICIPALITY_0007,DISTRICT_0150
MUNICIPALITY_0008,DISTRICT_0435
MUNICIPALITY_0009,DISTRICT_0421
MUNICIPALITY_0010,DISTRICT_0083
MUNICIPALITY_0011,DISTRICT_0094
MUNICIPALITY_0012,DISTRICT_0063
MUNICIPALITY_0013,DISTRICT_0435
MUNICIPALITY_0014,DISTRICT_0133
MUNICIPALITY_0015,DISTRICT_0487
MUNICIPALITY_0016,DISTRICT_0219
MUNICIPALITY_0017,DISTRICT_0456
MUNICIPALITY_0018,DISTRICT_0079
MUNICIPALITY_0019,DISTRICT_0378
MUNICIPALITY_0020,DISTRICT_0538
MUNICIPALITY_0021,DISTRICT_0412
MUNICIPALITY_0022,DISTRICT_0572
MUNICIPALITY_0023,DISTRICT_0531
MUNICIPALITY_0024,DISTRICT_0404
MUNICIPALITY_0025,DISTRICT_0270
MUNICIPALITY_0026,DISTRICT_0598
MUNICIPALITY_0027,DISTRICT_0510
MUNICIPALITY_0028,DISTRICT_0433
MUNICIPALITY_0029,DISTRICT_0450
MUNICIPALITY_0030,DISTRICT_0501
MUNICIPALITY_0031,DISTRICT_0426
MUNICIPALITY_0032,DISTRICT_0166
MUNICIPALITY_0033,DISTRICT_0147
MUNICIPALITY_0034,DISTRICT_0517
MUNICIPALITY_0035,DISTRICT_0130
MUNICIPALITY_0036,DISTRICT_0496
MUNICIPALITY_0037,DISTRICT_0468
MUNICIPALITY_0038,DISTRICT_0132
MUNICIPALITY_0039,DISTRICT_0525
MUNICIPALITY_0040,DISTRICT_0541
MUNICIPALITY_0041,DISTRICT_0120
MUNICIPALITY_0042,DISTRICT_0217
MUNICIPALITY_0043,DISTRICT_0466
MUNICIPALITY_0044,DISTRICT_0484
MUNICIPALITY_0045,DISTRICT_0033
MUNICIPALITY_0046,DISTRICT_0160
MUNICIPALITY_0047,DISTRICT_0572
MUNICIPALITY_0048,DISTRICT_0378
MUNICIPALITY_0049,DISTRICT_0121
MUNICIPALITY_0050,DISTRICT_0418
MUNICIPALITY_0051,DISTRICT_0112
MUNICIPALITY_0052,DISTRICT_0123
