PROVINCE,COUNTRY
PROVINCE_0000,COUNTRY_007
PROVINCE_0001,COUNTRY_033
PROVINCE_0002,COUNTRY_042
PROVINCE_0003,COUNTRY_037
PROVINCE_0004,COUNTRY_049
PROVINCE_0005,COUNTRY_033
PROVINCE_0006,COUNTRY_016
PROVINCE_0007,COUNTRY_031
PROVINCE_0008,COUNTRY_005
PROVINCE_0009,COUNTRY_015
PROVINCE_0010,COUNTRY_038
PROVINCE_0011,COUNTRY_007
PROVINCE_0012,COUNTRY_049
PROVINCE_0013,COUNTRY_020
PROVINCE_0014,COUNTRY_021
PROVINCE_0015,COUNTRY_037
PROVINCE_0016,COUNTRY_047
PROVINCE_0017,COUNTRY_024
PROVINCE_0018,COUNTRY_047
PROVINCE_0019,COUNTRY_047
PROVINCE_0020,COUNTRY_015
PROVINCE_0021,COUNTRY_027
PROVINCE_0022,COUNTRY_013
PROVINCE_0023,COUNTRY_009
PROVINCE_0024,COUNTRY_006
PROVINCE_0025,COUNTRY_011
PROVINCE_0026,COUNTRY_013
PROVINCE_0027,COUNTRY_017
PROVINCE_0028,COUNTRY_028
PROVINCE_0029,COUNTRY_026
PROVINCE_0030,COUNTRY_016
PROVINCE_0031,COUNTRY_037
PROVINCE_0032,COUNTRY_003
PROVINCE_0033,COUNTRY_031
PROVINCE_0034,COUNTRY_034
PROVINCE_0035,COUNTRY_023
PROVINCE_0036,COUNTRY_044
PROVINCE_0037,COUNTRY_007
PROVINCE_0038,COUNTRY_020
PROVINCE_0039,COUNTRY_034
PROVINCE_0040,COUNTRY_027
PROVINCE_0041,COUNTRY_030
PROVINCE_0042,COUNTRY_043
PROVINCE_0043,COUNTRY_015
PROVINCE_0044,COUNTRY_017
PROVINCE_0045,COUNTRY_009
PROVINCE_0046,COUNTRY_023
PROVINCE_0047,COUNTRY_030
PROVINCE_0048,COUNTRY_045
PROVINCE_0049,COUNTRY_023
PROVINCE_0050,COUNTRY_019
PROVINCE_0051,COUNTRY_001
PROVINCE_0052,COUNTRY_041
PROVINCE_0053,COUNTRY_038
PROVINCE_0054,COUNTRY_002
PROVINCE_0055,COUNTRY_047
PROVINCE_0056,COUNTRY_042
PROVINCE_0057,COUNTRY_003
PROVINCE_0058,COUNTRY_044
PROVINCE_0059,COUNTRY_042
PROVINCE_0060,COUNTRY_015
PROVINCE_0061,COUNTRY_016
PROVINCE_0062,COUNTRY_035
PROVINCE_0063,COUNTRY_024
PROVINCE_0064,COUNTRY_019
PROVINCE_0065,COUNTRY_040
PROVINCE_0066,COUNTRY_044
PROVINCE_0067,COUNTRY_023
PROVINCE_0068,COUNTRY_043
PROVINCE_0069,COUNTRY_007
PROVINCE_0070,COUNTRY_034
PROVINCE_0071,COUNTRY_015
PROVINCE_0072,COUNTRY_028
PROVINCE_0073,COUNTRY_024
PROVINCE_0074,COUNTRY_000
PROVINCE_0075,COUNTRY_025
PROVINCE_0076,COUNTRY_016
PROVINCE_0077,COUNTRY_019
PROVINCE_0078,COUNTRY_005
PROVINCE_0079,COUNTRY_048
PROVINCE_0080,COUNTRY_015
PROVINCE_0081,COUNTRY_019
PROVINCE_0082,COUNTRY_013
PROVINCE_0083,COUNTRY_010
PROVINCE_0084,COUNTRY_028
PROVINCE_0085,COUNTRY_040
PROVINCE_0086,COUNTRY_020
