RIVER,destination
RIVER_0000,SEA_016
RIVER_0001,SEA_022
RIVER_0002,SEA_015
RIVER_0003,SEA_002
RIVER_0004,SEA_016
RIVER_0005,SEA_024
RIVER_0006,SEA_016
RIVER_0007,SEA_016
RIVER_0008,SEA_004
RIVER_0009,SEA_004
RIVER_0010,SEA_006
RIVER_0011,SEA_014
RIVER_0012,SEA_016
RIVER_0013,SEA_020
RIVER_0014,SEA_017
RIVER_0015,SEA_020
RIVER_0016,SEA_015
RIVER_0017,SEA_001
RIVER_0018,SEA_010
RIVER_0019,SEA_021
RIVER_0020,SEA_017
RIVER_0021,SEA_009
RIVER_0022,SEA_002
RIVER_0023,SEA_012
RIVER_0024,SEA_016
RIVER_0025,SEA_001
RIVER_0026,SEA_012
RIVER_0027,SEA_022
RIVER_0028,SEA_002
RIVER_0029,SEA_023
RIVER_0030,SEA_006
RIVER_0031,SEA_022
RIVER_0032,SEA_023
RIVER_0033,SEA_008
RIVER_0034,SEA_018
RIVER_0035,SEA_020
RIVER_0036,SEA_011
RIVER_0037,SEA_012
RIVER_0038,SEA_009
RIVER_0039,SEA_014
RIVER_0040,SEA_023
RIVER_0041,SEA_018
RIVER_0042,SEA_019
RIVER_0043,SEA_017
RIVER_0044,SEA_008
RIVER_0045,SEA_012
RIVER_0046,SEA_000
RIVER_0047,SEA_024
RIVER_0048,SEA_021
RIVER_0049,SEA_010
RIVER_0050,SEA_016
RIVER_0051,SEA_013
RIVER_0052,SEA_021
RIVER_0053,SEA_014
RIVER_0054,SEA_019
RIVER_0055,SEA_008
RIVER_0056,SEA_018
RIVER_0057,SEA_024
RIVER_0058,SEA_012
RIVER_0059,SEA_006
RIVER_0060,SEA_021
RIVER_0061,SEA_017
RIVER_0062,SEA_007
RIVER_0063,SEA_000
RIVER_0064,SEA_019
RIVER_0065,SEA_014
RIVER_0066,SEA_004
RIVER_0067,SEA_006
RIVER_0068,SEA_012
RIVER_0069,SEA_003
RIVER_0070,SEA_001
RIVER_0071,SEA_017
RIVER_0072,SEA_001
RIVER_0073,SEA_018
RIVER_0074,SEA_004
RIVER_0075,OCEAN_03
RIVER_0076,OCEAN_00
RIVER_0077,OCEAN_03
RIVER_0078,OCEAN_03
RIVER_0079,OCEAN_01
RIVER_0080,OCEAN_00
RIVER_0081,OCEAN_00
RIVER_0082,OCEAN_03
RIVER_0083,OCEAN_02
RIVER_0084,OCEAN_02
RIVER_0085,OCEAN_02
RIVER_0086,OCEAN_03
RIVER_0087,OCEAN_04
RIVER_0088,OCEAN_03
RIVER_0089,OCEAN_02
RIVER_0090,OCEAN_02
RIVER_0091,OCEAN_03
RIVER_0092,OCEAN_04
RIVER_0093,OCEAN_03
RIVER_0094,OCEAN_02
RIVER_0095,OCEAN_02
RIVER_0096,OCEAN_02
RIVER_0097,OCEAN_03
RIVER_0098,OCEAN_02
RIVER_0099,OCEAN_00
RIVER_0100,OCEAN_01
RIVER_0101,OCEAN_02
RIVER_0102,OCEAN_03
RIVER_0103,OCEAN_03
RIVER_0104,OCEAN_02
RIVER_0105,OCEAN_00
RIVER_0106,OCEAN_00
RIVER_0107,OCEAN_00
RIVER_0108,OCEAN_03
RIVER_0109,OCEAN_04
RIVER_0110,OCEAN_03
RIVER_0111,OCEAN_02
RIVER_0112,OCEAN_04
RIVER_0113,OCEAN_03
RIVER_0114,OCEAN_04
RIVER_0115,OCEAN_01
RIVER_0116,OCEAN_02
RIVER_0117,OCEAN_00
RIVER_0118,OCEAN_02
RIVER_0119,OCEAN_00
RIVER_0120,LAKE_0053
RIVER_0121,LAKE_0048
RIVER_0122,LAKE_0045
RIVER_0123,LAKE_0032
RIVER_0124,LAKE_0041
RIVER_0125,LAKE_0013
RIVER_0126,LAKE_0019
RIVER_0127,LAKE_0022
RIVER_0128,LAKE_0032
RIVER_0129,LAKE_0038
RIVER_0130,LAKE_0033
RIVER_0131,LAKE_0008
RIVER_0132,LAKE_0098
RIVER_0133,LAKE_0065
RIVER_0134,LAKE_0075
RIVER_0135,LAKE_0078
RIVER_0136,LAKE_0060
RIVER_0137,LAKE_0037
RIVER_0138,LAKE_0000
RIVER_0139,LAKE_0018
RIVER_0140,LAKE_0025
RIVER_0141,LAKE_0025
RIVER_0142,LAKE_0067
RIVER_0143,LAKE_0052
RIVER_0144,LAKE_0068
RIVER_0145,LAKE_0054
RIVER_0146,LAKE_0002
RIVER_0147,LAKE_0065
RIVER_0148,LAKE_0099
RIVER_0149,LAKE_0029
