CITY,TIME_ZONE
CITY_0000,TIME_ZONE_014
CITY_0001,TIME_ZONE_032
CITY_0002,TIME_ZONE_006
CITY_0003,TIME_ZONE_035
CITY_0004,TIME_ZONE_045
CITY_0005,TIME_ZONE_025
CITY_0006,TIME_ZONE_023
CITY_0007,TIME_ZONE_023
CITY_0008,TIME_ZONE_001
CITY_0009,TIME_ZONE_041
CITY_0010,TIME_ZONE_031
CITY_0011,TIME_ZONE_033
CITY_0012,TIME_ZONE_016
CITY_0013,TIME_ZONE_024
CITY_0014,TIME_ZONE_035
CITY_0015,TIME_ZONE_020
CITY_0016,TIME_ZONE_001
CITY_0017,TIME_ZONE_039
CITY_0018,TIME_ZONE_020
CITY_0019,TIME_ZONE_048
CITY_0020,TIME_ZONE_031
CITY_0021,TIME_ZONE_049
CITY_0022,TIME_ZONE_043
CITY_0023,TIME_ZONE_018
CITY_0024,TIME_ZONE_016
CITY_0025,TIME_ZONE_014
CITY_0026,TIME_ZONE_000
CITY_0027,TIME_ZONE_012
CITY_0028,TIME_ZONE_019
CITY_0029,TIME_ZONE_040
CITY_0030,TIME_ZONE_039
CITY_0031,TIME_ZONE_007
CITY_0032,TIME_ZONE_043
CITY_0033,TIME_ZONE_032
CITY_0034,TIME_ZONE_036
CITY_0035,TIME_ZONE_004
CITY_0036,TIME_ZONE_007
CITY_0037,TIME_ZONE_030
CITY_0038,TIME_ZONE_038
CITY_0039,TIME_ZONE_030
CITY_0040,TIME_ZONE_010
CITY_0041,TIME_ZONE_003
CITY_0042,TIME_ZONE_012
CITY_0043,TIME_ZONE_033
CITY_0044,TIME_ZONE_045
CITY_0045,TIME_ZONE_021
CITY_0046,TIME_ZONE_037
CITY_0047,TIME_ZONE_015
CITY_0048,TIME_ZONE_017
CITY_0049,TIME_ZONE_002
CITY_0050,TIME_ZONE_005
CITY_0051,TIME_ZONE_023
CITY_0052,TIME_ZONE_013
CITY_0053,TIME_ZONE_025
CITY_0054,TIME_ZONE_019
CITY_0055,TIME_ZONE_005
CITY_0056,TIME_ZONE_020
CITY_0057,TIME_ZONE_018
CITY_0058,TIME_ZONE_029
CITY_0059,TIME_ZONE_006
CITY_0060,TIME_ZONE_020
CITY_0061,TIME_ZONE_020
CITY_0062,TIME_ZONE_012
CITY_0063,TIME_ZONE_006
CITY_0064,TIME_ZONE_013
CITY_0065,TIME_ZONE_046
CITY_0066,TIME_ZONE_011
CITY_0067,TIME_ZONE_023
CITY_0068,TIME_ZONE_039
CITY_0069,TIME_ZONE_013
CITY_0070,TIME_ZONE_026
CITY_0071,TIME_ZONE_030
CITY_0072,TIME_ZONE_046
CITY_0073,TIME_ZONE_033
CITY_0074,TIME_ZONE_006
CITY_0075,TIME_ZONE_015
CITY_0076,TIME_ZONE_027
CITY_0077,TIME_ZONE_028
CITY_0078,TIME_ZONE_020
CITY_0079,TIME_ZONE_002
CITY_0080,TIME_ZONE_001
CITY_0081,TIME_ZONE_039
CITY_0082,TIME_ZONE_017
CITY_0083,TIME_ZONE_009
CITY_0084,TIME_ZONE_044
CITY_0085,TIME_ZONE_041
CITY_0086,TIME_ZONE_006
CITY_0087,TIME_ZONE_018
CITY_0088,TIME_ZONE_049
CITY_0089,TIME_ZONE_005
CITY_0090,TIME_ZONE_002
CITY_0091,TIME_ZONE_049
CITY_0092,TIME_ZONE_022
CITY_0093,TIME_ZONE_011
CITY_0094,TIME_ZONE_029
CITY_0095,TIME_ZONE_024
CITY_0096,TIME_ZONE_039
CITY_0097,TIME_ZONE_033
CITY_0098,TIME_ZONE_007
CITY_0099,TIME_ZONE_044
CITY_0100,TIME_ZONE_037
CITY_0101,TIME_ZONE_033
CITY_0102,TIME_ZONE_030
CITY_0103,TIME_ZONE_035
CITY_0104,TIME_ZONE_003
CITY_0105,TIME_ZONE_038
CITY_0106,TIME_ZONE_046
CITY_0107,TIME_ZONE_008
CITY_0108,TIME_ZONE_048
CITY_0109,TIME_ZONE_030
CITY_0110,TIME_ZONE_000
CITY_0111,TIME_ZONE_017
CITY_0112,TIME_ZONE_023
CITY_0113,TIME_ZONE_008
CITY_0114,TIME_ZONE_015
CITY_0115,TIME_ZONE_032
CITY_0116,TIME_ZONE_033
CITY_0117,TIME_ZONE_035
CITY_0118,TIME_ZONE_049
CITY_0119,TIME_ZONE_022
CITY_0120,TIME_ZONE_025
CITY_0121,TIME_ZONE_010
CITY_0122,TIME_ZONE_008
CITY_0123,TIME_ZONE_021
CITY_0124,TIME_ZONE_035
CITY_0125,TIME_ZONE_049
CITY_0126,TIME_ZONE_027
CITY_0127,TIME_ZONE_026
CITY_0128,TIME_ZONE_003
CITY_0129,TIME_ZONE_020
CITY_0130,TIME_ZONE_049
CITY_0131,TIME_ZONE_037
CITY_0132,TIME_ZONE_032
CITY_0133,TIME_ZONE_026
CITY_0134,TIME_ZONE_048
CITY_0135,TIME_ZONE_028
CITY_0136,TIME_ZONE_034
CITY_0137,TIME_ZONE_028
CITY_0138,TIME_ZONE_017
CITY_0139,TIME_ZONE_019
CITY_0140,TIME_ZONE_010
CITY_0141,TIME_ZONE_008
CITY_0142,TIME_ZONE_031
CITY_0143,TIME_ZONE_045
CITY_0144,TIME_ZONE_021
CITY_0145,TIME_ZONE_032
CITY_0146,TIME_ZONE_021
CITY_0147,TIME_ZONE_047
CITY_0148,TIME_ZONE_042
CITY_0149,TIME_ZONE_017
CITY_0150,TIME_ZONE_034
CITY_0151,TIME_ZONE_040
CITY_0152,TIME_ZONE_021
CITY_0153,TIME_ZONE_046
CITY_0154,TIME_ZONE_037
CITY_0155,TIME_ZONE_027
CITY_0156,TIME_ZONE_023
CITY_0157,TIME_ZONE_020
CITY_0158,TIME_ZONE_045
CITY_0159,TIME_ZONE_039
CITY_0160,TIME_ZONE_018
CITY_0161,TIME_ZONE_011
CITY_0162,TIME_ZONE_032
CITY_0163,TIME_ZONE_008
CITY_0164,TIME_ZONE_019
CITY_0165,TIME_ZONE_039
CITY_0166,TIME_ZONE_007
CITY_0167,TIME_ZONE_005
