COUNTRY,TIME_ZONE
COUNTRY_000,TIME_ZONE_027
COUNTRY_001,TIME_ZONE_039
COUNTRY_002,TIME_ZONE_038
COUNTRY_003,TIME_ZONE_034
COUNTRY_004,TIME_ZONE_018
COUNTRY_005,TIME_ZONE_034
COUNTRY_006,TIME_ZONE_001
COUNTRY_007,TIME_ZONE_010
COUNTRY_008,TIME_ZONE_008
COUNTRY_009,TIME_ZONE_002
COUNTRY_010,TIME_ZONE_021
COUNTRY_011,TIME_ZONE_002
COUNTRY_012,TIME_ZONE_038
COUNTRY_013,TIME_ZONE_044
COUNTRY_014,TIME_ZONE_046
COUNTRY_015,TIME_ZONE_014
COUNTRY_016,TIME_ZONE_042
COUNTRY_017,TIME_ZONE_034
COUNTRY_018,TIME_ZONE_027
COUNTRY_019,TIME_ZONE_046
COUNTRY_020,TIME_ZONE_038
COUNTRY_021,TIME_ZONE_045
COUNTRY_022,TIME_ZONE_044
COUNTRY_023,TIME_ZONE_016
COUNTRY_024,TIME_ZONE_032
COUNTRY_025,TIME_ZONE_018
COUNTRY_026,TIME_ZONE_041
COUNTRY_027,TIME_ZONE_008
COUNTRY_028,TIME_ZONE_019
COUNTRY_029,TIME_ZONE_038
COUNTRY_030,TIME_ZONE_021
COUNTRY_031,TIME_ZONE_047
COUNTRY_032,TIME_ZONE_039
COUNTRY_033,TIME_ZONE_032
COUNTRY_034,TIME_ZONE_035
COUNTRY_035,TIME_ZONE_040
COUNTRY_036,TIME_ZONE_004
COUNTRY_037,TIME_ZONE_041
COUNTRY_038,TIME_ZONE_005
COUNTRY_039,TIME_ZONE_018
COUNTRY_040,TIME_ZONE_022
COUNTRY_041,TIME_ZONE_028
COUNTRY_042,TIME_ZONE_040
COUNTRY_043,TIME_ZONE_034
COUNTRY_044,TIME_ZONE_032
COUNTRY_045,TIME_ZONE_029
COUNTRY_046,TIME_ZONE_048
COUNTRY_047,TIME_ZONE_002
COUNTRY_048,TIME_ZONE_044
COUNTRY_049,TIME_ZONE_041
