PROVINCE,TIME_ZONE
PROVINCE_0000,TIME_ZONE_028
PROVINCE_0001,TIME_ZONE_005
PROVINCE_0002,TIME_ZONE_022
PROVINCE_0003,TIME_ZONE_011
PROVINCE_0004,TIME_ZONE_015
PROVINCE_0005,TIME_ZONE_034
PROVINCE_0006,TIME_ZONE_025
PROVINCE_0007,TIME_ZONE_028
PROVINCE_0008,TIME_ZONE_024
PROVINCE_0009,TIME_ZONE_030
PROVINCE_0010,TIME_ZONE_012
PROVINCE_0011,TIME_ZONE_034
PROVINCE_0012,TIME_ZONE_049
PROVINCE_0013,TIME_ZONE_042
PROVINCE_0014,TIME_ZONE_011
PROVINCE_0015,TIME_ZONE_001
PROVINCE_0016,TIME_ZONE_039
PROVINCE_0017,TIME_ZONE_028
PROVINCE_0018,TIME_ZONE_017
PROVINCE_0019,TIME_ZONE_024
PROVINCE_0020,TIME_ZONE_049
PROVINCE_0021,TIME_ZONE_004
PROVINCE_0022,TIME_ZONE_039
PROVINCE_0023,TIME_ZONE_004
PROVINCE_0024,TIME_ZONE_046
PROVINCE_0025,TIME_ZONE_040
PROVINCE_0026,TIME_ZONE_042
PROVINCE_0027,TIME_ZONE_029
PROVINCE_0028,TIME_ZONE_031
PROVINCE_0029,TIME_ZONE_039
PROVINCE_0030,TIME_ZONE_034
PROVINCE_0031,TIME_ZONE_031
PROVINCE_0032,TIME_ZONE_024
PROVINCE_0033,TIME_ZONE_034
PROVINCE_0034,TIME_ZONE_009
PROVINCE_0035,TIME_ZONE_039
PROVINCE_0036,TIME_ZONE_036
PROVINCE_0037,TIME_ZONE_027
PROVINCE_0038,TIME_ZONE_032
PROVINCE_0039,TIME_ZONE_031
PROVINCE_0040,TIME_ZONE_045
PROVINCE_0041,TIME_ZONE_009
PROVINCE_0042,TIME_ZONE_008
PROVINCE_0043,TIME_ZONE_020
PROVINCE_0044,TIME_ZONE_033
PROVINCE_0045,TIME_ZONE_036
PROVINCE_0046,TIME_ZONE_012
PROVINCE_0047,TIME_ZONE_031
PROVINCE_0048,TIME_ZONE_047
PROVINCE_0049,TIME_ZONE_002
PROVINCE_0050,TIME_ZONE_041
PROVINCE_0051,TIME_ZONE_034
PROVINCE_0052,TIME_ZONE_020
PROVINCE_0053,TIME_ZONE_043
PROVINCE_0054,TIME_ZONE_033
PROVINCE_0055,TIME_ZONE_000
PROVINCE_0056,TIME_ZONE_025
PROVINCE_0057,TIME_ZONE_041
PROVINCE_0058,TIME_ZONE_011
PROVINCE_0059,TIME_ZONE_043
PROVINCE_0060,TIME_ZONE_040
PROVINCE_0061,TIME_ZONE_015
PROVINCE_0062,TIME_ZONE_023
PROVINCE_0063,TIME_ZONE_003
PROVINCE_0064,TIME_ZONE_044
PROVINCE_0065,TIME_ZONE_017
PROVINCE_0066,TIME_ZONE_001
PROVINCE_0067,TIME_ZONE_042
PROVINCE_0068,TIME_ZONE_023
PROVINCE_0069,TIME_ZONE_048
PROVINCE_0070,TIME_ZONE_024
