province_id,name,population,area
PROVINCE_0000,New York,825758,14930.55
PROVINCE_0001,West Virginia,345355,8942.22
PROVINCE_0002,Nevada,59127,6521.94
PROVINCE_0003,North Carolina,439408,6860.94
PROVINCE_0004,Iowa,894855,6539.4
PROVINCE_0005,Texas,,
PROVINCE_0006,South Carolina,1000729,15567.06
PROVINCE_0007,Maine,1339212,319.12
PROVINCE_0008,Arkansas,877824,16672.08
PROVINCE_0009,Arizona,484075,10038.77
PROVINCE_0010,Wisconsin,1522884,7938.03
PROVINCE_0011,Louisiana,2232688,5285.01
PROVINCE_0012,Louisiana,261304,27903.96
PROVINCE_0013,New York,8669358,22977.69
PROVINCE_0014,Oregon,1047562,3462.81
PROVINCE_0015,Massachusetts,1234762,12679.7
PROVINCE_0016,Missouri,3241349,2782.7
PROVINCE_0017,Connecticut,1666944,1776.53
PROVINCE_0018,Florida,4567110,4066.8
PROVINCE_0019,Wisconsin,,
PROVINCE_0020,Wyoming,510215,23119.64
PROVINCE_0021,Kentucky,1994900,14248.32
PROVINCE_0022,Nevada,242506,17990.61
PROVINCE_0023,Maine,1400001,14296.87
PROVINCE_0024,Maine,1147938,4001.28
PROVINCE_0025,Nebraska,898638,13031.37
PROVINCE_0026,Minnesota,1004547,19544.53
PROVINCE_0027,North Carolina,86285,18577.76
PROVINCE_0028,Minnesota,557816,29965.58
PROVINCE_0029,Idaho,1369536,17661.36
PROVINCE_0030,South Carolina,1504240,11927.39
PROVINCE_0031,Nebraska,,
PROVINCE_0032,Mississippi,7074384,7870.1
PROVINCE_0033,Indiana,357666,3071.55
PROVINCE_0034,Wyoming,4672664,6772.51
PROVINCE_0035,New Hampshire,2187067,3571.02
PROVINCE_0036,Iowa,486640,3855.68
PROVINCE_0037,South Dakota,14438881,6912.1
PROVINCE_0038,Wisconsin,226139,3389.16
PROVINCE_0039,Nevada,4354915,5774.7
PROVINCE_0040,Alabama,4880778,1009.31
PROVINCE_0041,Iowa,,
PROVINCE_0042,West Virginia,8448094,8113.84
PROVINCE_0043,Alaska,847405,3298.43
PROVINCE_0044,North Dakota,1801573,16733.54
PROVINCE_0045,Arizona,,
PROVINCE_0046,Texas,996463,1382.55
PROVINCE_0047,Georgia,3742002,3501.7
PROVINCE_0048,Oregon,3652360,3477.06
PROVINCE_0049,New Hampshire,,2881.62
PROVINCE_0050,Alabama,7467541,20179.5
PROVINCE_0051,New York,117302,6547.19
PROVINCE_0052,Oklahoma,5104150,6057.39
PROVINCE_0053,Florida,5823355,894.04
PROVINCE_0054,Missouri,261096,16300.64
PROVINCE_0055,Hawaii,676616,2073.13
PROVINCE_0056,Alaska,255764,8655.29
PROVINCE_0057,South Dakota,890119,10994.11
PROVINCE_0058,Iowa,781329,36196.74
PROVINCE_0059,North Dakota,3582332,
PROVINCE_0060,Ohio,7530200,292.52
PROVINCE_0061,Hawaii,8486246,9919.27
PROVINCE_0062,Georgia,547416,58721.56
PROVINCE_0063,Florida,897249,31661.0
PROVINCE_0064,South Dakota,113912,10204.92
PROVINCE_0065,West Virginia,389174,4718.28
PROVINCE_0066,New Mexico,4642633,19689.38
PROVINCE_0067,Texas,11545611,2776.92
PROVINCE_0068,Rhode Island,213610,13684.15
PROVINCE_0069,Oklahoma,524683,14129.46
PROVINCE_0070,Alabama,1158958,26009.86
PROVINCE_0071,Montana,1780181,168657.62
PROVINCE_0072,Washington,387145,12477.19
PROVINCE_0073,California,2177494,4629.2
PROVINCE_0074,Mississippi,619473,7878.31
PROVINCE_0075,Kansas,1178516,1157.5
PROVINCE_0076,South Carolina,2583867,3773.72
