COUNTRY,REGION
COUNTRY_000,REGION_026
COUNTRY_001,REGION_021
COUNTRY_002,REGION_013
COUNTRY_003,REGION_004
COUNTRY_004,REGION_022
COUNTRY_005,REGION_002
COUNTRY_006,REGION_026
COUNTRY_007,REGION_028
COUNTRY_008,REGION_005
COUNTRY_009,REGION_015
COUNTRY_010,REGION_012
COUNTRY_011,REGION_000
COUNTRY_012,REGION_005
COUNTRY_013,REGION_011
COUNTRY_014,REGION_001
COUNTRY_015,REGION_017
COUNTRY_016,REGION_005
COUNTRY_017,REGION_021
COUNTRY_018,REGION_026
COUNTRY_019,REGION_028
COUNTRY_020,REGION_013
COUNTRY_021,REGION_003
COUNTRY_022,REGION_002
COUNTRY_023,REGION_024
COUNTRY_024,REGION_005
COUNTRY_025,REGION_006
COUNTRY_026,REGION_002
COUNTRY_027,REGION_004
COUNTRY_028,REGION_013
COUNTRY_029,REGION_003
COUNTRY_030,REGION_013
COUNTRY_031,REGION_007
COUNTRY_032,REGION_022
COUNTRY_033,REGION_026
COUNTRY_034,REGION_005
COUNTRY_035,REGION_008
COUNTRY_036,REGION_022
COUNTRY_037,REGION_016
COUNTRY_038,REGION_022
COUNTRY_039,REGION_017
COUNTRY_040,REGION_028
COUNTRY_041,REGION_021
COUNTRY_042,REGION_016
COUNTRY_043,REGION_028
COUNTRY_044,REGION_029
COUNTRY_045,REGION_018
COUNTRY_046,REGION_028
COUNTRY_047,REGION_029
COUNTRY_048,REGION_018
COUNTRY_049,REGION_010
