ISLAND,COUNTRY
ISLAND_0000,COUNTRY_005
ISLAND_0001,COUNTRY_016
ISLAND_0002,COUNTRY_016
ISLAND_0003,COUNTRY_021
ISLAND_0004,COUNTRY_035
ISLAND_0005,COUNTRY_008
ISLAND_0006,COUNTRY_011
ISLAND_0007,COUNTRY_002
ISLAND_0008,COUNTRY_027
ISLAND_0009,COUNTRY_031
ISLAND_0010,COUNTRY_013
ISLAND_0011,COUNTRY_008
ISLAND_0012,COUNTRY_014
ISLAND_0013,COUNTRY_044
ISLAND_0014,COUNTRY_040
ISLAND_0015,COUNTRY_005
ISLAND_0016,COUNTRY_033
ISLAND_0017,COUNTRY_009
ISLAND_0018,COUNTRY_039
ISLAND_0019,COUNTRY_028
ISLAND_0020,COUNTRY_004
ISLAND_0021,COUNTRY_027
ISLAND_0022,COUNTRY_046
ISLAND_0023,COUNTRY_040
ISLAND_0024,COUNTRY_034
ISLAND_0025,COUNTRY_005
ISLAND_0026,COUNTRY_047
ISLAND_0027,COUNTRY_048
ISLAND_0028,COUNTRY_020
ISLAND_0029,COUNTRY_029
ISLAND_0030,COUNTRY_010
ISLAND_0031,COUNTRY_043
ISLAND_0032,COUNTRY_017
ISLAND_0033,COUNTRY_021
ISLAND_0034,COUNTRY_001
ISLAND_0035,COUNTRY_002
ISLAND_0036,COUNTRY_048
ISLAND_0037,COUNTRY_000
ISLAND_0038,COUNTRY_049
ISLAND_0039,COUNTRY_001
ISLAND_0040,COUNTRY_049
ISLAND_0041,COUNTRY_042
ISLAND_0042,COUNTRY_044
ISLAND_0043,COUNTRY_001
ISLAND_0044,COUNTRY_046
ISLAND_0045,COUNTRY_001
ISLAND_0046,COUNTRY_005
ISLAND_0047,COUNTRY_020
ISLAND_0048,COUNTRY_010
ISLAND_0049,COUNTRY_048
ISLAND_0050,COUNTRY_047
ISLAND_0051,COUNTRY_040
ISLAND_0052,COUNTRY_037
ISLAND_0053,COUNTRY_005
ISLAND_0054,COUNTRY_005
ISLAND_0055,COUNTRY_044
ISLAND_0056,COUNTRY_012
ISLAND_0057,COUNTRY_030
ISLAND_0058,COUNTRY_006
ISLAND_0059,COUNTRY_028
ISLAND_0060,COUNTRY_034
ISLAND_0061,COUNTRY_041
ISLAND_0062,COUNTRY_023
ISLAND_0063,COUNTRY_003
ISLAND_0064,COUNTRY_040
ISLAND_0065,COUNTRY_047
ISLAND_0066,COUNTRY_038
ISLAND_0067,COUNTRY_001
ISLAND_0068,COUNTRY_046
ISLAND_0069,COUNTRY_009
ISLAND_0070,COUNTRY_022
ISLAND_0071,COUNTRY_020
ISLAND_0072,COUNTRY_024
ISLAND_0073,COUNTRY_043
ISLAND_0074,COUNTRY_007
ISLAND_0075,COUNTRY_032
ISLAND_0076,COUNTRY_041
ISLAND_0077,COUNTRY_018
ISLAND_0078,COUNTRY_048
ISLAND_0079,COUNTRY_018
