REGION,CONTINENT
REGION_000,CONTINENT_03
REGION_001,CONTINENT_01
REGION_002,CONTINENT_06
REGION_003,CONTINENT_04
REGION_004,CONTINENT_04
REGION_005,CONTINENT_05
REGION_006,CONTINENT_04
REGION_007,CONTINENT_01
REGION_008,CONTINENT_03
REGION_009,CONTINENT_03
REGION_010,CONTINENT_01
REGION_011,CONTINENT_04
REGION_012,CONTINENT_06
REGION_013,CONTINENT_06
REGION_014,CONTINENT_03
REGION_015,CONTINENT_02
REGION_016,CONTINENT_02
REGION_017,CONTINENT_02
REGION_018,CONTINENT_04
REGION_019,CONTINENT_01
REGION_020,CONTINENT_05
REGION_021,CONTINENT_06
REGION_022,CONTINENT_06
REGION_023,CONTINENT_06
REGION_024,CONTINENT_00
REGION_025,CONTINENT_01
REGION_026,CONTINENT_03
REGION_027,CONTINENT_02
REGION_028,CONTINENT_03
REGION_029,CONTINENT_06
