TERRITORY,COUNTRY
TERRITORY_000,COUNTRY_034
TERRITORY_001,COUNTRY_029
TERRITORY_002,COUNTRY_005
TERRITORY_003,COUNTRY_037
TERRITORY_004,COUNTRY_007
TERRITORY_005,COUNTRY_044
TERRITORY_006,COUNTRY_008
TERRITORY_007,COUNTRY_003
TERRITORY_008,COUNTRY_014
TERRITORY_009,COUNTRY_047
TERRITORY_010,COUNTRY_044
TERRITORY_011,COUNTRY_034
TERRITORY_012,COUNTRY_007
TERRITORY_013,COUNTRY_035
TERRITORY_014,COUNTRY_030
TERRITORY_015,COUNTRY_025
TERRITORY_016,COUNTRY_041
TERRITORY_017,COUNTRY_037
TERRITORY_018,COUNTRY_045
TERRITORY_019,COUNTRY_047
TERRITORY_020,COUNTRY_008
TERRITORY_021,COUNTRY_003
TERRITORY_022,COUNTRY_033
TERRITORY_023,COUNTRY_011
TERRITORY_024,COUNTRY_034
TERRITORY_025,COUNTRY_014
TERRITORY_026,COUNTRY_008
TERRITORY_027,COUNTRY_015
TERRITORY_028,COUNTRY_003
TERRITORY_029,COUNTRY_032
TERRITORY_030,COUNTRY_038
TERRITORY_031,COUNTRY_034
TERRITORY_032,COUNTRY_004
TERRITORY_033,COUNTRY_015
TERRITORY_034,COUNTRY_034
TERRITORY_035,COUNTRY_035
TERRITORY_036,COUNTRY_005
TERRITORY_037,COUNTRY_021
TERRITORY_038,COUNTRY_033
TERRITORY_039,COUNTRY_034
