CITY,RELIGION,percentage
CITY_0000,RELIGION_045,78.64
CITY_0000,RELIGION_028,21.36
CITY_0001,RELIGION_016,16.74
CITY_0001,RELIGION_002,83.26
CITY_0002,RELIGION_015,3.0
CITY_0002,RELIGION_030,85.14
CITY_0002,RELIGION_032,11.86
CITY_0003,RELIGION_044,24.64
CITY_0003,RELIGION_043,75.36
CITY_0004,RELIGION_045,100.0
CITY_0005,RELIGION_042,100.0
CITY_0006,RELIGION_036,100.0
CITY_0007,RELIGION_019,56.49
CITY_0007,RELIGION_037,43.51
CITY_0008,RELIGION_023,70.19
CITY_0008,RELIGION_014,17.08
CITY_0008,RELIGION_001,12.72
CITY_0009,RELIGION_025,100.0
CITY_0010,RELIGION_029,61.51
CITY_0010,RELIGION_024,38.49
CITY_0011,RELIGION_021,100.0
CITY_0012,RELIGION_000,65.06
CITY_0012,RELIGION_013,34.94
CITY_0013,RELIGION_040,100.0
CITY_0014,RELIGION_000,6.93
CITY_0014,RELIGION_004,93.07
CITY_0015,RELIGION_013,31.34
CITY_0015,RELIGION_024,68.66
CITY_0016,RELIGION_016,2.38
CITY_0016,RELIGION_008,97.62
CITY_0017,RELIGION_011,9.0
CITY_0017,RELIGION_018,91.0
CITY_0018,RELIGION_029,100.0
CITY_0019,RELIGION_016,54.9
CITY_0019,RELIGION_011,10.47
CITY_0019,RELIGION_037,34.63
CITY_0020,RELIGION_040,100.0
CITY_0021,RELIGION_042,100.0
CITY_0022,RELIGION_044,90.27
CITY_0022,RELIGION_049,5.82
CITY_0022,RELIGION_009,3.91
CITY_0023,RELIGION_014,100.0
CITY_0024,RELIGION_021,77.63
CITY_0024,RELIGION_006,22.37
CITY_0025,RELIGION_000,100.0
CITY_0026,RELIGION_002,8.38
CITY_0026,RELIGION_036,0.04
CITY_0026,RELIGION_041,91.57
CITY_0027,RELIGION_043,8.36
CITY_0027,RELIGION_002,91.64
CITY_0028,RELIGION_015,91.32
CITY_0028,RELIGION_000,8.68
CITY_0029,RELIGION_048,52.06
CITY_0029,RELIGION_034,3.9
CITY_0029,RELIGION_035,44.04
CITY_0030,RELIGION_032,11.85
CITY_0030,RELIGION_016,88.15
CITY_0031,RELIGION_000,100.0
CITY_0032,RELIGION_007,100.0
CITY_0033,RELIGION_024,100.0
CITY_0034,RELIGION_028,12.19
CITY_0034,RELIGION_014,87.81
CITY_0035,RELIGION_039,100.0
CITY_0036,RELIGION_018,100.0
CITY_0037,RELIGION_021,11.69
CITY_0037,RELIGION_029,79.01
CITY_0037,RELIGION_048,9.3
CITY_0038,RELIGION_035,24.98
CITY_0038,RELIGION_034,12.8
CITY_0038,RELIGION_028,62.22
CITY_0039,RELIGION_036,12.46
CITY_0039,RELIGION_011,87.54
CITY_0040,RELIGION_010,100.0
CITY_0041,RELIGION_047,17.33
CITY_0041,RELIGION_037,75.4
CITY_0041,RELIGION_049,7.27
CITY_0042,RELIGION_019,28.45
CITY_0042,RELIGION_010,71.55
CITY_0043,RELIGION_002,52.36
CITY_0043,RELIGION_014,47.64
CITY_0044,RELIGION_026,100.0
CITY_0045,RELIGION_011,25.63
CITY_0045,RELIGION_000,5.86
CITY_0045,RELIGION_044,68.51
CITY_0046,RELIGION_029,100.0
CITY_0047,RELIGION_022,81.16
CITY_0047,RELIGION_033,18.84
CITY_0048,RELIGION_004,100.0
CITY_0049,RELIGION_029,93.98
CITY_0049,RELIGION_001,6.02
CITY_0050,RELIGION_038,9.66
CITY_0050,RELIGION_008,37.65
CITY_0050,RELIGION_000,52.69
CITY_0051,RELIGION_007,54.57
CITY_0051,RELIGION_005,45.43
CITY_0052,RELIGION_010,1.46
CITY_0052,RELIGION_014,98.54
CITY_0053,RELIGION_048,0.37
CITY_0053,RELIGION_035,80.87
CITY_0053,RELIGION_000,18.76
CITY_0054,RELIGION_012,100.0
CITY_0055,RELIGION_044,99.05
CITY_0055,RELIGION_010,0.95
CITY_0056,RELIGION_041,100.0
CITY_0057,RELIGION_046,49.64
CITY_0057,RELIGION_042,15.44
CITY_0057,RELIGION_010,34.93
CITY_0058,RELIGION_022,100.0
CITY_0059,RELIGION_007,31.98
CITY_0059,RELIGION_033,0.02
CITY_0059,RELIGION_036,68.01
CITY_0060,RELIGION_046,40.32
CITY_0060,RELIGION_000,59.68
CITY_0061,RELIGION_023,64.29
CITY_0061,RELIGION_036,8.11
CITY_0061,RELIGION_006,27.6
CITY_0062,RELIGION_006,91.9
CITY_0062,RELIGION_049,8.1
CITY_0063,RELIGION_032,100.0
CITY_0064,RELIGION_013,8.18
CITY_0064,RELIGION_034,91.82
CITY_0065,RELIGION_021,86.65
CITY_0065,RELIGION_035,13.35
CITY_0066,RELIGION_005,6.37
CITY_0066,RELIGION_046,76.09
CITY_0066,RELIGION_037,17.54
CITY_0067,RELIGION_036,16.2
CITY_0067,RELIGION_047,83.8
CITY_0068,RELIGION_044,26.47
CITY_0068,RELIGION_030,73.53
CITY_0069,RELIGION_045,100.0
CITY_0070,RELIGION_006,46.86
CITY_0070,RELIGION_024,39.25
CITY_0070,RELIGION_035,13.89
CITY_0071,RELIGION_002,30.22
CITY_0071,RELIGION_045,33.14
CITY_0071,RELIGION_003,36.65
CITY_0072,RELIGION_015,68.4
CITY_0072,RELIGION_030,31.6
CITY_0073,RELIGION_048,37.11
CITY_0073,RELIGION_044,55.08
CITY_0073,RELIGION_038,7.82
CITY_0074,RELIGION_004,100.0
CITY_0075,RELIGION_024,11.65
CITY_0075,RELIGION_038,26.1
CITY_0075,RELIGION_009,62.24
CITY_0076,RELIGION_037,9.25
CITY_0076,RELIGION_030,83.84
CITY_0076,RELIGION_011,6.91
CITY_0077,RELIGION_017,22.39
