PROVINCE,RELIGION,percentage
PROVINCE_0000,RELIGION_003,23.89
PROVINCE_0000,RELIGION_045,76.11
PROVINCE_0001,RELIGION_046,17.53
PROVINCE_0001,RELIGION_023,82.47
PROVINCE_0002,RELIGION_008,48.26
PROVINCE_0002,RELIGION_006,51.74
PROVINCE_0003,RELIGION_022,10.86
PROVINCE_0003,RELIGION_043,64.56
PROVINCE_0003,RELIGION_018,24.59
PROVINCE_0004,RELIGION_031,68.32
PROVINCE_0004,RELIGION_002,31.68
PROVINCE_0005,RELIGION_027,69.08
PROVINCE_0005,RELIGION_049,30.92
PROVINCE_0006,RELIGION_008,47.39
PROVINCE_0006,RELIGION_000,8.27
PROVINCE_0006,RELIGION_036,44.34
PROVINCE_0007,RELIGION_008,100.0
PROVINCE_0008,RELIGION_031,45.91
PROVINCE_0008,RELIGION_000,54.09
PROVINCE_0009,RELIGION_036,49.03
PROVINCE_0009,RELIGION_001,11.34
PROVINCE_0009,RELIGION_046,39.63
PROVINCE_0010,RELIGION_004,100.0
PROVINCE_0011,RELIGION_025,53.47
PROVINCE_0011,RELIGION_014,16.45
PROVINCE_0011,RELIGION_045,30.07
PROVINCE_0012,RELIGION_026,47.65
PROVINCE_0012,RELIGION_017,52.35
PROVINCE_0013,RELIGION_029,100.0
PROVINCE_0014,RELIGION_013,100.0
PROVINCE_0015,RELIGION_017,100.0
PROVINCE_0016,RELIGION_011,44.05
PROVINCE_0016,RELIGION_032,55.95
PROVINCE_0017,RELIGION_035,100.0
PROVINCE_0018,RELIGION_020,82.11
PROVINCE_0018,RELIGION_046,6.29
PROVINCE_0018,RELIGION_017,11.6
PROVINCE_0019,RELIGION_003,100.0
PROVINCE_0020,RELIGION_031,100.0
PROVINCE_0021,RELIGION_041,52.56
PROVINCE_0021,RELIGION_033,34.81
PROVINCE_0021,RELIGION_011,12.63
PROVINCE_0022,RELIGION_044,100.0
PROVINCE_0023,RELIGION_045,13.85
PROVINCE_0023,RELIGION_028,86.15
PROVINCE_0024,RELIGION_005,100.0
PROVINCE_0025,RELIGION_026,100.0
PROVINCE_0026,RELIGION_024,100.0
PROVINCE_0027,RELIGION_049,20.92
PROVINCE_0027,RELIGION_023,69.54
PROVINCE_0027,RELIGION_000,9.55
PROVINCE_0028,RELIGION_004,67.03
PROVINCE_0028,RELIGION_003,32.97
PROVINCE_0029,RELIGION_035,31.28
PROVINCE_0029,RELIGION_041,68.72
PROVINCE_0030,RELIGION_048,13.59
PROVINCE_0030,RELIGION_003,72.77
PROVINCE_0030,RELIGION_005,13.64
PROVINCE_0031,RELIGION_036,100.0
PROVINCE_0032,RELIGION_000,21.07
PROVINCE_0032,RELIGION_039,78.93
PROVINCE_0033,RELIGION_029,100.0
PROVINCE_0034,RELIGION_042,100.0
PROVINCE_0035,RELIGION_020,100.0
PROVINCE_0036,RELIGION_027,100.0
PROVINCE_0037,RELIGION_047,100.0
PROVINCE_0038,RELIGION_047,100.0
PROVINCE_0039,RELIGION_014,58.6
PROVINCE_0039,RELIGION_028,41.4
PROVINCE_0040,RELIGION_036,100.0
PROVINCE_0041,RELIGION_012,100.0
PROVINCE_0042,RELIGION_002,100.0
PROVINCE_0043,RELIGION_004,77.61
PROVINCE_0043,RELIGION_027,22.39
PROVINCE_0044,RELIGION_020,36.6
PROVINCE_0044,RELIGION_043,12.96
PROVINCE_0044,RELIGION_000,50.44
PROVINCE_0045,RELIGION_030,100.0
PROVINCE_0046,RELIGION_044,31.29
PROVINCE_0046,RELIGION_041,68.71
PROVINCE_0047,RELIGION_032,100.0
PROVINCE_0048,RELIGION_019,55.96
PROVINCE_0048,RELIGION_035,15.72
PROVINCE_0048,RELIGION_045,28.32
PROVINCE_0049,RELIGION_044,18.62
PROVINCE_0049,RELIGION_018,81.38
PROVINCE_0050,RELIGION_041,100.0
PROVINCE_0051,RELIGION_036,100.0
PROVINCE_0052,RELIGION_029,92.64
PROVINCE_0052,RELIGION_026,3.83
PROVINCE_0052,RELIGION_037,3.54
PROVINCE_0053,RELIGION_036,58.56
PROVINCE_0053,RELIGION_013,7.38
PROVINCE_0053,RELIGION_026,34.07
PROVINCE_0054,RELIGION_008,30.44
PROVINCE_0054,RELIGION_038,69.56
PROVINCE_0055,RELIGION_017,49.01
PROVINCE_0055,RELIGION_030,50.99
PROVINCE_0056,RELIGION_026,100.0
PROVINCE_0057,RELIGION_005,75.84
PROVINCE_0057,RELIGION_039,13.9
PROVINCE_0057,RELIGION_046,10.26
PROVINCE_0058,RELIGION_009,17.24
PROVINCE_0058,RELIGION_030,49.25
PROVINCE_0058,RELIGION_012,33.51
PROVINCE_0059,RELIGION_034,99.58
PROVINCE_0059,RELIGION_005,0.42
PROVINCE_0060,RELIGION_049,100.0
PROVINCE_0061,RELIGION_049,31.4
PROVINCE_0061,RELIGION_004,57.38
PROVINCE_0061,RELIGION_002,11.22
PROVINCE_0062,RELIGION_021,15.02
PROVINCE_0062,RELIGION_002,84.98
PROVINCE_0063,RELIGION_022,100.0
PROVINCE_0064,RELIGION_042,23.2
PROVINCE_0064,RELIGION_039,35.46
PROVINCE_0064,RELIGION_025,41.34
PROVINCE_0065,RELIGION_043,100.0
PROVINCE_0066,RELIGION_004,100.0
PROVINCE_0067,RELIGION_018,51.86
PROVINCE_0067,RELIGION_013,48.14
PROVINCE_0068,RELIGION_023,37.48
PROVINCE_0068,RELIGION_028,48.33
PROVINCE_0068,RELIGION_016,14.19
PROVINCE_0069,RELIGION_048,18.83
PROVINCE_0069,RELIGION_015,27.03
PROVINCE_0069,RELIGION_021,54.14
PROVINCE_0070,RELIGION_026,100.0
PROVINCE_0071,RELIGION_003,39.9
PROVINCE_0071,RELIGION_025,26.27
PROVINCE_0071,RELIGION_017,33.83
PROVINCE_0072,RELIGION_027,29.79
PROVINCE_0072,RELIGION_002,35.74
PROVINCE_0072,RELIGION_047,34.48
PROVINCE_0073,RELIGION_028,77.13
PROVINCE_0073,RELIGION_012,22.87
PROVINCE_0074,RELIGION_035,15.94
PROVINCE_0074,RELIGION_014,80.8
PROVINCE_0074,RELIGION_045,3.26
PROVINCE_0075,RELIGION_019,3.07
PROVINCE_0075,RELIGION_034,96.93
PROVINCE_0076,RELIGION_012,8.88
PROVINCE_0076,RELIGION_035,53.99
PROVINCE_0076,RELIGION_019,37.13
PROVINCE_0077,RELIGION_020,100.0
PROVINCE_0078,RELIGION_024,100.0
PROVINCE_0079,RELIGION_019,40.09
PROVINCE_0079,RELIGION_025,23.11
PROVINCE_0079,RELIGION_008,36.81
PROVINCE_0080,RELIGION_003,39.41
PROVINCE_0080,RELIGION_021,13.8
PROVINCE_0080,RELIGION_028,46.8
PROVINCE_0081,RELIGION_017,31.13
PROVINCE_0081,RELIGION_045,68.87
PROVINCE_0082,RELIGION_025,100.0
PROVINCE_0083,RELIGION_028,90.06
PROVINCE_0083,RELIGION_039,9.94
PROVINCE_0084,RELIGION_022,64.76
PROVINCE_0084,RELIGION_005,35.24
PROVINCE_0085,RELIGION_025,47.08
PROVINCE_0085,RELIGION_010,52.92
PROVINCE_0086,RELIGION_036,100.0
PROVINCE_0087,RELIGION_046,100.0
PROVINCE_0088,RELIGION_038,100.0
PROVINCE_0089,RELIGION_034,100.0
PROVINCE_0090,RELIGION_049,82.98
PROVINCE_0090,RELIGION_020,17.02
PROVINCE_0091,RELIGION_002,100.0
PROVINCE_0092,RELIGION_040,4.35
PROVINCE_0092,RELIGION_044,95.65
PROVINCE_0093,RELIGION_046,40.96
PROVINCE_0093,RELIGION_001,59.04
PROVINCE_0094,RELIGION_038,51.54
PROVINCE_0094,RELIGION_006,25.36
PROVINCE_0094,RELIGION_014,23.11
PROVINCE_0095,RELIGION_005,100.0
PROVINCE_0096,RELIGION_029,100.0
PROVINCE_0097,RELIGION_024,6.35
PROVINCE_0097,RELIGION_006,37.91
PROVINCE_0097,RELIGION_038,55.74
PROVINCE_0098,RELIGION_001,20.86
PROVINCE_0098,RELIGION_009,50.65
PROVINCE_0098,RELIGION_021,28.49
PROVINCE_0099,RELIGION_045,26.55
PROVINCE_0099,RELIGION_028,73.45
PROVINCE_0100,RELIGION_024,34.1
PROVINCE_0100,RELIGION_003,24.01
PROVINCE_0100,RELIGION_043,41.89
PROVINCE_0101,RELIGION_011,2.51
PROVINCE_0101,RELIGION_010,92.78
PROVINCE_0101,RELIGION_040,4.71
PROVINCE_0102,RELIGION_025,100.0
PROVINCE_0103,RELIGION_039,80.62
PROVINCE_0103,RELIGION_023,4.46
PROVINCE_0103,RELIGION_014,14.91
PROVINCE_0104,RELIGION_017,18.3
PROVINCE_0104,RELIGION_044,81.7
PROVINCE_0105,RELIGION_043,100.0
PROVINCE_0106,RELIGION_000,100.0
PROVINCE_0107,RELIGION_042,100.0
PROVINCE_0108,RELIGION_011,100.0
PROVINCE_0109,RELIGION_020,70.5
PROVINCE_0109,RELIGION_036,29.5
PROVINCE_0110,RELIGION_003,38.71
PROVINCE_0110,RELIGION_000,61.29
PROVINCE_0111,RELIGION_026,100.0
PROVINCE_0112,RELIGION_003,74.67
PROVINCE_0112,RELIGION_005,16.28
PROVINCE_0112,RELIGION_020,9.05
PROVINCE_0113,RELIGION_021,100.0
PROVINCE_0114,RELIGION_046,100.0
PROVINCE_0115,RELIGION_022,100.0
PROVINCE_0116,RELIGION_043,58.19
PROVINCE_0116,RELIGION_037,9.45
PROVINCE_0116,RELIGION_016,32.36
PROVINCE_0117,RELIGION_040,82.99
PROVINCE_0117,RELIGION_039,17.01
PROVINCE_0118,RELIGION_002,61.96
PROVINCE_0118,RELIGION_028,38.04
PROVINCE_0119,RELIGION_002,32.3
PROVINCE_0119,RELIGION_031,67.7
PROVINCE_0120,RELIGION_048,100.0
PROVINCE_0121,RELIGION_045,62.49
PROVINCE_0121,RELIGION_012,37.51
PROVINCE_0122,RELIGION_029,100.0
PROVINCE_0123,RELIGION_035,17.03
PROVINCE_0123,RELIGION_003,7.26
PROVINCE_0123,RELIGION_022,75.72
PROVINCE_0124,RELIGION_047,71.43
PROVINCE_0124,RELIGION_037,2.91
PROVINCE_0124,RELIGION_043,25.66
PROVINCE_0125,RELIGION_041,94.39
PROVINCE_0125,RELIGION_001,5.61
PROVINCE_0126,RELIGION_042,100.0
PROVINCE_0127,RELIGION_003,100.0
PROVINCE_0128,RELIGION_025,100.0
PROVINCE_0129,RELIGION_043,65.43
PROVINCE_0129,RELIGION_039,34.57
PROVINCE_0130,RELIGION_019,100.0
PROVINCE_0131,RELIGION_000,55.26
PROVINCE_0131,RELIGION_013,34.18
PROVINCE_0131,RELIGION_044,10.56
PROVINCE_0132,RELIGION_007,28.4
PROVINCE_0132,RELIGION_000,66.08
PROVINCE_0132,RELIGION_017,5.53
PROVINCE_0133,RELIGION_008,67.71
PROVINCE_0133,RELIGION_002,32.29
PROVINCE_0134,RELIGION_027,100.0
PROVINCE_0135,RELIGION_032,100.0
PROVINCE_0136,RELIGION_044,37.16
PROVINCE_0136,RELIGION_048,33.45
PROVINCE_0136,RELIGION_018,29.39
PROVINCE_0137,RELIGION_004,100.0
PROVINCE_0138,RELIGION_019,50.43
PROVINCE_0138,RELIGION_040,1.92
PROVINCE_0138,RELIGION_039,47.65
PROVINCE_0139,RELIGION_014,100.0
PROVINCE_0140,RELIGION_021,47.49
PROVINCE_0140,RELIGION_039,30.28
PROVINCE_0140,RELIGION_011,22.24
PROVINCE_0141,RELIGION_022,24.18
PROVINCE_0141,RELIGION_048,27.72
PROVINCE_0141,RELIGION_015,48.1
PROVINCE_0142,RELIGION_043,22.2
PROVINCE_0142,RELIGION_036,77.8
PROVINCE_0143,RELIGION_009,27.76
PROVINCE_0143,RELIGION_002,72.24
PROVINCE_0144,RELIGION_024,50.72
PROVINCE_0144,RELIGION_004,49.28
PROVINCE_0145,RELIGION_003,100.0
PROVINCE_0146,RELIGION_031,29.27
PROVINCE_0146,RELIGION_036,70.73
PROVINCE_0147,RELIGION_000,2.63
PROVINCE_0147,RELIGION_041,1.89
PROVINCE_0147,RELIGION_001,95.48
PROVINCE_0148,RELIGION_036,44.16
PROVINCE_0148,RELIGION_027,55.84
PROVINCE_0149,RELIGION_003,29.69
PROVINCE_0149,RELIGION_004,4.43
PROVINCE_0149,RELIGION_034,65.88
