region_id,name
REGION_000,Check Region
REGION_001,Although Region
REGION_002,Staff Region
REGION_003,Minute Region
REGION_004,Establish Region
REGION_005,Law Region
REGION_006,Collection Region
REGION_007,Care Region
REGION_008,Own Region
REGION_009,Health Region
REGION_010,Born Region
REGION_011,Person Region
REGION_012,Travel Region
REGION_013,Age Region
REGION_014,Four Region
REGION_015,Career Region
REGION_016,What Region
REGION_017,Who Region
REGION_018,Political Region
REGION_019,Wrong Region
REGION_020,At Region
REGION_021,Accept Region
REGION_022,Major Region
REGION_023,Out Region
REGION_024,Paper Region
REGION_025,Democrat Region
REGION_026,Give Region
REGION_027,Leader Region
REGION_028,Collection Region
REGION_029,Plant Region
