religion_id,name
RELIGION_000,Islam
RELIGION_001,Judaism
RELIGION_002,Folk Religions
RELIGION_003,Baháʼí Faith
RELIGION_004,Shinto
RELIGION_005,Folk Religions
RELIGION_006,Baháʼí Faith
RELIGION_007,Buddhism
RELIGION_008,Jainism
RELIGION_009,Judaism
RELIGION_010,Including
RELIGION_011,Star
RELIGION_012,Lot
RELIGION_013,Culture
RELIGION_014,Until
RELIGION_015,Necessary
RELIGION_016,Country
RELIGION_017,Top
RELIGION_018,Provide
RELIGION_019,Oil
RELIGION_020,Put
RELIGION_021,Suggest
RELIGION_022,Behavior
RELIGION_023,Her
RELIGION_024,Get
RELIGION_025,Treatment
RELIGION_026,Meet
RELIGION_027,Rest
RELIGION_028,Around
RELIGION_029,Night
RELIGION_030,Morning
RELIGION_031,Each
RELIGION_032,Each
RELIGION_033,Town
RELIGION_034,Wind
RELIGION_035,Word
RELIGION_036,Approach
RELIGION_037,Arm
RELIGION_038,Quite
RELIGION_039,Want
RELIGION_040,Remain
RELIGION_041,Where
RELIGION_042,Long
RELIGION_043,Special
RELIGION_044,Light
RELIGION_045,Measure
RELIGION_046,Plan
RELIGION_047,Free
RELIGION_048,Enjoy
RELIGION_049,Industry
