river_id,name,length,source_city,destination_city
RIVER_0000,Griffin River,703.73,Christophertown,Katieborough
RIVER_0001,Stewart River,144.4,,
RIVER_0002,Smith River,44.74,,
RIVER_0003,Vega River,,,Lake Gabriel
RIVER_0004,David River,406.97,,
RIVER_0005,Tran River,286.03,,North Jerry
RIVER_0006,Bruce River,,Williamshaven,
RIVER_0007,Zimmerman River,95.57,Prattport,
RIVER_0008,Frank River,92.75,Mcdanielfurt,South John
RIVER_0009,Freeman River,49.06,Pamhaven,
RIVER_0010,Martin River,1031.17,,Port Aaron
RIVER_0011,Evans River,100.81,,Michellemouth
RIVER_0012,Reeves River,639.44,,Jacobstad
RIVER_0013,Gomez River,921.11,Katherineborough,North Miguel
RIVER_0014,Fisher River,491.75,,Dorseyville
RIVER_0015,Martinez River,88.42,,New Rebeccaview
RIVER_0016,Madden River,240.92,,Michaelmouth
RIVER_0017,Grant River,144.17,Melissaside,Sawyermouth
RIVER_0018,Fowler River,50.18,Lake Felicia,Kirbychester
RIVER_0019,Richmond River,219.03,,
RIVER_0020,Ball River,36.06,Amandaburgh,Payneside
RIVER_0021,Weaver River,617.21,,
RIVER_0022,Ruiz River,84.98,Kathleenshire,Port Melissa
RIVER_0023,Fitzgerald River,188.93,,Turnerstad
RIVER_0024,Scott River,208.5,Katherineport,Hintontown
RIVER_0025,Salazar River,108.78,East Todd,
RIVER_0026,Buckley River,300.08,Joshuaside,Lake April
RIVER_0027,Yoder River,83.94,Port Joel,
RIVER_0028,Steele River,422.23,,
RIVER_0029,Mitchell River,29.51,New Matthew,
RIVER_0030,Morris River,172.72,,
RIVER_0031,Martinez River,1520.38,,Michelleberg
RIVER_0032,Stephens River,44.68,,East Courtneyhaven
RIVER_0033,Rojas River,65.81,,West Cheryl
RIVER_0034,Hunt River,274.98,West Austinland,West Terristad
RIVER_0035,Jones River,184.1,Johnsonborough,West Evelyn
RIVER_0036,Gonzalez River,226.05,Millerberg,
RIVER_0037,Gonzalez River,266.94,New Jose,
RIVER_0038,Bush River,317.88,South Paul,
RIVER_0039,Bowman River,,,Singletonmouth
RIVER_0040,Colon River,242.69,Lake Franciscoside,
RIVER_0041,Schwartz River,111.11,,
RIVER_0042,Morris River,,Amandaside,Kristinview
RIVER_0043,Duran River,1450.78,,South Brad
RIVER_0044,Morrison River,,Lake Stevenview,
RIVER_0045,Rodriguez River,46.09,,
RIVER_0046,Walton River,560.31,,Rebeccaton
RIVER_0047,Clark River,128.45,Port Melinda,
RIVER_0048,Jimenez River,10.94,Wallacechester,Port Robert
RIVER_0049,Stuart River,410.31,Ortizborough,
RIVER_0050,Monroe River,,Juliaside,
RIVER_0051,Bernard River,133.13,Daniellefurt,New Margaretberg
RIVER_0052,Fitzpatrick River,221.05,Lake Austintown,New Tanya
RIVER_0053,Green River,186.53,Port Andrew,
