road_id,name,length,highway_type
ROAD_0000,Alexander Station Highway,55.84,tertiary
ROAD_0001,Emily Vista Highway,230.39,secondary
ROAD_0002,Ann Crossroad Highway,,
ROAD_0003,Dylan Estates Highway,35.3,motorway
ROAD_0004,Williams Vista Highway,36.41,secondary
ROAD_0005,Linda Neck Highway,47.15,motorway
ROAD_0006,Mata Brooks Highway,42.9,
ROAD_0007,Fox Mountains Highway,26.61,tertiary
ROAD_0008,Angela Orchard Highway,22.29,trunk
ROAD_0009,Davis Run Highway,18.87,unclassified
ROAD_0010,Anna Dale Highway,9.45,unclassified
ROAD_0011,Sanders Valleys Highway,15.17,tertiary
ROAD_0012,Peterson Fords Highway,3.7,secondary
ROAD_0013,Ashley Pines Highway,,secondary
ROAD_0014,Rivera Well Highway,7.47,secondary
ROAD_0015,Torres Wall Highway,6.66,trunk
ROAD_0016,Peterson Ports Highway,24.04,secondary
ROAD_0017,Miranda Brooks Highway,,
ROAD_0018,Brianna Lock Highway,50.32,primary
ROAD_0019,Brown Stream Highway,4.18,unclassified
ROAD_0020,Wood Lodge Highway,,motorway
ROAD_0021,Sydney Course Highway,,
ROAD_0022,William Mountains Highway,7.52,tertiary
ROAD_0023,James Vista Highway,16.04,tertiary
ROAD_0024,Li Summit Highway,34.82,motorway
ROAD_0025,Randy Corner Highway,7.63,unclassified
ROAD_0026,Morris Hills Highway,22.32,secondary
ROAD_0027,Brown Gardens Highway,,
ROAD_0028,Donna Field Highway,11.01,motorway
ROAD_0029,Marissa Alley Highway,27.65,trunk
ROAD_0030,Dalton Isle Highway,4.08,secondary
ROAD_0031,Hurley Mount Highway,31.2,motorway
ROAD_0032,Michael Hollow Highway,19.69,tertiary
ROAD_0033,Rodriguez Hill Highway,34.9,primary
ROAD_0034,Monica Island Highway,25.13,secondary
ROAD_0035,Jesse Centers Highway,78.58,tertiary
ROAD_0036,Brooke Divide Highway,22.77,unclassified
ROAD_0037,Daryl Key Highway,13.07,tertiary
ROAD_0038,Kathy Prairie Highway,22.7,unclassified
ROAD_0039,Phillips Freeway Highway,34.58,trunk
ROAD_0040,Evans Branch Highway,21.09,primary
ROAD_0041,Rush Falls Highway,20.92,
ROAD_0042,David Run Highway,9.95,motorway
ROAD_0043,Booth Cape Highway,10.35,unclassified
ROAD_0044,Jessica Cliff Highway,4.94,motorway
ROAD_0045,Valdez Forest Highway,115.54,trunk
ROAD_0046,Mark Groves Highway,5.79,secondary
ROAD_0047,Mason Rapid Highway,10.05,primary
ROAD_0048,Taylor Burgs Highway,9.79,primary
ROAD_0049,Karen Tunnel Highway,49.15,tertiary
ROAD_0050,Andrew Mountain Highway,14.96,motorway
ROAD_0051,Hudson Ferry Highway,69.95,
ROAD_0052,Parker Hollow Highway,10.24,secondary
ROAD_0053,Richard Tunnel Highway,26.55,secondary
ROAD_0054,Vincent Overpass Highway,8.71,secondary
ROAD_0055,Kyle Rapid Highway,171.6,tertiary
ROAD_0056,Aaron Center Highway,6.13,secondary
ROAD_0057,Liu Common Highway,27.38,unclassified
ROAD_0058,Rodriguez Trace Highway,37.86,secondary
ROAD_0059,Nathaniel Estates Highway,,
ROAD_0060,Barrett Brook Highway,16.69,trunk
ROAD_0061,Glen Vista Highway,17.64,trunk
ROAD_0062,Phillips Road Highway,20.99,primary
ROAD_0063,Christopher Freeway Highway,,
ROAD_0064,Wilson Avenue Highway,52.66,secondary
ROAD_0065,Alexander Roads Highway,183.19,trunk
ROAD_0066,Mcintosh Forks Highway,11.5,unclassified
ROAD_0067,Cassandra Freeway Highway,5.1,motorway
ROAD_0068,Munoz Place Highway,18.39,
ROAD_0069,Chad Alley Highway,264.99,motorway
ROAD_0070,Hughes Square Highway,8.99,tertiary
ROAD_0071,Fleming Parkway Highway,103.45,secondary
ROAD_0072,Hernandez Road Highway,107.52,secondary
ROAD_0073,Russo Track Highway,,
ROAD_0074,Edwards Motorway Highway,35.48,unclassified
ROAD_0075,Krista Hill Highway,102.35,motorway
ROAD_0076,Frederick Station Highway,13.75,motorway
ROAD_0077,Frank Center Highway,16.39,tertiary
ROAD_0078,Kim Gateway Highway,11.23,motorway
ROAD_0079,Rosales Turnpike Highway,7.28,primary
ROAD_0080,Williams Mills Highway,10.49,trunk
ROAD_0081,David Islands Highway,,trunk
ROAD_0082,Love Island Highway,20.78,primary
ROAD_0083,Johnson Key Highway,9.3,unclassified
ROAD_0084,Duarte Ports Highway,25.38,trunk
ROAD_0085,Lisa Lodge Highway,4.24,primary
ROAD_0086,Ruiz Lake Highway,27.96,tertiary
ROAD_0087,Young Loop Highway,,
ROAD_0088,Ronald Station Highway,2.74,unclassified
ROAD_0089,Meyer Run Highway,29.2,tertiary
ROAD_0090,Rhonda Avenue Highway,68.56,tertiary
ROAD_0091,Christine Passage Highway,5.99,unclassified
ROAD_0092,Brown Fort Highway,,
ROAD_0093,Ryan Street Highway,30.54,
ROAD_0094,Stone Ferry Highway,9.92,secondary
ROAD_0095,Nichole Stream Highway,19.0,motorway
ROAD_0096,Turner Street Highway,35.1,
ROAD_0097,Mary Plains Highway,21.67,secondary
ROAD_0098,Billy Point Highway,34.42,unclassified
ROAD_0099,Jennifer Grove Highway,8.0,secondary
ROAD_0100,Bowen Streets Highway,23.79,tertiary
ROAD_0101,Kevin Heights Highway,4.89,primary
ROAD_0102,Emily Forks Highway,17.97,tertiary
ROAD_0103,Johnson Trafficway Highway,8.13,motorway
ROAD_0104,Christopher Hills Highway,9.63,primary
ROAD_0105,Wheeler Dam Highway,69.14,motorway
ROAD_0106,Whitaker Squares Highway,,
ROAD_0107,Estrada River Highway,36.93,primary
ROAD_0108,Sara Court Highway,6.74,primary
ROAD_0109,Howard Street Highway,14.64,primary
ROAD_0110,Christopher Rest Highway,67.57,motorway
ROAD_0111,Howard Mill Highway,23.14,unclassified
ROAD_0112,Hernandez Field Highway,,
ROAD_0113,Lamb Center Highway,29.76,unclassified
ROAD_0114,Mccormick Radial Highway,24.34,tertiary
ROAD_0115,Michelle Center Highway,14.74,
ROAD_0116,Miranda Knolls Highway,22.96,primary
ROAD_0117,Richard Prairie Highway,17.25,unclassified
ROAD_0118,Thomas Walks Highway,40.78,trunk
ROAD_0119,White Manors Highway,52.28,motorway
ROAD_0120,Garcia Lakes Highway,9.15,secondary
ROAD_0121,Reynolds Ridge Highway,5.31,primary
ROAD_0122,Ramos Vista Highway,3.2,unclassified
ROAD_0123,Jason Point Highway,33.38,unclassified
ROAD_0124,Casey Corner Highway,,
ROAD_0125,Rachel Square Highway,2.33,primary
ROAD_0126,Diaz Pike Highway,29.62,trunk
ROAD_0127,Michael Run Highway,242.98,secondary
ROAD_0128,Rocha Rue Highway,19.96,trunk
ROAD_0129,Garcia Mountain Highway,46.46,primary
ROAD_0130,Crystal Ports Highway,21.8,motorway
ROAD_0131,Kathleen Plaza Highway,18.19,tertiary
ROAD_0132,Dodson Mountains Highway,,
ROAD_0133,Sean Streets Highway,15.03,trunk
ROAD_0134,Thompson Green Highway,26.24,unclassified
ROAD_0135,Fry Parkway Highway,27.71,trunk
ROAD_0136,Martinez Meadow Highway,10.3,motorway
ROAD_0137,Young Views Highway,54.17,unclassified
ROAD_0138,Guzman Underpass Highway,16.86,secondary
ROAD_0139,Michael Mountain Highway,9.43,unclassified
ROAD_0140,Shannon Loaf Highway,34.35,trunk
ROAD_0141,Dominguez Corners Highway,8.18,primary
ROAD_0142,Mark Keys Highway,20.66,secondary
ROAD_0143,Brett Streets Highway,19.9,trunk
ROAD_0144,Gutierrez Mill Highway,59.5,tertiary
ROAD_0145,Marie Mountain Highway,32.29,secondary
