sea_id,name,area
SEA_000,Add Sea,36351.26
SEA_001,Technology Sea,148472.53
SEA_002,Human Sea,149128.66
SEA_003,Authority Sea,281621.61
SEA_004,Seat Sea,420666.05
SEA_005,Evening Sea,153366.36
SEA_006,Your Sea,1040803.24
SEA_007,Own Sea,203665.61
SEA_008,Television Sea,115101.95
SEA_009,Perhaps Sea,32481.72
SEA_010,Exactly Sea,125159.03
SEA_011,Hard Sea,116263.34
SEA_012,National Sea,425195.69
SEA_013,Go Sea,258456.74
SEA_014,Could Sea,50042.65
SEA_015,Much Sea,193349.44
SEA_016,Six Sea,318548.87
SEA_017,Attorney Sea,750152.17
SEA_018,Road Sea,395341.0
SEA_019,When Sea,348309.47
SEA_020,Bad Sea,172833.85
SEA_021,Trip Sea,239980.27
SEA_022,Ask Sea,567788.86
SEA_023,Car Sea,42925.55
SEA_024,National Sea,114755.69
