COUNTRY,COUNTRY
COUNTRY_000,COUNTRY_006
COUNTRY_000,COUNTRY_019
COUNTRY_001,COUNTRY_025
COUNTRY_002,COUNTRY_018
COUNTRY_003,COUNTRY_022
COUNTRY_004,COUNTRY_038
COUNTRY_005,COUNTRY_031
COUNTRY_005,COUNTRY_032
COUNTRY_006,COUNTRY_000
COUNTRY_007,COUNTRY_018
COUNTRY_008,COUNTRY_043
COUNTRY_009,COUNTRY_002
COUNTRY_009,COUNTRY_006
COUNTRY_009,COUNTRY_014
COUNTRY_009,COUNTRY_034
COUNTRY_009,COUNTRY_000
COUNTRY_010,COUNTRY_039
COUNTRY_010,COUNTRY_034
COUNTRY_010,COUNTRY_049
COUNTRY_010,COUNTRY_018
COUNTRY_011,COUNTRY_031
COUNTRY_011,COUNTRY_049
COUNTRY_011,COUNTRY_022
COUNTRY_011,COUNTRY_039
COUNTRY_012,COUNTRY_022
COUNTRY_012,COUNTRY_024
COUNTRY_012,COUNTRY_044
COUNTRY_012,COUNTRY_021
COUNTRY_013,COUNTRY_024
COUNTRY_013,COUNTRY_043
COUNTRY_014,COUNTRY_025
COUNTRY_014,COUNTRY_040
COUNTRY_014,COUNTRY_003
COUNTRY_014,COUNTRY_023
COUNTRY_015,COUNTRY_006
COUNTRY_015,COUNTRY_000
COUNTRY_015,COUNTRY_030
COUNTRY_016,COUNTRY_047
COUNTRY_016,COUNTRY_008
COUNTRY_016,COUNTRY_001
COUNTRY_016,COUNTRY_039
COUNTRY_017,COUNTRY_034
COUNTRY_018,COUNTRY_045
COUNTRY_018,COUNTRY_049
COUNTRY_018,COUNTRY_015
COUNTRY_019,COUNTRY_029
COUNTRY_019,COUNTRY_040
COUNTRY_019,COUNTRY_044
COUNTRY_020,COUNTRY_033
COUNTRY_020,COUNTRY_027
COUNTRY_020,COUNTRY_043
COUNTRY_020,COUNTRY_012
COUNTRY_021,COUNTRY_041
COUNTRY_022,COUNTRY_001
COUNTRY_022,COUNTRY_041
COUNTRY_022,COUNTRY_024
COUNTRY_023,COUNTRY_048
COUNTRY_024,COUNTRY_044
COUNTRY_024,COUNTRY_029
COUNTRY_024,COUNTRY_014
COUNTRY_025,COUNTRY_032
COUNTRY_025,COUNTRY_026
COUNTRY_025,COUNTRY_048
COUNTRY_025,COUNTRY_040
COUNTRY_025,COUNTRY_005
COUNTRY_026,COUNTRY_028
COUNTRY_026,COUNTRY_031
COUNTRY_026,COUNTRY_043
COUNTRY_027,COUNTRY_047
COUNTRY_028,COUNTRY_018
COUNTRY_028,COUNTRY_039
COUNTRY_028,COUNTRY_012
COUNTRY_028,COUNTRY_046
COUNTRY_029,COUNTRY_034
COUNTRY_029,COUNTRY_037
COUNTRY_030,COUNTRY_002
COUNTRY_030,COUNTRY_008
COUNTRY_030,COUNTRY_032
COUNTRY_030,COUNTRY_005
COUNTRY_030,COUNTRY_019
COUNTRY_031,COUNTRY_029
COUNTRY_031,COUNTRY_010
COUNTRY_031,COUNTRY_028
COUNTRY_031,COUNTRY_007
COUNTRY_031,COUNTRY_030
COUNTRY_032,COUNTRY_015
COUNTRY_032,COUNTRY_013
COUNTRY_032,COUNTRY_010
COUNTRY_032,COUNTRY_049
COUNTRY_032,COUNTRY_043
COUNTRY_033,COUNTRY_006
COUNTRY_034,COUNTRY_046
COUNTRY_034,COUNTRY_001
COUNTRY_034,COUNTRY_010
COUNTRY_034,COUNTRY_020
COUNTRY_035,COUNTRY_017
COUNTRY_035,COUNTRY_014
COUNTRY_035,COUNTRY_047
COUNTRY_035,COUNTRY_016
COUNTRY_036,COUNTRY_043
COUNTRY_036,COUNTRY_007
COUNTRY_036,COUNTRY_008
COUNTRY_036,COUNTRY_034
COUNTRY_037,COUNTRY_005
COUNTRY_037,COUNTRY_045
COUNTRY_037,COUNTRY_021
COUNTRY_037,COUNTRY_014
COUNTRY_038,COUNTRY_039
COUNTRY_038,COUNTRY_004
COUNTRY_038,COUNTRY_042
COUNTRY_038,COUNTRY_021
COUNTRY_038,COUNTRY_024
COUNTRY_039,COUNTRY_042
COUNTRY_039,COUNTRY_035
COUNTRY_039,COUNTRY_027
COUNTRY_039,COUNTRY_014
COUNTRY_040,COUNTRY_016
COUNTRY_040,COUNTRY_007
COUNTRY_041,COUNTRY_005
COUNTRY_041,COUNTRY_007
COUNTRY_041,COUNTRY_021
COUNTRY_042,COUNTRY_012
COUNTRY_042,COUNTRY_048
COUNTRY_042,COUNTRY_007
COUNTRY_042,COUNTRY_036
COUNTRY_042,COUNTRY_023
COUNTRY_043,COUNTRY_020
COUNTRY_043,COUNTRY_024
COUNTRY_044,COUNTRY_048
COUNTRY_044,COUNTRY_000
COUNTRY_044,COUNTRY_019
COUNTRY_044,COUNTRY_003
COUNTRY_044,COUNTRY_037
COUNTRY_045,COUNTRY_012
COUNTRY_045,COUNTRY_024
COUNTRY_045,COUNTRY_027
COUNTRY_045,COUNTRY_020
COUNTRY_045,COUNTRY_023
COUNTRY_046,COUNTRY_033
COUNTRY_046,COUNTRY_042
COUNTRY_047,COUNTRY_037
COUNTRY_047,COUNTRY_014
COUNTRY_047,COUNTRY_006
COUNTRY_047,COUNTRY_025
COUNTRY_047,COUNTRY_000
COUNTRY_048,COUNTRY_029
COUNTRY_048,COUNTRY_020
COUNTRY_048,COUNTRY_009
COUNTRY_048,COUNTRY_018
COUNTRY_048,COUNTRY_014
COUNTRY_049,COUNTRY_043
COUNTRY_049,COUNTRY_029
COUNTRY_049,COUNTRY_009
COUNTRY_049,COUNTRY_038
