PROVINCE,PROVINCE
PROVINCE_0000,PROVINCE_0038
PROVINCE_0000,PROVINCE_0009
PROVINCE_0001,PROVINCE_0082
PROVINCE_0001,PROVINCE_0080
PROVINCE_0001,PROVINCE_0129
PROVINCE_0002,PROVINCE_0032
PROVINCE_0002,PROVINCE_0071
PROVINCE_0002,PROVINCE_0147
PROVINCE_0003,PROVINCE_0056
PROVINCE_0003,PROVINCE_0127
PROVINCE_0004,PROVINCE_0097
PROVINCE_0004,PROVINCE_0016
PROVINCE_0005,PROVINCE_0040
PROVINCE_0005,PROVINCE_0054
PROVINCE_0006,PROVINCE_0058
PROVINCE_0006,PROVINCE_0014
PROVINCE_0006,PROVINCE_0046
PROVINCE_0007,PROVINCE_0101
PROVINCE_0007,PROVINCE_0077
PROVINCE_0008,PROVINCE_0041
PROVINCE_0008,PROVINCE_0005
PROVINCE_0008,PROVINCE_0141
PROVINCE_0009,PROVINCE_0087
PROVINCE_0009,PROVINCE_0109
PROVINCE_0010,PROVINCE_0122
PROVINCE_0010,PROVINCE_0090
PROVINCE_0010,PROVINCE_0101
PROVINCE_0011,PROVINCE_0019
PROVINCE_0011,PROVINCE_0136
PROVINCE_0012,PROVINCE_0073
PROVINCE_0012,PROVINCE_0050
PROVINCE_0012,PROVINCE_0141
PROVINCE_0013,PROVINCE_0025
PROVINCE_0013,PROVINCE_0034
PROVINCE_0014,PROVINCE_0149
PROVINCE_0014,PROVINCE_0013
PROVINCE_0015,PROVINCE_0078
PROVINCE_0015,PROVINCE_0118
PROVINCE_0015,PROVINCE_0042
PROVINCE_0016,PROVINCE_0036
PROVINCE_0016,PROVINCE_0114
PROVINCE_0016,PROVINCE_0124
PROVINCE_0017,PROVINCE_0038
PROVINCE_0017,PROVINCE_0054
PROVINCE_0018,PROVINCE_0051
PROVINCE_0019,PROVINCE_0002
PROVINCE_0019,PROVINCE_0093
PROVINCE_0019,PROVINCE_0148
PROVINCE_0020,PROVINCE_0038
PROVINCE_0021,PROVINCE_0110
PROVINCE_0021,PROVINCE_0044
PROVINCE_0022,PROVINCE_0025
PROVINCE_0023,PROVINCE_0122
PROVINCE_0023,PROVINCE_0046
PROVINCE_0024,PROVINCE_0031
PROVINCE_0025,PROVINCE_0087
PROVINCE_0025,PROVINCE_0112
PROVINCE_0025,PROVINCE_0039
PROVINCE_0026,PROVINCE_0104
PROVINCE_0026,PROVINCE_0063
PROVINCE_0026,PROVINCE_0008
PROVINCE_0027,PROVINCE_0062
PROVINCE_0028,PROVINCE_0126
PROVINCE_0028,PROVINCE_0078
PROVINCE_0029,PROVINCE_0045
PROVINCE_0029,PROVINCE_0097
PROVINCE_0029,PROVINCE_0022
PROVINCE_0030,PROVINCE_0098
PROVINCE_0030,PROVINCE_0071
PROVINCE_0031,PROVINCE_0114
PROVINCE_0031,PROVINCE_0095
PROVINCE_0031,PROVINCE_0002
PROVINCE_0032,PROVINCE_0029
PROVINCE_0033,PROVINCE_0031
PROVINCE_0034,PROVINCE_0131
PROVINCE_0034,PROVINCE_0058
PROVINCE_0035,PROVINCE_0147
PROVINCE_0036,PROVINCE_0123
PROVINCE_0036,PROVINCE_0071
PROVINCE_0036,PROVINCE_0024
PROVINCE_0037,PROVINCE_0047
PROVINCE_0037,PROVINCE_0099
PROVINCE_0037,PROVINCE_0124
PROVINCE_0038,PROVINCE_0112
PROVINCE_0038,PROVINCE_0077
PROVINCE_0038,PROVINCE_0147
PROVINCE_0039,PROVINCE_0025
PROVINCE_0040,PROVINCE_0016
PROVINCE_0040,PROVINCE_0138
PROVINCE_0041,PROVINCE_0104
PROVINCE_0042,PROVINCE_0005
PROVINCE_0042,PROVINCE_0101
PROVINCE_0042,PROVINCE_0143
PROVINCE_0043,PROVINCE_0136
PROVINCE_0043,PROVINCE_0126
PROVINCE_0043,PROVINCE_0016
PROVINCE_0044,PROVINCE_0138
PROVINCE_0044,PROVINCE_0031
PROVINCE_0044,PROVINCE_0054
PROVINCE_0045,PROVINCE_0030
PROVINCE_0045,PROVINCE_0047
PROVINCE_0045,PROVINCE_0001
PROVINCE_0046,PROVINCE_0115
PROVINCE_0046,PROVINCE_0081
PROVINCE_0046,PROVINCE_0031
PROVINCE_0047,PROVINCE_0032
PROVINCE_0048,PROVINCE_0053
PROVINCE_0048,PROVINCE_0041
PROVINCE_0048,PROVINCE_0022
PROVINCE_0049,PROVINCE_0066
PROVINCE_0049,PROVINCE_0008
PROVINCE_0049,PROVINCE_0021
PROVINCE_0050,PROVINCE_0130
PROVINCE_0051,PROVINCE_0094
PROVINCE_0051,PROVINCE_0140
PROVINCE_0052,PROVINCE_0109
PROVINCE_0053,PROVINCE_0000
PROVINCE_0053,PROVINCE_0064
PROVINCE_0053,PROVINCE_0077
PROVINCE_0054,PROVINCE_0133
PROVINCE_0055,PROVINCE_0137
PROVINCE_0055,PROVINCE_0114
PROVINCE_0056,PROVINCE_0148
PROVINCE_0057,PROVINCE_0081
PROVINCE_0057,PROVINCE_0134
PROVINCE_0058,PROVINCE_0138
PROVINCE_0058,PROVINCE_0131
PROVINCE_0059,PROVINCE_0025
PROVINCE_0060,PROVINCE_0011
PROVINCE_0060,PROVINCE_0061
PROVINCE_0060,PROVINCE_0009
PROVINCE_0061,PROVINCE_0036
PROVINCE_0062,PROVINCE_0055
PROVINCE_0062,PROVINCE_0034
PROVINCE_0063,PROVINCE_0142
PROVINCE_0063,PROVINCE_0055
PROVINCE_0063,PROVINCE_0092
PROVINCE_0064,PROVINCE_0032
PROVINCE_0064,PROVINCE_0109
PROVINCE_0065,PROVINCE_0141
PROVINCE_0066,PROVINCE_0067
PROVINCE_0066,PROVINCE_0098
PROVINCE_0067,PROVINCE_0041
PROVINCE_0067,PROVINCE_0103
PROVINCE_0067,PROVINCE_0117
PROVINCE_0068,PROVINCE_0065
PROVINCE_0069,PROVINCE_0109
PROVINCE_0069,PROVINCE_0036
PROVINCE_0069,PROVINCE_0138
PROVINCE_0070,PROVINCE_0018
PROVINCE_0071,PROVINCE_0068
PROVINCE_0071,PROVINCE_0049
PROVINCE_0071,PROVINCE_0096
PROVINCE_0072,PROVINCE_0131
PROVINCE_0072,PROVINCE_0041
PROVINCE_0072,PROVINCE_0108
PROVINCE_0073,PROVINCE_0081
PROVINCE_0074,PROVINCE_0098
PROVINCE_0074,PROVINCE_0006
PROVINCE_0075,PROVINCE_0063
PROVINCE_0075,PROVINCE_0019
PROVINCE_0075,PROVINCE_0069
PROVINCE_0076,PROVINCE_0137
PROVINCE_0077,PROVINCE_0141
PROVINCE_0078,PROVINCE_0016
PROVINCE_0078,PROVINCE_0085
PROVINCE_0079,PROVINCE_0022
PROVINCE_0079,PROVINCE_0093
PROVINCE_0079,PROVINCE_0086
PROVINCE_0080,PROVINCE_0037
PROVINCE_0080,PROVINCE_0057
PROVINCE_0081,PROVINCE_0002
PROVINCE_0081,PROVINCE_0025
PROVINCE_0082,PROVINCE_0056
PROVINCE_0082,PROVINCE_0097
PROVINCE_0083,PROVINCE_0031
PROVINCE_0084,PROVINCE_0135
PROVINCE_0085,PROVINCE_0078
PROVINCE_0085,PROVINCE_0126
PROVINCE_0085,PROVINCE_0024
PROVINCE_0086,PROVINCE_0090
PROVINCE_0086,PROVINCE_0147
PROVINCE_0086,PROVINCE_0072
PROVINCE_0087,PROVINCE_0069
PROVINCE_0087,PROVINCE_0025
PROVINCE_0087,PROVINCE_0012
PROVINCE_0088,PROVINCE_0081
PROVINCE_0089,PROVINCE_0046
PROVINCE_0089,PROVINCE_0088
PROVINCE_0090,PROVINCE_0137
PROVINCE_0090,PROVINCE_0142
PROVINCE_0090,PROVINCE_0104
PROVINCE_0091,PROVINCE_0032
PROVINCE_0091,PROVINCE_0066
PROVINCE_0092,PROVINCE_0132
PROVINCE_0093,PROVINCE_0039
PROVINCE_0093,PROVINCE_0032
PROVINCE_0093,PROVINCE_0036
PROVINCE_0094,PROVINCE_0146
PROVINCE_0094,PROVINCE_0068
PROVINCE_0095,PROVINCE_0094
PROVINCE_0096,PROVINCE_0063
PROVINCE_0096,PROVINCE_0108
PROVINCE_0096,PROVINCE_0118
PROVINCE_0097,PROVINCE_0113
PROVINCE_0098,PROVINCE_0120
PROVINCE_0098,PROVINCE_0129
PROVINCE_0099,PROVINCE_0070
PROVINCE_0099,PROVINCE_0110
PROVINCE_0100,PROVINCE_0058
PROVINCE_0100,PROVINCE_0078
PROVINCE_0100,PROVINCE_0022
PROVINCE_0101,PROVINCE_0105
PROVINCE_0101,PROVINCE_0080
PROVINCE_0102,PROVINCE_0020
PROVINCE_0103,PROVINCE_0061
PROVINCE_0104,PROVINCE_0042
PROVINCE_0105,PROVINCE_0014
PROVINCE_0105,PROVINCE_0021
PROVINCE_0105,PROVINCE_0073
PROVINCE_0106,PROVINCE_0127
PROVINCE_0106,PROVINCE_0002
PROVINCE_0106,PROVINCE_0109
PROVINCE_0107,PROVINCE_0131
PROVINCE_0107,PROVINCE_0034
PROVINCE_0107,PROVINCE_0123
PROVINCE_0108,PROVINCE_0132
PROVINCE_0108,PROVINCE_0137
PROVINCE_0109,PROVINCE_0031
PROVINCE_0109,PROVINCE_0103
PROVINCE_0109,PROVINCE_0003
PROVINCE_0110,PROVINCE_0048
PROVINCE_0110,PROVINCE_0001
PROVINCE_0110,PROVINCE_0108
PROVINCE_0111,PROVINCE_0137
PROVINCE_0111,PROVINCE_0088
PROVINCE_0111,PROVINCE_0062
PROVINCE_0112,PROVINCE_0136
PROVINCE_0112,PROVINCE_0010
PROVINCE_0112,PROVINCE_0115
PROVINCE_0113,PROVINCE_0135
PROVINCE_0114,PROVINCE_0044
PROVINCE_0115,PROVINCE_0093
PROVINCE_0116,PROVINCE_0132
PROVINCE_0117,PROVINCE_0013
PROVINCE_0117,PROVINCE_0108
PROVINCE_0118,PROVINCE_0097
PROVINCE_0118,PROVINCE_0043
PROVINCE_0119,PROVINCE_0028
PROVINCE_0119,PROVINCE_0086
PROVINCE_0120,PROVINCE_0063
PROVINCE_0120,PROVINCE_0139
PROVINCE_0120,PROVINCE_0030
PROVINCE_0121,PROVINCE_0076
PROVINCE_0121,PROVINCE_0124
PROVINCE_0122,PROVINCE_0067
PROVINCE_0122,PROVINCE_0054
PROVINCE_0123,PROVINCE_0146
PROVINCE_0124,PROVINCE_0055
PROVINCE_0124,PROVINCE_0078
PROVINCE_0125,PROVINCE_0132
PROVINCE_0125,PROVINCE_0009
PROVINCE_0125,PROVINCE_0118
PROVINCE_0126,PROVINCE_0124
PROVINCE_0126,PROVINCE_0014
PROVINCE_0126,PROVINCE_0091
PROVINCE_0127,PROVINCE_0117
PROVINCE_0128,PROVINCE_0076
PROVINCE_0128,PROVINCE_0090
PROVINCE_0129,PROVINCE_0001
PROVINCE_0130,PROVINCE_0047
PROVINCE_0130,PROVINCE_0102
PROVINCE_0131,PROVINCE_0002
PROVINCE_0131,PROVINCE_0025
PROVINCE_0132,PROVINCE_0125
PROVINCE_0132,PROVINCE_0050
PROVINCE_0133,PROVINCE_0136
PROVINCE_0134,PROVINCE_0039
PROVINCE_0134,PROVINCE_0105
PROVINCE_0134,PROVINCE_0031
PROVINCE_0135,PROVINCE_0001
PROVINCE_0135,PROVINCE_0039
PROVINCE_0136,PROVINCE_0064
PROVINCE_0136,PROVINCE_0057
PROVINCE_0136,PROVINCE_0120
PROVINCE_0137,PROVINCE_0095
PROVINCE_0137,PROVINCE_0076
PROVINCE_0138,PROVINCE_0109
PROVINCE_0138,PROVINCE_0046
PROVINCE_0139,PROVINCE_0068
PROVINCE_0139,PROVINCE_0027
PROVINCE_0139,PROVINCE_0112
PROVINCE_0140,PROVINCE_0112
PROVINCE_0140,PROVINCE_0041
PROVINCE_0140,PROVINCE_0035
PROVINCE_0141,PROVINCE_0111
PROVINCE_0141,PROVINCE_0001
PROVINCE_0142,PROVINCE_0050
PROVINCE_0142,PROVINCE_0028
PROVINCE_0143,PROVINCE_0072
PROVINCE_0144,PROVINCE_0034
PROVINCE_0145,PROVINCE_0107
PROVINCE_0145,PROVINCE_0084
PROVINCE_0146,PROVINCE_0041
PROVINCE_0147,PROVINCE_0050
PROVINCE_0147,PROVINCE_0122
PROVINCE_0147,PROVINCE_0068
PROVINCE_0148,PROVINCE_0107
PROVINCE_0149,PROVINCE_0140
PROVINCE_0149,PROVINCE_0126
