source,RIVER
MOUNTAIN_0161,RIVER_0000
MOUNTAIN_0073,RIVER_0001
MOUNTAIN_0021,RIVER_0002
MOUNTAIN_0186,RIVER_0003
MOUNTAIN_0009,RIVER_0004
MOUNTAIN_0163,RIVER_0005
MOUNTAIN_0121,RIVER_0006
MOUNTAIN_0181,RIVER_0007
MOUNTAIN_0076,RIVER_0008
MOUNTAIN_0186,RIVER_0009
MOUNTAIN_0013,RIVER_0010
MOUNTAIN_0033,RIVER_0011
MOUNTAIN_0126,RIVER_0012
MOUNTAIN_0069,RIVER_0013
MOUNTAIN_0004,RIVER_0014
MOUNTAIN_0172,RIVER_0015
MOUNTAIN_0165,RIVER_0016
MOUNTAIN_0111,RIVER_0017
MOUNTAIN_0121,RIVER_0018
MOUNTAIN_0194,RIVER_0019
MOUNTAIN_0093,RIVER_0020
MOUNTAIN_0129,RIVER_0021
MOUNTAIN_0042,RIVER_0022
MOUNTAIN_0109,RIVER_0023
MOUNTAIN_0116,RIVER_0024
MOUNTAIN_0107,RIVER_0025
MOUNTAIN_0035,RIVER_0026
MOUNTAIN_0095,RIVER_0027
MOUNTAIN_0145,RIVER_0028
MOUNTAIN_0000,RIVER_0029
MOUNTAIN_0110,RIVER_0030
MOUNTAIN_0040,RIVER_0031
MOUNTAIN_0003,RIVER_0032
MOUNTAIN_0010,RIVER_0033
MOUNTAIN_0062,RIVER_0034
MOUNTAIN_0180,RIVER_0035
MOUNTAIN_0103,RIVER_0036
MOUNTAIN_0048,RIVER_0037
MOUNTAIN_0130,RIVER_0038
MOUNTAIN_0169,RIVER_0039
MOUNTAIN_0091,RIVER_0040
MOUNTAIN_0162,RIVER_0041
MOUNTAIN_0103,RIVER_0042
MOUNTAIN_0067,RIVER_0043
MOUNTAIN_0105,RIVER_0044
MOUNTAIN_0186,RIVER_0045
MOUNTAIN_0018,RIVER_0046
MOUNTAIN_0072,RIVER_0047
MOUNTAIN_0146,RIVER_0048
MOUNTAIN_0114,RIVER_0049
MOUNTAIN_0068,RIVER_0050
MOUNTAIN_0080,RIVER_0051
MOUNTAIN_0152,RIVER_0052
MOUNTAIN_0124,RIVER_0053
MOUNTAIN_0165,RIVER_0054
MOUNTAIN_0150,RIVER_0055
MOUNTAIN_0053,RIVER_0056
MOUNTAIN_0026,RIVER_0057
MOUNTAIN_0133,RIVER_0058
MOUNTAIN_0055,RIVER_0059
MOUNTAIN_0150,RIVER_0060
MOUNTAIN_0178,RIVER_0061
MOUNTAIN_0197,RIVER_0062
MOUNTAIN_0146,RIVER_0063
MOUNTAIN_0173,RIVER_0064
MOUNTAIN_0124,RIVER_0065
MOUNTAIN_0191,RIVER_0066
MOUNTAIN_0147,RIVER_0067
MOUNTAIN_0138,RIVER_0068
MOUNTAIN_0181,RIVER_0069
MOUNTAIN_0071,RIVER_0070
MOUNTAIN_0153,RIVER_0071
MOUNTAIN_0019,RIVER_0072
MOUNTAIN_0065,RIVER_0073
MOUNTAIN_0153,RIVER_0074
MOUNTAIN_0180,RIVER_0075
MOUNTAIN_0129,RIVER_0076
MOUNTAIN_0109,RIVER_0077
MOUNTAIN_0008,RIVER_0078
MOUNTAIN_0150,RIVER_0079
MOUNTAIN_0189,RIVER_0080
MOUNTAIN_0158,RIVER_0081
MOUNTAIN_0080,RIVER_0082
MOUNTAIN_0080,RIVER_0083
MOUNTAIN_0003,RIVER_0084
MOUNTAIN_0072,RIVER_0085
MOUNTAIN_0152,RIVER_0086
MOUNTAIN_0179,RIVER_0087
MOUNTAIN_0169,RIVER_0088
MOUNTAIN_0053,RIVER_0089
MOUNTAIN_0036,RIVER_0090
MOUNTAIN_0106,RIVER_0091
MOUNTAIN_0198,RIVER_0092
MOUNTAIN_0111,RIVER_0093
MOUNTAIN_0075,RIVER_0094
MOUNTAIN_0055,RIVER_0095
MOUNTAIN_0032,RIVER_0096
MOUNTAIN_0033,RIVER_0097
MOUNTAIN_0190,RIVER_0098
MOUNTAIN_0056,RIVER_0099
MOUNTAIN_0151,RIVER_0100
MOUNTAIN_0065,RIVER_0101
MOUNTAIN_0097,RIVER_0102
MOUNTAIN_0025,RIVER_0103
MOUNTAIN_0033,RIVER_0104
LAKE_0012,RIVER_0105
LAKE_0020,RIVER_0106
LAKE_0091,RIVER_0107
LAKE_0070,RIVER_0108
LAKE_0074,RIVER_0109
LAKE_0090,RIVER_0110
LAKE_0068,RIVER_0111
LAKE_0083,RIVER_0112
LAKE_0009,RIVER_0113
LAKE_0084,RIVER_0114
LAKE_0013,RIVER_0115
LAKE_0042,RIVER_0116
LAKE_0078,RIVER_0117
LAKE_0036,RIVER_0118
LAKE_0071,RIVER_0119
LAKE_0043,RIVER_0120
LAKE_0029,RIVER_0121
LAKE_0032,RIVER_0122
LAKE_0002,RIVER_0123
LAKE_0000,RIVER_0124
LAKE_0089,RIVER_0125
LAKE_0009,RIVER_0126
LAKE_0023,RIVER_0127
LAKE_0087,RIVER_0128
LAKE_0057,RIVER_0129
LAKE_0055,RIVER_0130
LAKE_0094,RIVER_0131
LAKE_0089,RIVER_0132
LAKE_0020,RIVER_0133
LAKE_0017,RIVER_0134
LAKE_0024,RIVER_0135
LAKE_0075,RIVER_0136
LAKE_0067,RIVER_0137
LAKE_0090,RIVER_0138
LAKE_0038,RIVER_0139
LAKE_0063,RIVER_0140
LAKE_0038,RIVER_0141
LAKE_0022,RIVER_0142
LAKE_0081,RIVER_0143
LAKE_0020,RIVER_0144
LAKE_0043,RIVER_0145
LAKE_0050,RIVER_0146
LAKE_0091,RIVER_0147
LAKE_0059,RIVER_0148
LAKE_0095,RIVER_0149
