PROVINCE,LANGUAGE,percentage
PROVINCE_0000,LANGUAGE_0084,33.84
PROVINCE_0000,LANGUAGE_0003,66.16
PROVINCE_0001,LANGUAGE_0038,100.0
PROVINCE_0002,LANGUAGE_0061,100.0
PROVINCE_0003,LANGUAGE_0083,96.4
PROVINCE_0003,LANGUAGE_0094,3.6
PROVINCE_0004,LANGUAGE_0024,14.99
PROVINCE_0004,LANGUAGE_0007,32.58
PROVINCE_0004,LANGUAGE_0078,52.42
PROVINCE_0005,LANGUAGE_0000,100.0
PROVINCE_0006,LANGUAGE_0053,53.91
PROVINCE_0006,LANGUAGE_0060,13.03
PROVINCE_0006,LANGUAGE_0010,33.06
PROVINCE_0007,LANGUAGE_0087,100.0
PROVINCE_0008,LANGUAGE_0063,17.2
PROVINCE_0008,LANGUAGE_0011,44.7
PROVINCE_0008,LANGUAGE_0077,38.1
PROVINCE_0009,LANGUAGE_0018,100.0
PROVINCE_0010,LANGUAGE_0006,32.07
PROVINCE_0010,LANGUAGE_0081,67.93
PROVINCE_0011,LANGUAGE_0093,100.0
PROVINCE_0012,LANGUAGE_0014,100.0
PROVINCE_0013,LANGUAGE_0020,100.0
PROVINCE_0014,LANGUAGE_0087,100.0
PROVINCE_0015,LANGUAGE_0058,48.27
PROVINCE_0015,LANGUAGE_0052,5.13
PROVINCE_0015,LANGUAGE_0059,46.6
PROVINCE_0016,LANGUAGE_0017,2.32
PROVINCE_0016,LANGUAGE_0006,82.65
PROVINCE_0016,LANGUAGE_0014,15.03
PROVINCE_0017,LANGUAGE_0098,9.64
PROVINCE_0017,LANGUAGE_0095,18.31
PROVINCE_0017,LANGUAGE_0086,72.06
PROVINCE_0018,LANGUAGE_0014,100.0
PROVINCE_0019,LANGUAGE_0048,100.0
PROVINCE_0020,LANGUAGE_0013,79.39
PROVINCE_0020,LANGUAGE_0016,20.61
PROVINCE_0021,LANGUAGE_0005,100.0
PROVINCE_0022,LANGUAGE_0079,100.0
PROVINCE_0023,LANGUAGE_0004,11.09
PROVINCE_0023,LANGUAGE_0057,56.24
PROVINCE_0023,LANGUAGE_0017,32.68
PROVINCE_0024,LANGUAGE_0043,12.16
PROVINCE_0024,LANGUAGE_0084,77.01
PROVINCE_0024,LANGUAGE_0095,10.82
PROVINCE_0025,LANGUAGE_0097,6.4
PROVINCE_0025,LANGUAGE_0056,32.46
PROVINCE_0025,LANGUAGE_0031,61.13
PROVINCE_0026,LANGUAGE_0079,100.0
PROVINCE_0027,LANGUAGE_0093,62.51
PROVINCE_0027,LANGUAGE_0027,30.87
PROVINCE_0027,LANGUAGE_0004,6.62
PROVINCE_0028,LANGUAGE_0073,41.15
PROVINCE_0028,LANGUAGE_0024,58.85
PROVINCE_0029,LANGUAGE_0048,57.05
PROVINCE_0029,LANGUAGE_0043,42.95
PROVINCE_0030,LANGUAGE_0068,100.0
PROVINCE_0031,LANGUAGE_0084,100.0
PROVINCE_0032,LANGUAGE_0058,100.0
PROVINCE_0033,LANGUAGE_0085,75.81
PROVINCE_0033,LANGUAGE_0038,11.48
PROVINCE_0033,LANGUAGE_0099,12.71
PROVINCE_0034,LANGUAGE_0013,69.28
PROVINCE_0034,LANGUAGE_0019,28.77
PROVINCE_0034,LANGUAGE_0097,1.95
PROVINCE_0035,LANGUAGE_0022,97.49
PROVINCE_0035,LANGUAGE_0012,2.51
PROVINCE_0036,LANGUAGE_0036,100.0
PROVINCE_0037,LANGUAGE_0071,100.0
PROVINCE_0038,LANGUAGE_0050,82.65
PROVINCE_0038,LANGUAGE_0080,15.78
PROVINCE_0038,LANGUAGE_0067,1.57
PROVINCE_0039,LANGUAGE_0043,100.0
PROVINCE_0040,LANGUAGE_0073,100.0
PROVINCE_0041,LANGUAGE_0041,85.86
PROVINCE_0041,LANGUAGE_0017,8.39
PROVINCE_0041,LANGUAGE_0019,5.76
PROVINCE_0042,LANGUAGE_0036,67.0
PROVINCE_0042,LANGUAGE_0048,6.0
PROVINCE_0042,LANGUAGE_0016,27.0
PROVINCE_0043,LANGUAGE_0075,100.0
PROVINCE_0044,LANGUAGE_0089,100.0
PROVINCE_0045,LANGUAGE_0044,58.06
PROVINCE_0045,LANGUAGE_0092,41.94
PROVINCE_0046,LANGUAGE_0008,28.05
PROVINCE_0046,LANGUAGE_0094,71.95
PROVINCE_0047,LANGUAGE_0083,15.32
