territory_id,name,governing_country
TERRITORY_000,Hermanshire Territory,Colombia
TERRITORY_001,Reyesmouth Territory,Libyan Arab Jamahiriya
TERRITORY_002,Francisborough Territory,Sri Lanka
TERRITORY_003,Erintown Territory,
TERRITORY_004,South Tonystad Territory,Guinea-Bissau
TERRITORY_005,Brewerside Territory,France
TERRITORY_006,Sarahton Territory,Austria
TERRITORY_007,Flemingland Territory,Serbia
TERRITORY_008,East Ashleystad Territory,
TERRITORY_009,Harthaven Territory,Saint Vincent and the Grenadines
TERRITORY_010,Port Kyle Territory,Wallis and Futuna
TERRITORY_011,Lake Gregory Territory,Malta
TERRITORY_012,Brookemouth Territory,Nicaragua
TERRITORY_013,Payneburgh Territory,Cocos (Keeling) Islands
TERRITORY_014,Jesusbury Territory,Papua New Guinea
TERRITORY_015,North Daniel Territory,Monaco
TERRITORY_016,North Sarah Territory,British Virgin Islands
TERRITORY_017,West Christopherport Territory,Norfolk Island
TERRITORY_018,New Nicole Territory,United Kingdom
TERRITORY_019,Johnmouth Territory,Congo
TERRITORY_020,North Valeriefurt Territory,
TERRITORY_021,Nguyenfurt Territory,Cape Verde
TERRITORY_022,Lisafurt Territory,Vietnam
TERRITORY_023,Christineburgh Territory,Japan
TERRITORY_024,East Franciscoborough Territory,
TERRITORY_025,Port Amanda Territory,Honduras
TERRITORY_026,North Cole Territory,Namibia
TERRITORY_027,North Jonathan Territory,
TERRITORY_028,Port Jean Territory,Colombia
TERRITORY_029,Michaelhaven Territory,Antigua and Barbuda
TERRITORY_030,East Paul Territory,
TERRITORY_031,Port Jeffrey Territory,
TERRITORY_032,Lewisbury Territory,
TERRITORY_033,Michaelton Territory,Saint Kitts and Nevis
TERRITORY_034,Michaelchester Territory,Paraguay
TERRITORY_035,South Stephenland Territory,Ukraine
TERRITORY_036,Wallacefort Territory,Liberia
TERRITORY_037,Kathleenland Territory,Liberia
TERRITORY_038,West Randy Territory,
TERRITORY_039,West Paul Territory,Egypt
